epoch,val_acc
0,0.2197
1,0.2158
2,0.2118
3,0.2138
4,0.2000
5,0.1974
6,0.2079
7,0.2164
8,0.2158
9,0.2164
10,0.2211
11,0.2158
12,0.2171
13,0.2197
14,0.2151
15,0.2230
16,0.2197
17,0.2178
18,0.2178
19,0.2257
20,0.2283
21,0.2329
22,0.2342
23,0.2289
24,0.2230
25,0.2178
26,0.2250
27,0.2289
28,0.2257
29,0.2283
30,0.2257
31,0.2270
32,0.2336
33,0.2211
34,0.2191
35,0.2197
36,0.2191
37,0.2217
38,0.2158
39,0.2197
40,0.2164
41,0.2243
42,0.2329
43,0.2217
44,0.2164
45,0.2151
46,0.2164
47,0.2178
48,0.2125
49,0.2099
50,0.2164
51,0.2224
52,0.2237
53,0.2296
54,0.2388
55,0.2362
56,0.2382
57,0.2368
58,0.2349
59,0.2421
60,0.2375
61,0.2342
62,0.2230
63,0.2257
64,0.2197
65,0.2197
66,0.2079
67,0.2059
68,0.2039
69,0.2053
70,0.2099
71,0.2112
72,0.2243
73,0.2243
74,0.2257
75,0.2329
76,0.2289
77,0.2336
78,0.2349
79,0.2355
80,0.2375
81,0.2329
82,0.2224
83,0.2184
84,0.2197
85,0.2197
86,0.2263
87,0.2257
88,0.2224
89,0.2184
90,0.2263
91,0.2257
92,0.2382
93,0.2355
94,0.2349
95,0.2342
96,0.2303
97,0.2342
98,0.2336
99,0.2336
100,0.2296
101,0.2336
102,0.2375
103,0.2309
104,0.2243
105,0.2237
106,0.2230
107,0.2289
108,0.2257
109,0.2237
