epoch,val_acc
0,0.2263
1,0.2138
2,0.2487
3,0.2283
4,0.2303
5,0.2217
6,0.2224
7,0.2178
8,0.2401
9,0.2191
10,0.2086
11,0.2046
12,0.2020
13,0.2132
14,0.2164
15,0.2138
16,0.2072
17,0.2112
18,0.2079
19,0.2099
20,0.2105
21,0.2178
22,0.2224
23,0.2197
24,0.2164
25,0.2289
26,0.2342
27,0.2316
28,0.2270
29,0.2257
30,0.2217
31,0.2263
32,0.2316
33,0.2421
34,0.2355
35,0.2263
36,0.2230
37,0.2145
38,0.2118
39,0.2053
40,0.2125
41,0.2263
42,0.2164
43,0.2138
44,0.2105
45,0.2039
46,0.2112
47,0.2211
48,0.2211
49,0.2263
50,0.2283
51,0.2296
52,0.2263
