epoch,val_acc
0,0.2539
1,0.2586
2,0.2993
3,0.2757
4,0.2875
5,0.2967
6,0.3007
7,0.2941
8,0.2868
9,0.2928
10,0.2921
11,0.3000
12,0.3059
13,0.3013
14,0.3105
15,0.3079
16,0.3059
17,0.3105
18,0.3066
19,0.3059
20,0.3151
21,0.3204
22,0.3230
23,0.3270
24,0.3296
25,0.3336
26,0.3322
27,0.3322
28,0.3243
29,0.3250
30,0.3283
31,0.3316
32,0.3375
33,0.3474
34,0.3467
35,0.3447
36,0.3454
37,0.3421
38,0.3428
39,0.3454
40,0.3493
41,0.3533
42,0.3546
43,0.3586
44,0.3546
45,0.3526
46,0.3526
47,0.3493
48,0.3500
49,0.3572
50,0.3566
51,0.3539
52,0.3533
53,0.3546
54,0.3533
55,0.3566
56,0.3546
57,0.3526
58,0.3559
59,0.3579
60,0.3572
61,0.3572
62,0.3546
63,0.3553
64,0.3533
65,0.3520
66,0.3579
67,0.3592
68,0.3579
69,0.3599
70,0.3605
71,0.3612
72,0.3645
73,0.3645
74,0.3632
75,0.3586
76,0.3638
77,0.3559
78,0.3546
79,0.3566
80,0.3572
81,0.3559
82,0.3579
83,0.3539
84,0.3533
85,0.3520
86,0.3526
87,0.3513
88,0.3526
89,0.3546
90,0.3566
91,0.3559
92,0.3586
93,0.3559
94,0.3599
95,0.3586
96,0.3579
97,0.3592
98,0.3592
99,0.3546
100,0.3553
101,0.3572
102,0.3513
103,0.3520
104,0.3487
105,0.3487
106,0.3487
107,0.3467
108,0.3513
109,0.3487
110,0.3428
111,0.3447
112,0.3447
113,0.3493
114,0.3447
115,0.3461
116,0.3487
117,0.3493
118,0.3539
119,0.3513
120,0.3513
121,0.3520
122,0.3526
