epoch,val_acc
0,0.2553
1,0.2480
2,0.2513
3,0.2743
4,0.2947
5,0.3000
6,0.3171
7,0.3171
8,0.3178
9,0.3092
10,0.3171
11,0.3178
12,0.3099
13,0.3125
14,0.3191
15,0.3158
16,0.3184
17,0.3191
18,0.3237
19,0.3230
20,0.3257
21,0.3296
22,0.3296
23,0.3270
24,0.3270
25,0.3204
26,0.3283
27,0.3250
28,0.3309
29,0.3270
30,0.3270
31,0.3263
32,0.3263
33,0.3270
34,0.3270
35,0.3270
36,0.3250
37,0.3303
38,0.3197
39,0.3230
40,0.3237
41,0.3263
42,0.3171
43,0.3257
44,0.3276
45,0.3309
46,0.3296
47,0.3309
48,0.3375
49,0.3382
50,0.3408
51,0.3401
52,0.3421
53,0.3428
54,0.3375
55,0.3309
56,0.3382
57,0.3362
58,0.3414
59,0.3368
60,0.3368
61,0.3408
62,0.3428
63,0.3414
64,0.3474
65,0.3520
66,0.3553
67,0.3461
68,0.3434
69,0.3480
70,0.3520
71,0.3493
72,0.3428
73,0.3474
74,0.3507
75,0.3533
76,0.3553
77,0.3566
78,0.3559
79,0.3513
80,0.3467
81,0.3507
82,0.3487
83,0.3480
84,0.3493
85,0.3533
86,0.3526
87,0.3533
88,0.3500
89,0.3539
90,0.3520
91,0.3513
92,0.3553
93,0.3546
94,0.3612
95,0.3559
96,0.3566
97,0.3572
98,0.3579
99,0.3592
100,0.3579
101,0.3599
102,0.3579
103,0.3605
104,0.3572
105,0.3586
106,0.3566
107,0.3612
108,0.3618
109,0.3618
110,0.3638
111,0.3645
112,0.3618
113,0.3592
114,0.3651
115,0.3651
116,0.3704
117,0.3697
118,0.3717
119,0.3612
120,0.3618
121,0.3612
122,0.3599
123,0.3638
124,0.3664
125,0.3750
126,0.3684
127,0.3651
128,0.3658
129,0.3632
130,0.3605
131,0.3572
132,0.3546
133,0.3592
134,0.3632
135,0.3671
136,0.3651
137,0.3697
138,0.3651
139,0.3632
140,0.3651
141,0.3638
142,0.3625
143,0.3592
144,0.3533
145,0.3572
146,0.3586
147,0.3658
148,0.3638
149,0.3618
150,0.3684
151,0.3724
152,0.3671
153,0.3605
154,0.3671
155,0.3691
156,0.3724
157,0.3724
158,0.3697
159,0.3711
160,0.3691
161,0.3757
162,0.3743
163,0.3717
164,0.3711
165,0.3671
166,0.3697
167,0.3704
168,0.3691
169,0.3632
170,0.3664
171,0.3651
172,0.3559
173,0.3546
174,0.3566
175,0.3625
176,0.3651
177,0.3612
178,0.3638
179,0.3664
180,0.3691
181,0.3711
182,0.3737
183,0.3664
184,0.3605
185,0.3539
186,0.3487
187,0.3526
188,0.3480
189,0.3513
190,0.3566
191,0.3579
192,0.3632
193,0.3638
194,0.3651
195,0.3625
196,0.3572
197,0.3599
198,0.3645
199,0.3691
200,0.3664
201,0.3651
202,0.3671
203,0.3632
204,0.3599
205,0.3592
206,0.3579
207,0.3566
208,0.3579
209,0.3579
210,0.3572
211,0.3520
