epoch,val_acc
0,0.2072
1,0.2171
2,0.2184
3,0.2243
4,0.2204
5,0.2237
6,0.2296
7,0.2362
8,0.2408
9,0.2434
10,0.2434
11,0.2461
12,0.2461
13,0.2500
14,0.2507
15,0.2546
16,0.2559
17,0.2526
18,0.2546
19,0.2579
20,0.2625
21,0.2671
22,0.2664
23,0.2658
24,0.2724
25,0.2704
26,0.2704
27,0.2704
28,0.2691
29,0.2691
30,0.2724
31,0.2776
32,0.2803
33,0.2809
34,0.2829
35,0.2855
36,0.2875
37,0.2862
38,0.2862
39,0.2908
40,0.2901
41,0.2914
42,0.2895
43,0.2882
44,0.2901
45,0.2901
46,0.2908
47,0.2914
48,0.2921
49,0.2941
50,0.2941
51,0.2941
52,0.2967
53,0.2974
54,0.2967
55,0.2928
56,0.2941
57,0.2974
58,0.2941
59,0.2954
60,0.2987
61,0.2961
62,0.2987
63,0.2980
64,0.2974
65,0.2993
66,0.3000
67,0.2993
68,0.2987
69,0.3000
70,0.3020
71,0.3020
72,0.3013
73,0.3026
74,0.3039
75,0.3039
76,0.3059
77,0.3079
78,0.3099
79,0.3079
80,0.3072
81,0.3086
82,0.3059
83,0.3059
84,0.3039
85,0.3059
86,0.3046
87,0.3059
88,0.3079
89,0.3079
90,0.3072
91,0.3086
92,0.3099
93,0.3118
94,0.3125
95,0.3138
96,0.3132
97,0.3125
98,0.3118
99,0.3125
100,0.3138
101,0.3145
102,0.3138
103,0.3151
104,0.3171
105,0.3191
106,0.3191
107,0.3197
108,0.3204
109,0.3197
110,0.3197
111,0.3204
112,0.3217
113,0.3224
114,0.3217
115,0.3224
116,0.3217
117,0.3237
118,0.3224
119,0.3250
120,0.3230
121,0.3224
122,0.3224
123,0.3237
124,0.3230
125,0.3211
126,0.3211
127,0.3197
128,0.3184
129,0.3230
130,0.3211
131,0.3197
132,0.3224
133,0.3224
134,0.3237
135,0.3237
136,0.3237
137,0.3250
138,0.3243
139,0.3243
140,0.3230
141,0.3243
142,0.3230
143,0.3257
144,0.3257
145,0.3270
146,0.3263
147,0.3283
148,0.3276
149,0.3283
150,0.3309
151,0.3329
152,0.3336
153,0.3303
154,0.3322
155,0.3309
156,0.3322
157,0.3329
158,0.3368
159,0.3388
160,0.3342
161,0.3336
162,0.3342
163,0.3309
164,0.3342
165,0.3336
166,0.3349
167,0.3322
168,0.3336
169,0.3355
170,0.3362
171,0.3401
172,0.3401
173,0.3408
174,0.3401
175,0.3401
176,0.3414
177,0.3441
178,0.3388
179,0.3388
180,0.3401
181,0.3401
182,0.3408
183,0.3428
184,0.3408
185,0.3395
186,0.3401
187,0.3461
188,0.3441
189,0.3447
190,0.3408
191,0.3428
192,0.3454
193,0.3408
194,0.3408
195,0.3414
196,0.3408
197,0.3480
198,0.3447
199,0.3441
200,0.3447
201,0.3474
202,0.3441
203,0.3441
204,0.3428
205,0.3428
206,0.3408
207,0.3401
208,0.3421
209,0.3434
210,0.3447
211,0.3447
212,0.3467
213,0.3474
214,0.3428
215,0.3414
216,0.3408
217,0.3434
218,0.3428
219,0.3441
220,0.3480
221,0.3500
222,0.3480
223,0.3474
224,0.3461
225,0.3441
226,0.3434
227,0.3421
228,0.3414
229,0.3434
230,0.3454
231,0.3428
232,0.3428
233,0.3434
234,0.3434
235,0.3474
236,0.3467
237,0.3461
238,0.3441
239,0.3447
240,0.3447
241,0.3441
242,0.3434
243,0.3441
244,0.3421
245,0.3447
246,0.3461
247,0.3467
248,0.3447
249,0.3474
250,0.3461
251,0.3474
252,0.3474
253,0.3480
254,0.3493
255,0.3480
256,0.3447
257,0.3428
258,0.3441
259,0.3434
260,0.3428
261,0.3428
262,0.3428
263,0.3421
264,0.3428
265,0.3434
266,0.3441
267,0.3447
268,0.3454
269,0.3447
270,0.3428
271,0.3414
