epoch,val_acc
0,0.2092
1,0.2257
2,0.2217
3,0.2276
4,0.2388
5,0.2408
6,0.2414
7,0.2447
8,0.2493
9,0.2507
10,0.2487
11,0.2487
12,0.2454
13,0.2500
14,0.2493
15,0.2480
16,0.2513
17,0.2546
18,0.2533
19,0.2526
20,0.2533
21,0.2546
22,0.2586
23,0.2553
24,0.2533
25,0.2559
26,0.2546
27,0.2566
28,0.2572
29,0.2586
30,0.2559
31,0.2526
32,0.2592
33,0.2618
34,0.2658
35,0.2658
36,0.2651
37,0.2691
38,0.2730
39,0.2796
40,0.2809
41,0.2829
42,0.2849
43,0.2888
44,0.2875
45,0.2921
46,0.2928
47,0.2934
48,0.2941
49,0.2921
50,0.2901
51,0.2921
52,0.2921
53,0.2961
54,0.2974
55,0.2987
56,0.3013
57,0.3000
58,0.3000
59,0.3007
60,0.2993
61,0.3026
62,0.3020
63,0.3039
64,0.3079
65,0.3086
66,0.3112
67,0.3151
68,0.3164
69,0.3164
70,0.3178
71,0.3184
72,0.3211
73,0.3197
74,0.3197
75,0.3184
76,0.3164
77,0.3171
78,0.3171
79,0.3151
80,0.3158
81,0.3171
82,0.3191
83,0.3211
84,0.3204
85,0.3184
86,0.3171
87,0.3164
88,0.3171
89,0.3158
90,0.3158
91,0.3171
92,0.3164
93,0.3171
94,0.3178
95,0.3204
96,0.3197
97,0.3230
98,0.3204
99,0.3211
100,0.3211
101,0.3197
102,0.3230
103,0.3197
104,0.3191
105,0.3191
106,0.3191
107,0.3204
108,0.3230
109,0.3224
110,0.3257
111,0.3250
112,0.3237
113,0.3224
114,0.3230
115,0.3217
116,0.3230
117,0.3224
118,0.3224
119,0.3230
120,0.3237
121,0.3243
122,0.3211
123,0.3197
124,0.3191
125,0.3211
126,0.3237
127,0.3237
128,0.3230
129,0.3237
130,0.3230
131,0.3237
132,0.3250
133,0.3257
134,0.3263
135,0.3230
136,0.3237
137,0.3217
138,0.3243
139,0.3230
140,0.3211
141,0.3217
142,0.3204
143,0.3204
144,0.3217
145,0.3224
146,0.3230
147,0.3257
148,0.3250
149,0.3243
150,0.3243
151,0.3237
152,0.3224
153,0.3230
154,0.3211
155,0.3211
156,0.3224
157,0.3230
158,0.3230
159,0.3296
160,0.3283
161,0.3283
162,0.3263
163,0.3230
164,0.3230
165,0.3243
166,0.3224
167,0.3224
168,0.3243
169,0.3204
170,0.3197
171,0.3197
172,0.3217
173,0.3224
174,0.3230
175,0.3237
176,0.3243
177,0.3230
178,0.3270
179,0.3230
180,0.3224
181,0.3243
182,0.3237
183,0.3237
184,0.3237
185,0.3257
186,0.3243
187,0.3243
188,0.3224
189,0.3230
190,0.3224
191,0.3230
192,0.3250
193,0.3270
194,0.3257
195,0.3276
196,0.3283
197,0.3283
198,0.3289
199,0.3303
200,0.3296
201,0.3316
202,0.3316
203,0.3316
204,0.3309
205,0.3303
206,0.3296
207,0.3303
208,0.3303
209,0.3283
210,0.3296
211,0.3289
212,0.3296
213,0.3309
214,0.3303
215,0.3309
216,0.3289
217,0.3283
218,0.3257
219,0.3257
220,0.3250
221,0.3276
222,0.3270
223,0.3276
224,0.3283
225,0.3316
226,0.3303
227,0.3336
228,0.3336
229,0.3342
230,0.3342
231,0.3342
232,0.3349
233,0.3375
234,0.3355
235,0.3362
236,0.3368
237,0.3362
238,0.3368
239,0.3388
240,0.3375
241,0.3375
242,0.3388
243,0.3375
244,0.3329
245,0.3329
246,0.3316
247,0.3322
248,0.3349
249,0.3349
250,0.3342
251,0.3349
252,0.3342
253,0.3349
254,0.3355
255,0.3329
256,0.3342
257,0.3349
258,0.3349
259,0.3329
260,0.3309
261,0.3309
262,0.3309
263,0.3309
264,0.3309
265,0.3309
266,0.3289
267,0.3296
268,0.3296
269,0.3336
270,0.3322
271,0.3342
272,0.3349
273,0.3342
274,0.3342
275,0.3329
276,0.3336
277,0.3336
278,0.3349
279,0.3342
280,0.3342
281,0.3349
282,0.3362
283,0.3388
284,0.3395
285,0.3375
286,0.3362
287,0.3336
288,0.3355
289,0.3355
290,0.3342
291,0.3349
292,0.3349
293,0.3342
294,0.3355
295,0.3368
296,0.3355
297,0.3316
298,0.3322
299,0.3336
300,0.3368
301,0.3355
302,0.3329
303,0.3329
304,0.3329
305,0.3336
306,0.3322
307,0.3322
308,0.3329
309,0.3349
310,0.3342
311,0.3336
312,0.3349
313,0.3342
314,0.3303
315,0.3342
316,0.3349
317,0.3336
318,0.3329
319,0.3289
320,0.3283
321,0.3309
322,0.3375
323,0.3375
324,0.3382
325,0.3362
326,0.3355
327,0.3329
328,0.3355
329,0.3342
330,0.3355
331,0.3362
332,0.3349
333,0.3355
334,0.3355
