epoch,val_acc
0,0.3771
1,0.3820
2,0.3836
3,0.3851
4,0.3844
5,0.3849
6,0.3855
7,0.3849
8,0.3846
9,0.3857
10,0.3851
11,0.3840
12,0.3855
13,0.3851
14,0.3865
15,0.3867
16,0.3857
17,0.3853
18,0.3859
19,0.3857
20,0.3863
21,0.3885
22,0.3881
23,0.3883
24,0.3873
25,0.3875
26,0.3875
27,0.3900
28,0.3895
29,0.3889
30,0.3891
31,0.3908
32,0.3926
33,0.3932
34,0.3924
35,0.3953
36,0.3963
37,0.3963
38,0.3932
39,0.3930
40,0.3920
41,0.3934
42,0.3940
43,0.3930
44,0.3938
45,0.3957
46,0.3955
47,0.3949
48,0.3953
49,0.3963
50,0.3955
51,0.3961
52,0.3977
53,0.3985
54,0.3991
55,0.4000
56,0.4002
57,0.4016
58,0.4026
59,0.4028
60,0.4034
61,0.4030
62,0.4034
63,0.4032
64,0.4047
65,0.4045
66,0.4038
67,0.4038
68,0.4042
69,0.4059
70,0.4075
71,0.4069
72,0.4077
73,0.4077
74,0.4081
75,0.4085
76,0.4091
77,0.4100
78,0.4106
79,0.4106
80,0.4098
81,0.4085
82,0.4071
83,0.4089
84,0.4098
85,0.4118
86,0.4134
87,0.4128
88,0.4140
89,0.4145
90,0.4138
91,0.4153
92,0.4155
93,0.4151
94,0.4149
95,0.4157
96,0.4151
97,0.4151
98,0.4153
99,0.4155
100,0.4157
101,0.4151
102,0.4169
103,0.4177
104,0.4169
105,0.4171
106,0.4165
107,0.4169
108,0.4185
109,0.4179
110,0.4183
111,0.4181
112,0.4194
113,0.4192
114,0.4202
115,0.4204
116,0.4200
117,0.4214
118,0.4226
119,0.4241
120,0.4247
121,0.4251
122,0.4253
123,0.4251
124,0.4259
125,0.4255
126,0.4265
127,0.4265
128,0.4261
129,0.4253
130,0.4251
131,0.4263
132,0.4261
133,0.4259
134,0.4265
135,0.4292
136,0.4279
137,0.4283
138,0.4277
139,0.4279
140,0.4275
141,0.4279
142,0.4267
143,0.4265
144,0.4263
145,0.4300
146,0.4302
147,0.4296
148,0.4296
149,0.4302
150,0.4300
151,0.4277
