epoch,val_acc
0,0.3073
1,0.3734
2,0.3865
3,0.3857
4,0.3855
5,0.3853
6,0.3857
7,0.3879
8,0.3893
9,0.3891
10,0.3879
11,0.3879
12,0.3879
13,0.3906
14,0.3900
15,0.3904
16,0.3900
17,0.3871
18,0.3877
19,0.3869
20,0.3883
21,0.3879
22,0.3893
23,0.3898
24,0.3918
25,0.3930
26,0.3951
27,0.3951
28,0.3953
29,0.3936
30,0.3926
31,0.3955
32,0.3949
33,0.3949
34,0.3947
35,0.3947
36,0.3967
37,0.3963
38,0.4002
39,0.4006
40,0.4012
41,0.4024
42,0.4000
43,0.3987
44,0.4012
45,0.4034
46,0.4049
47,0.4045
48,0.4051
49,0.4047
50,0.4045
51,0.4030
52,0.4045
53,0.4028
54,0.4042
55,0.4042
56,0.4040
57,0.4042
58,0.4059
59,0.4067
60,0.4057
61,0.4075
62,0.4063
63,0.4047
64,0.4042
65,0.4110
66,0.4065
67,0.4069
68,0.4116
69,0.4112
70,0.4071
71,0.4124
72,0.4173
73,0.4145
74,0.4159
75,0.4153
76,0.4165
77,0.4179
78,0.4206
79,0.4206
80,0.4212
81,0.4161
82,0.4220
83,0.4214
84,0.4196
85,0.4173
86,0.4206
87,0.4220
88,0.4210
89,0.4236
90,0.4249
91,0.4238
92,0.4283
93,0.4255
94,0.4267
95,0.4267
96,0.4259
97,0.4255
98,0.4257
99,0.4236
100,0.4238
101,0.4275
102,0.4310
103,0.4292
104,0.4281
105,0.4292
106,0.4287
107,0.4245
108,0.4292
109,0.4273
110,0.4249
111,0.4259
112,0.4249
113,0.4271
114,0.4232
115,0.4269
116,0.4257
117,0.4290
118,0.4263
119,0.4267
120,0.4236
121,0.4169
122,0.4196
123,0.4285
124,0.4183
125,0.4269
126,0.4275
127,0.4230
128,0.4273
129,0.4261
130,0.4306
131,0.4226
132,0.4283
133,0.4279
134,0.4238
135,0.4241
136,0.4287
137,0.4314
138,0.4298
139,0.4281
140,0.4296
141,0.4263
142,0.4259
143,0.4261
144,0.4275
145,0.4228
146,0.4271
147,0.4304
148,0.4296
149,0.4294
150,0.4312
151,0.4259
152,0.4269
153,0.4273
154,0.4306
155,0.4300
156,0.4302
157,0.4292
158,0.4330
159,0.4300
160,0.4298
161,0.4302
162,0.4306
163,0.4314
164,0.4310
165,0.4298
166,0.4322
167,0.4294
168,0.4320
169,0.4310
170,0.4320
171,0.4283
172,0.4287
173,0.4302
174,0.4283
175,0.4283
176,0.4247
177,0.4259
178,0.4283
179,0.4232
180,0.4267
181,0.4306
182,0.4283
183,0.4283
184,0.4283
185,0.4285
186,0.4283
187,0.4261
188,0.4290
189,0.4292
190,0.4312
191,0.4294
192,0.4271
193,0.4300
194,0.4298
195,0.4230
196,0.4298
197,0.4306
198,0.4257
199,0.4318
200,0.4320
201,0.4275
202,0.4320
203,0.4334
204,0.4339
205,0.4351
206,0.4324
207,0.4349
208,0.4322
209,0.4312
210,0.4363
211,0.4318
212,0.4298
213,0.4294
214,0.4324
215,0.4339
216,0.4347
217,0.4322
218,0.4345
219,0.4355
220,0.4330
221,0.4351
222,0.4388
223,0.4371
224,0.4298
225,0.4339
226,0.4312
227,0.4322
228,0.4322
229,0.4322
230,0.4336
231,0.4349
232,0.4310
233,0.4355
234,0.4290
235,0.4339
236,0.4392
237,0.4347
238,0.4347
239,0.4336
240,0.4367
241,0.4341
242,0.4328
243,0.4306
244,0.4343
245,0.4324
246,0.4343
247,0.4341
248,0.4355
249,0.4359
250,0.4324
251,0.4341
252,0.4351
253,0.4363
254,0.4351
255,0.4353
256,0.4371
257,0.4349
258,0.4343
259,0.4385
260,0.4383
261,0.4310
262,0.4414
263,0.4322
264,0.4404
265,0.4296
266,0.4396
267,0.4416
268,0.4306
269,0.4381
270,0.4322
271,0.4371
272,0.4390
273,0.4318
274,0.4349
275,0.4316
276,0.4318
277,0.4357
278,0.4332
279,0.4336
280,0.4326
281,0.4365
282,0.4357
283,0.4371
284,0.4306
285,0.4339
286,0.4336
287,0.4334
288,0.4345
289,0.4285
290,0.4383
291,0.4365
292,0.4298
293,0.4441
294,0.4279
295,0.4394
296,0.4406
297,0.4275
298,0.4406
299,0.4377
300,0.4341
301,0.4371
302,0.4408
303,0.4353
304,0.4369
305,0.4398
306,0.4383
307,0.4404
308,0.4390
309,0.4394
310,0.4388
311,0.4396
312,0.4402
313,0.4353
314,0.4290
315,0.4371
316,0.4381
317,0.4361
318,0.4398
319,0.4390
320,0.4371
321,0.4369
322,0.4400
323,0.4375
324,0.4383
325,0.4406
326,0.4355
327,0.4404
328,0.4359
329,0.4324
330,0.4404
331,0.4357
332,0.4371
333,0.4418
334,0.4304
335,0.4420
336,0.4373
337,0.4357
338,0.4394
339,0.4373
340,0.4396
341,0.4467
342,0.4404
343,0.4398
344,0.4447
345,0.4388
346,0.4404
347,0.4414
348,0.4390
349,0.4414
350,0.4394
351,0.4339
352,0.4385
353,0.4400
354,0.4324
355,0.4428
356,0.4445
357,0.4310
358,0.4457
359,0.4428
360,0.4432
361,0.4437
362,0.4383
363,0.4414
364,0.4434
365,0.4402
366,0.4451
367,0.4445
368,0.4445
369,0.4488
370,0.4424
371,0.4479
