epoch,val_acc
0,0.3577
1,0.3642
2,0.3691
3,0.3573
4,0.3755
5,0.3828
6,0.3871
7,0.3898
8,0.3932
9,0.3953
10,0.3957
11,0.3967
12,0.3959
13,0.3971
14,0.3963
15,0.3949
16,0.3985
17,0.4016
18,0.4073
19,0.4053
20,0.4067
21,0.4059
22,0.4069
23,0.4094
24,0.4124
25,0.4126
26,0.4145
27,0.4202
28,0.4212
29,0.4216
30,0.4226
31,0.4210
32,0.4222
33,0.4238
34,0.4232
35,0.4218
36,0.4216
37,0.4189
38,0.4185
39,0.4218
40,0.4257
41,0.4267
42,0.4267
43,0.4253
44,0.4243
45,0.4232
46,0.4247
47,0.4249
48,0.4261
49,0.4259
50,0.4247
51,0.4232
52,0.4253
53,0.4271
54,0.4290
55,0.4304
56,0.4298
57,0.4263
58,0.4285
59,0.4314
60,0.4339
61,0.4322
62,0.4314
63,0.4310
64,0.4339
65,0.4334
66,0.4343
67,0.4373
68,0.4375
69,0.4361
70,0.4412
71,0.4406
72,0.4385
73,0.4373
74,0.4434
75,0.4430
76,0.4383
77,0.4402
78,0.4441
79,0.4422
80,0.4400
81,0.4418
82,0.4445
83,0.4434
84,0.4418
85,0.4422
86,0.4416
87,0.4434
88,0.4443
89,0.4451
90,0.4412
91,0.4445
92,0.4471
93,0.4471
94,0.4449
95,0.4481
96,0.4451
97,0.4447
98,0.4453
99,0.4483
100,0.4490
101,0.4477
102,0.4508
103,0.4506
104,0.4516
105,0.4510
106,0.4498
107,0.4530
108,0.4551
109,0.4506
110,0.4516
111,0.4571
112,0.4539
113,0.4522
114,0.4543
115,0.4565
116,0.4541
117,0.4539
118,0.4588
119,0.4588
120,0.4573
121,0.4563
122,0.4606
123,0.4579
124,0.4581
125,0.4635
126,0.4641
127,0.4614
128,0.4630
129,0.4651
130,0.4647
131,0.4639
132,0.4633
133,0.4643
134,0.4622
135,0.4635
136,0.4647
137,0.4667
138,0.4659
139,0.4653
140,0.4663
141,0.4661
142,0.4684
143,0.4655
144,0.4641
145,0.4673
146,0.4679
147,0.4635
148,0.4675
149,0.4684
150,0.4669
151,0.4688
152,0.4692
153,0.4682
154,0.4677
155,0.4694
156,0.4716
157,0.4702
158,0.4714
159,0.4710
160,0.4712
161,0.4704
162,0.4702
163,0.4700
164,0.4728
165,0.4733
166,0.4720
167,0.4698
168,0.4702
169,0.4728
170,0.4726
171,0.4708
172,0.4706
173,0.4741
174,0.4716
175,0.4745
176,0.4733
177,0.4726
178,0.4741
179,0.4751
180,0.4733
181,0.4751
182,0.4724
183,0.4733
184,0.4726
185,0.4749
186,0.4747
187,0.4739
188,0.4731
189,0.4731
190,0.4728
191,0.4745
192,0.4751
193,0.4743
194,0.4794
195,0.4753
196,0.4761
197,0.4761
198,0.4767
199,0.4761
200,0.4771
201,0.4780
202,0.4773
203,0.4794
204,0.4786
205,0.4763
206,0.4775
207,0.4788
208,0.4757
209,0.4763
210,0.4782
211,0.4777
212,0.4777
213,0.4786
214,0.4790
215,0.4788
216,0.4745
217,0.4777
218,0.4820
219,0.4780
220,0.4810
221,0.4800
222,0.4822
223,0.4814
224,0.4814
225,0.4822
226,0.4835
227,0.4812
228,0.4802
229,0.4835
230,0.4810
231,0.4784
232,0.4806
233,0.4806
234,0.4816
235,0.4802
236,0.4829
237,0.4818
238,0.4814
239,0.4802
240,0.4784
241,0.4802
242,0.4790
243,0.4804
244,0.4786
245,0.4802
246,0.4812
247,0.4798
248,0.4820
249,0.4826
250,0.4802
251,0.4810
252,0.4814
253,0.4818
254,0.4810
255,0.4837
256,0.4837
257,0.4845
258,0.4843
259,0.4857
260,0.4841
261,0.4812
262,0.4824
263,0.4845
264,0.4849
265,0.4873
266,0.4845
267,0.4831
268,0.4847
269,0.4882
270,0.4826
271,0.4853
272,0.4849
273,0.4871
274,0.4869
275,0.4863
276,0.4857
277,0.4861
278,0.4890
279,0.4859
280,0.4865
281,0.4884
282,0.4859
283,0.4837
284,0.4853
285,0.4871
286,0.4853
287,0.4865
288,0.4847
289,0.4869
290,0.4867
291,0.4863
292,0.4833
293,0.4898
294,0.4869
295,0.4884
296,0.4880
297,0.4892
298,0.4884
299,0.4890
300,0.4884
301,0.4894
302,0.4888
303,0.4910
304,0.4875
305,0.4886
306,0.4882
307,0.4878
308,0.4884
309,0.4880
310,0.4892
311,0.4884
312,0.4894
313,0.4902
314,0.4904
315,0.4878
316,0.4886
317,0.4918
318,0.4884
319,0.4890
320,0.4894
321,0.4880
322,0.4884
323,0.4878
324,0.4886
325,0.4900
326,0.4892
327,0.4888
328,0.4900
329,0.4890
330,0.4886
331,0.4875
332,0.4896
333,0.4896
334,0.4912
335,0.4912
336,0.4912
337,0.4912
338,0.4941
339,0.4916
340,0.4900
341,0.4884
342,0.4924
