epoch,val_acc
0,0.3516
1,0.3632
2,0.3644
3,0.3663
4,0.3699
5,0.3732
6,0.3789
7,0.3793
8,0.3814
9,0.3855
10,0.3851
11,0.3863
12,0.3881
13,0.3912
14,0.3912
15,0.3914
16,0.3930
17,0.3942
18,0.3934
19,0.3947
20,0.3938
21,0.3932
22,0.3942
23,0.3963
24,0.3969
25,0.3998
26,0.4024
27,0.4024
28,0.4026
29,0.4053
30,0.4061
31,0.4065
32,0.4067
33,0.4081
34,0.4094
35,0.4112
36,0.4116
37,0.4112
38,0.4102
39,0.4112
40,0.4122
41,0.4140
42,0.4136
43,0.4138
44,0.4161
45,0.4192
46,0.4185
47,0.4181
48,0.4187
49,0.4204
50,0.4222
51,0.4245
52,0.4255
53,0.4253
54,0.4249
55,0.4257
56,0.4275
57,0.4285
58,0.4285
59,0.4296
60,0.4302
61,0.4306
62,0.4304
63,0.4343
64,0.4336
65,0.4343
66,0.4330
67,0.4341
68,0.4339
69,0.4324
70,0.4318
71,0.4339
72,0.4320
73,0.4343
74,0.4355
75,0.4343
76,0.4343
77,0.4326
78,0.4316
79,0.4343
80,0.4351
81,0.4355
82,0.4328
83,0.4300
84,0.4326
85,0.4328
86,0.4336
87,0.4326
88,0.4300
89,0.4322
90,0.4334
91,0.4334
92,0.4341
93,0.4332
94,0.4332
95,0.4339
96,0.4388
97,0.4361
98,0.4343
99,0.4351
100,0.4353
101,0.4394
102,0.4383
103,0.4341
104,0.4359
105,0.4343
106,0.4361
107,0.4369
108,0.4355
109,0.4351
110,0.4347
111,0.4355
112,0.4349
113,0.4341
114,0.4355
115,0.4347
116,0.4349
117,0.4367
118,0.4361
119,0.4357
120,0.4353
121,0.4369
122,0.4377
123,0.4363
124,0.4371
125,0.4363
126,0.4367
127,0.4367
128,0.4375
129,0.4373
130,0.4367
131,0.4365
132,0.4379
133,0.4385
134,0.4385
135,0.4392
136,0.4381
137,0.4404
138,0.4400
139,0.4410
140,0.4408
141,0.4406
142,0.4406
143,0.4400
144,0.4416
145,0.4406
146,0.4424
147,0.4414
148,0.4414
149,0.4420
150,0.4416
151,0.4418
152,0.4420
153,0.4428
154,0.4437
155,0.4432
156,0.4428
157,0.4426
158,0.4418
159,0.4412
160,0.4434
161,0.4447
162,0.4434
163,0.4408
164,0.4408
165,0.4439
166,0.4461
167,0.4443
168,0.4424
169,0.4416
170,0.4437
171,0.4473
172,0.4453
173,0.4422
174,0.4412
175,0.4459
176,0.4486
177,0.4473
178,0.4445
179,0.4410
180,0.4453
181,0.4504
182,0.4492
183,0.4459
184,0.4447
185,0.4481
186,0.4496
187,0.4500
188,0.4467
189,0.4473
190,0.4467
191,0.4504
192,0.4508
193,0.4504
194,0.4473
195,0.4483
196,0.4463
197,0.4494
198,0.4488
199,0.4481
200,0.4488
201,0.4502
202,0.4488
203,0.4514
204,0.4496
205,0.4508
206,0.4490
207,0.4516
208,0.4528
209,0.4539
210,0.4516
211,0.4516
212,0.4520
213,0.4508
214,0.4528
215,0.4547
216,0.4512
217,0.4492
218,0.4504
219,0.4524
220,0.4512
221,0.4557
222,0.4565
223,0.4537
224,0.4561
225,0.4553
226,0.4541
227,0.4577
228,0.4557
229,0.4567
230,0.4565
231,0.4563
232,0.4561
233,0.4555
234,0.4567
235,0.4543
236,0.4547
237,0.4561
238,0.4557
239,0.4543
240,0.4539
241,0.4559
242,0.4567
243,0.4563
244,0.4547
245,0.4547
246,0.4555
247,0.4563
248,0.4547
249,0.4549
250,0.4535
251,0.4537
252,0.4577
253,0.4561
254,0.4569
255,0.4555
256,0.4539
257,0.4573
258,0.4596
259,0.4567
260,0.4555
261,0.4565
262,0.4590
263,0.4602
264,0.4586
265,0.4547
266,0.4573
267,0.4590
268,0.4577
269,0.4557
270,0.4543
271,0.4553
272,0.4596
273,0.4600
274,0.4555
275,0.4573
276,0.4579
277,0.4577
278,0.4581
279,0.4559
280,0.4567
281,0.4586
282,0.4586
283,0.4584
284,0.4594
285,0.4604
286,0.4614
287,0.4606
288,0.4598
289,0.4586
290,0.4594
291,0.4590
292,0.4604
293,0.4598
294,0.4600
295,0.4590
296,0.4598
297,0.4602
298,0.4630
299,0.4637
300,0.4606
301,0.4602
302,0.4616
303,0.4624
304,0.4633
305,0.4635
306,0.4628
307,0.4639
308,0.4635
309,0.4633
310,0.4598
311,0.4633
312,0.4641
313,0.4643
314,0.4647
315,0.4626
316,0.4639
317,0.4628
318,0.4653
319,0.4630
320,0.4637
321,0.4628
322,0.4649
323,0.4657
324,0.4645
325,0.4651
326,0.4659
327,0.4671
328,0.4673
329,0.4663
330,0.4637
331,0.4684
332,0.4655
333,0.4643
334,0.4657
335,0.4655
336,0.4655
337,0.4700
338,0.4677
339,0.4667
340,0.4661
341,0.4665
342,0.4698
343,0.4675
344,0.4667
345,0.4667
346,0.4692
347,0.4684
348,0.4671
349,0.4698
350,0.4688
351,0.4686
352,0.4677
353,0.4692
354,0.4718
355,0.4712
356,0.4688
357,0.4702
358,0.4692
359,0.4710
360,0.4704
361,0.4702
362,0.4698
363,0.4714
364,0.4686
365,0.4698
366,0.4682
367,0.4710
368,0.4718
369,0.4728
370,0.4720
371,0.4704
372,0.4720
373,0.4761
374,0.4737
375,0.4726
376,0.4698
377,0.4751
378,0.4726
379,0.4708
380,0.4688
381,0.4718
382,0.4751
383,0.4716
384,0.4690
385,0.4690
386,0.4684
387,0.4712
388,0.4731
389,0.4686
390,0.4682
391,0.4718
392,0.4749
393,0.4716
394,0.4696
395,0.4737
396,0.4743
397,0.4726
398,0.4716
399,0.4694
400,0.4745
401,0.4743
402,0.4731
403,0.4720
404,0.4733
405,0.4745
406,0.4753
407,0.4720
408,0.4706
409,0.4712
410,0.4749
411,0.4741
412,0.4720
413,0.4718
414,0.4749
415,0.4771
416,0.4767
417,0.4739
418,0.4743
419,0.4759
420,0.4747
421,0.4749
422,0.4728
423,0.4771
424,0.4765
425,0.4753
426,0.4720
427,0.4751
428,0.4761
429,0.4761
430,0.4755
431,0.4763
432,0.4755
433,0.4796
434,0.4763
435,0.4759
436,0.4759
437,0.4786
438,0.4773
439,0.4782
440,0.4786
441,0.4792
442,0.4767
443,0.4767
444,0.4769
445,0.4769
446,0.4773
447,0.4794
448,0.4763
449,0.4765
450,0.4790
451,0.4784
452,0.4777
453,0.4788
454,0.4780
455,0.4784
456,0.4784
457,0.4763
458,0.4788
459,0.4792
460,0.4794
461,0.4775
462,0.4792
463,0.4788
464,0.4792
465,0.4804
466,0.4806
467,0.4792
468,0.4782
469,0.4794
470,0.4796
471,0.4800
472,0.4802
473,0.4782
474,0.4777
475,0.4792
476,0.4800
477,0.4816
478,0.4829
479,0.4816
480,0.4818
481,0.4837
482,0.4824
483,0.4810
484,0.4798
485,0.4810
486,0.4810
487,0.4833
488,0.4810
489,0.4826
490,0.4822
491,0.4847
492,0.4822
493,0.4831
494,0.4806
495,0.4841
496,0.4804
497,0.4822
498,0.4847
499,0.4822
