epoch,val_acc
0,0.2436
1,0.3473
2,0.3699
3,0.3704
4,0.3704
5,0.3704
6,0.3730
7,0.3775
8,0.3808
9,0.3844
10,0.3875
11,0.3875
12,0.3873
13,0.3902
14,0.3922
15,0.3920
16,0.3916
17,0.3908
18,0.3922
19,0.3926
20,0.3912
21,0.3910
22,0.3926
23,0.3926
24,0.3942
25,0.3965
26,0.3987
27,0.3996
28,0.4008
29,0.4018
30,0.4014
31,0.4016
32,0.4010
33,0.4002
34,0.4018
35,0.4049
36,0.4079
37,0.4096
38,0.4120
39,0.4130
40,0.4145
41,0.4145
42,0.4165
43,0.4159
44,0.4175
45,0.4177
46,0.4183
47,0.4198
48,0.4206
49,0.4218
50,0.4234
51,0.4241
52,0.4222
53,0.4214
54,0.4216
55,0.4214
56,0.4247
57,0.4271
58,0.4267
59,0.4255
60,0.4261
61,0.4277
62,0.4287
63,0.4308
64,0.4294
65,0.4263
66,0.4271
67,0.4287
68,0.4287
69,0.4296
70,0.4283
71,0.4283
72,0.4283
73,0.4308
74,0.4304
75,0.4283
76,0.4275
77,0.4287
78,0.4306
79,0.4324
80,0.4279
81,0.4316
82,0.4341
83,0.4322
84,0.4328
85,0.4339
86,0.4306
87,0.4345
88,0.4304
89,0.4324
90,0.4351
91,0.4341
92,0.4353
93,0.4363
94,0.4361
95,0.4371
96,0.4383
97,0.4373
98,0.4365
99,0.4361
100,0.4353
101,0.4359
102,0.4347
103,0.4357
104,0.4365
105,0.4373
106,0.4377
107,0.4379
108,0.4369
109,0.4375
110,0.4375
111,0.4377
112,0.4369
113,0.4381
114,0.4383
115,0.4379
116,0.4363
117,0.4361
118,0.4373
119,0.4347
120,0.4414
121,0.4408
122,0.4420
123,0.4396
124,0.4408
125,0.4428
126,0.4441
127,0.4428
128,0.4396
129,0.4400
130,0.4471
131,0.4467
132,0.4457
133,0.4453
134,0.4434
135,0.4473
136,0.4463
137,0.4463
138,0.4455
139,0.4486
140,0.4492
141,0.4473
142,0.4453
143,0.4439
144,0.4441
145,0.4506
146,0.4512
147,0.4461
148,0.4443
149,0.4492
150,0.4479
151,0.4481
152,0.4518
153,0.4488
154,0.4514
155,0.4483
156,0.4490
157,0.4508
158,0.4496
159,0.4498
160,0.4479
161,0.4481
162,0.4500
163,0.4510
164,0.4486
165,0.4488
166,0.4490
167,0.4504
168,0.4510
169,0.4506
170,0.4512
171,0.4530
172,0.4504
173,0.4506
174,0.4555
175,0.4537
176,0.4539
177,0.4549
178,0.4541
179,0.4571
180,0.4522
181,0.4522
182,0.4541
183,0.4555
184,0.4563
185,0.4559
186,0.4541
187,0.4553
188,0.4549
189,0.4551
190,0.4549
191,0.4504
192,0.4506
193,0.4549
194,0.4547
195,0.4547
196,0.4577
197,0.4541
198,0.4535
199,0.4549
200,0.4545
201,0.4518
202,0.4555
203,0.4551
204,0.4528
205,0.4528
206,0.4522
207,0.4512
208,0.4512
209,0.4520
210,0.4510
211,0.4547
212,0.4549
213,0.4567
214,0.4563
215,0.4543
216,0.4571
217,0.4539
218,0.4577
219,0.4551
220,0.4502
221,0.4518
222,0.4553
223,0.4520
224,0.4526
225,0.4551
226,0.4551
227,0.4541
228,0.4561
229,0.4549
230,0.4563
231,0.4551
232,0.4565
233,0.4575
234,0.4606
235,0.4588
236,0.4604
237,0.4584
238,0.4581
239,0.4596
240,0.4563
241,0.4569
242,0.4577
243,0.4551
244,0.4559
245,0.4571
246,0.4592
247,0.4596
248,0.4573
249,0.4573
250,0.4612
251,0.4563
252,0.4584
253,0.4608
254,0.4612
255,0.4630
256,0.4563
257,0.4581
258,0.4579
259,0.4604
260,0.4592
261,0.4616
262,0.4618
263,0.4633
264,0.4604
265,0.4592
266,0.4645
267,0.4671
268,0.4598
269,0.4594
270,0.4663
271,0.4641
272,0.4608
273,0.4598
274,0.4602
275,0.4622
276,0.4628
277,0.4608
278,0.4604
279,0.4616
280,0.4616
281,0.4606
282,0.4643
283,0.4614
284,0.4606
285,0.4610
286,0.4612
287,0.4628
288,0.4653
289,0.4655
290,0.4604
291,0.4624
292,0.4677
293,0.4643
294,0.4643
295,0.4624
296,0.4626
297,0.4637
298,0.4667
299,0.4628
300,0.4682
301,0.4673
302,0.4614
303,0.4641
304,0.4647
305,0.4675
306,0.4682
307,0.4635
308,0.4665
309,0.4669
310,0.4637
311,0.4653
312,0.4635
313,0.4641
314,0.4643
315,0.4665
316,0.4622
317,0.4645
318,0.4630
319,0.4643
320,0.4624
321,0.4669
322,0.4637
323,0.4633
324,0.4579
325,0.4643
326,0.4688
327,0.4712
328,0.4688
329,0.4641
330,0.4643
331,0.4684
332,0.4716
333,0.4714
334,0.4692
335,0.4706
336,0.4722
337,0.4673
338,0.4651
339,0.4665
340,0.4657
341,0.4645
342,0.4635
343,0.4653
344,0.4651
345,0.4659
346,0.4637
347,0.4661
348,0.4630
349,0.4635
350,0.4690
351,0.4626
352,0.4671
353,0.4684
354,0.4675
355,0.4641
356,0.4690
357,0.4704
358,0.4708
359,0.4694
360,0.4610
361,0.4639
362,0.4667
363,0.4669
364,0.4657
365,0.4675
366,0.4645
367,0.4645
368,0.4647
369,0.4630
370,0.4630
371,0.4633
372,0.4659
373,0.4643
374,0.4665
375,0.4622
376,0.4645
377,0.4620
378,0.4622
379,0.4657
380,0.4663
381,0.4661
382,0.4663
383,0.4649
384,0.4677
385,0.4673
386,0.4686
