epoch,val_acc
0,0.3450
1,0.3657
2,0.3691
3,0.3704
4,0.3681
5,0.3655
6,0.3657
7,0.3708
8,0.3824
9,0.3793
10,0.3755
11,0.3779
12,0.3861
13,0.3904
14,0.3930
15,0.3898
16,0.3885
17,0.3895
18,0.3928
19,0.3957
20,0.3973
21,0.3998
22,0.3989
23,0.3979
24,0.4012
25,0.4049
26,0.4079
27,0.4094
28,0.4132
29,0.4143
30,0.4216
31,0.4226
32,0.4216
33,0.4210
34,0.4224
35,0.4245
36,0.4271
37,0.4271
38,0.4290
39,0.4243
40,0.4234
41,0.4290
42,0.4312
43,0.4265
44,0.4247
45,0.4257
46,0.4316
47,0.4292
48,0.4236
49,0.4259
50,0.4306
51,0.4292
52,0.4232
53,0.4253
54,0.4283
55,0.4306
56,0.4230
57,0.4226
58,0.4296
59,0.4300
60,0.4257
61,0.4236
62,0.4300
63,0.4308
64,0.4249
65,0.4247
66,0.4306
67,0.4306
68,0.4302
69,0.4257
70,0.4304
71,0.4312
72,0.4296
73,0.4298
74,0.4306
75,0.4294
76,0.4267
77,0.4222
78,0.4302
79,0.4322
80,0.4251
81,0.4290
82,0.4322
83,0.4330
84,0.4281
85,0.4275
86,0.4339
87,0.4332
88,0.4281
89,0.4300
90,0.4322
91,0.4302
92,0.4312
93,0.4287
94,0.4324
95,0.4322
96,0.4287
97,0.4290
98,0.4287
99,0.4302
100,0.4290
101,0.4306
102,0.4287
103,0.4275
104,0.4277
105,0.4320
106,0.4302
107,0.4312
108,0.4316
109,0.4316
110,0.4312
111,0.4322
112,0.4320
113,0.4314
114,0.4345
115,0.4334
116,0.4314
117,0.4306
118,0.4341
119,0.4324
120,0.4341
121,0.4339
122,0.4336
123,0.4334
124,0.4336
125,0.4326
126,0.4324
127,0.4341
128,0.4349
129,0.4355
130,0.4328
131,0.4320
132,0.4341
133,0.4359
134,0.4343
135,0.4300
136,0.4298
137,0.4334
138,0.4302
139,0.4326
140,0.4326
141,0.4320
142,0.4328
143,0.4330
144,0.4339
145,0.4326
146,0.4334
147,0.4326
148,0.4330
149,0.4330
150,0.4347
151,0.4334
152,0.4353
153,0.4361
154,0.4345
155,0.4336
156,0.4353
157,0.4339
158,0.4326
159,0.4328
160,0.4377
161,0.4345
162,0.4349
163,0.4296
164,0.4334
165,0.4328
166,0.4314
167,0.4320
168,0.4345
169,0.4355
170,0.4322
171,0.4324
172,0.4351
173,0.4347
174,0.4334
175,0.4328
176,0.4339
177,0.4314
178,0.4322
179,0.4351
180,0.4343
181,0.4332
182,0.4347
183,0.4339
184,0.4343
185,0.4318
186,0.4341
187,0.4351
188,0.4349
189,0.4353
190,0.4351
191,0.4261
192,0.4328
193,0.4336
194,0.4314
195,0.4296
196,0.4377
197,0.4320
198,0.4298
199,0.4339
200,0.4349
201,0.4322
202,0.4290
203,0.4334
204,0.4353
205,0.4353
206,0.4283
207,0.4353
208,0.4351
209,0.4345
210,0.4316
