epoch,val_acc
0,0.1390
1,0.1619
2,0.1905
3,0.2127
4,0.2346
5,0.2544
6,0.2738
7,0.2830
8,0.2911
9,0.2993
10,0.3073
11,0.3107
12,0.3140
13,0.3148
14,0.3158
15,0.3193
16,0.3195
17,0.3220
18,0.3230
19,0.3263
20,0.3293
21,0.3314
22,0.3328
23,0.3340
24,0.3387
25,0.3412
26,0.3438
27,0.3465
28,0.3487
29,0.3491
30,0.3534
31,0.3557
32,0.3573
33,0.3579
34,0.3583
35,0.3630
36,0.3653
37,0.3685
38,0.3697
39,0.3712
40,0.3695
41,0.3685
42,0.3693
43,0.3712
44,0.3714
45,0.3699
46,0.3687
47,0.3720
48,0.3742
49,0.3740
50,0.3744
51,0.3753
52,0.3751
53,0.3736
54,0.3736
55,0.3728
56,0.3726
57,0.3724
58,0.3718
59,0.3708
60,0.3706
61,0.3708
62,0.3714
63,0.3714
64,0.3716
65,0.3708
66,0.3706
67,0.3704
68,0.3710
69,0.3712
70,0.3718
71,0.3710
72,0.3712
73,0.3712
74,0.3710
75,0.3708
76,0.3712
77,0.3712
78,0.3712
79,0.3712
80,0.3712
81,0.3712
82,0.3710
83,0.3714
84,0.3710
85,0.3708
86,0.3706
87,0.3710
88,0.3714
89,0.3716
90,0.3716
91,0.3720
92,0.3724
93,0.3722
94,0.3720
95,0.3722
96,0.3722
97,0.3718
98,0.3722
99,0.3718
100,0.3720
101,0.3718
