epoch,val_acc
0,0.2022
1,0.2528
2,0.2809
3,0.2809
4,0.2472
5,0.2697
6,0.2865
7,0.3146
8,0.3258
9,0.3483
10,0.3876
11,0.3933
12,0.3933
13,0.3989
14,0.4157
15,0.4045
16,0.4157
17,0.3933
18,0.3933
19,0.3876
20,0.3876
21,0.3933
22,0.3820
23,0.3820
24,0.3876
25,0.3708
26,0.3764
27,0.3708
28,0.3596
29,0.3539
30,0.3652
31,0.3652
32,0.3708
33,0.3652
34,0.3539
35,0.3539
36,0.3483
37,0.3427
38,0.3427
39,0.3483
40,0.3483
41,0.3427
42,0.3427
43,0.3427
44,0.3483
45,0.3483
46,0.3483
47,0.3483
48,0.3539
49,0.3596
50,0.3539
51,0.3539
52,0.3539
53,0.3539
54,0.3539
55,0.3539
56,0.3539
57,0.3539
58,0.3539
59,0.3427
60,0.3371
61,0.3371
62,0.3371
63,0.3427
64,0.3371
