epoch,val_acc
0,0.1404
1,0.1461
2,0.1461
3,0.1685
4,0.1685
5,0.1685
6,0.1742
7,0.1798
8,0.1798
9,0.1966
10,0.1966
11,0.2247
12,0.2416
13,0.2697
14,0.3202
15,0.3371
16,0.3539
17,0.3483
18,0.3596
19,0.3708
20,0.3708
21,0.3652
22,0.3596
23,0.3652
24,0.3764
25,0.3820
26,0.3764
27,0.3764
28,0.3596
29,0.3596
30,0.3652
31,0.3708
32,0.3708
33,0.3708
34,0.3596
35,0.3596
36,0.3652
37,0.3652
38,0.3539
39,0.3483
40,0.3483
41,0.3483
42,0.3539
43,0.3539
44,0.3652
45,0.3596
46,0.3596
47,0.3652
48,0.3652
49,0.3764
50,0.3708
51,0.3708
52,0.3708
53,0.3652
54,0.3652
55,0.3596
56,0.3539
57,0.3483
58,0.3483
59,0.3539
60,0.3596
61,0.3483
62,0.3371
63,0.3371
64,0.3427
65,0.3483
66,0.3483
67,0.3539
68,0.3539
69,0.3539
70,0.3539
71,0.3483
72,0.3483
73,0.3483
74,0.3483
75,0.3539
