epoch,val_acc
0,0.2753
1,0.3146
2,0.3427
3,0.3258
4,0.3202
5,0.3202
6,0.3202
7,0.3146
8,0.3146
9,0.3202
10,0.3371
11,0.3202
12,0.3202
13,0.3371
14,0.3427
15,0.3483
16,0.3483
17,0.3539
18,0.3539
19,0.3371
20,0.3315
21,0.3427
22,0.3427
23,0.3596
24,0.3539
25,0.3483
26,0.3202
27,0.3090
28,0.3034
29,0.2921
30,0.2865
31,0.2921
32,0.3034
33,0.3258
34,0.3258
35,0.3371
36,0.3371
37,0.3315
38,0.3202
39,0.3258
40,0.3202
41,0.3427
42,0.3315
43,0.3315
44,0.3315
45,0.3315
46,0.3315
47,0.3315
48,0.3315
49,0.3146
50,0.3146
51,0.3146
52,0.3202
53,0.3315
54,0.3258
55,0.3258
56,0.3258
57,0.3202
58,0.3258
59,0.3315
60,0.3202
61,0.3146
62,0.3090
63,0.3146
64,0.3090
65,0.3315
66,0.3427
67,0.3371
68,0.3202
69,0.3090
70,0.3146
71,0.3146
72,0.3146
73,0.3090
