epoch,val_acc
0,0.2528
1,0.2921
2,0.3090
3,0.3371
4,0.3258
5,0.3315
6,0.3539
7,0.3371
8,0.3596
9,0.3652
10,0.3483
11,0.3427
12,0.3427
13,0.3539
14,0.3371
15,0.3371
16,0.3427
17,0.3483
18,0.3483
19,0.3427
20,0.3371
21,0.3315
22,0.3427
23,0.3371
24,0.3202
25,0.3539
26,0.3652
27,0.3764
28,0.3708
29,0.3539
30,0.3483
31,0.3539
32,0.3371
33,0.3315
34,0.3371
35,0.3315
36,0.3371
37,0.3539
38,0.3483
39,0.3427
40,0.3483
41,0.3483
42,0.3315
43,0.3371
44,0.3427
45,0.3483
46,0.3596
47,0.3708
48,0.3596
49,0.3652
50,0.3596
51,0.3483
52,0.3371
53,0.3371
54,0.3202
55,0.3315
56,0.3596
57,0.3483
58,0.3483
59,0.3427
60,0.3483
61,0.3427
62,0.3427
63,0.3371
64,0.3371
65,0.3371
66,0.3371
67,0.3427
68,0.3258
69,0.3202
70,0.3315
71,0.3258
72,0.3315
73,0.3371
74,0.3315
75,0.3427
76,0.3427
77,0.3483
