epoch,val_acc
0,0.3427
1,0.3202
2,0.3764
3,0.3596
4,0.3764
5,0.3652
6,0.3708
7,0.3539
8,0.3539
9,0.3708
10,0.3596
11,0.3483
12,0.3371
13,0.3258
14,0.3427
15,0.3483
16,0.3258
17,0.3315
18,0.3315
19,0.3371
20,0.3483
21,0.3539
22,0.3427
23,0.3596
24,0.3596
25,0.3596
26,0.3596
27,0.3539
28,0.3371
29,0.3371
30,0.3483
31,0.3596
32,0.3652
33,0.3708
34,0.3708
35,0.3652
36,0.3764
37,0.3652
38,0.3933
39,0.3820
40,0.3652
41,0.3539
42,0.3652
43,0.3764
44,0.3876
45,0.3764
46,0.3652
47,0.3652
48,0.3708
49,0.3652
50,0.3539
51,0.3764
52,0.3876
53,0.3876
54,0.3933
55,0.3876
56,0.3820
57,0.3933
58,0.3876
59,0.3708
60,0.3596
61,0.3764
62,0.3652
63,0.3539
64,0.3483
65,0.3596
66,0.3708
67,0.3708
68,0.3708
69,0.3764
70,0.3764
71,0.3820
72,0.3820
73,0.3764
74,0.3764
75,0.3764
76,0.3764
77,0.3764
78,0.3764
79,0.3820
80,0.3764
81,0.3708
82,0.3652
83,0.3708
84,0.3708
85,0.3708
86,0.3820
87,0.3820
88,0.3820
