epoch,val_acc
0,0.2921
1,0.3483
2,0.3652
3,0.3764
4,0.3820
5,0.3933
6,0.3989
7,0.3820
8,0.4045
9,0.3820
10,0.3764
11,0.3708
12,0.3820
13,0.3933
14,0.3933
15,0.3933
16,0.3989
17,0.4045
18,0.3989
19,0.4101
20,0.4045
21,0.3820
22,0.3876
23,0.3764
24,0.3764
25,0.3652
26,0.3483
27,0.3371
28,0.3090
29,0.3539
30,0.3652
31,0.3708
32,0.3708
33,0.3708
34,0.3596
35,0.3483
36,0.3652
37,0.3596
38,0.3427
39,0.3371
40,0.3539
41,0.3258
42,0.3371
43,0.3483
44,0.3258
45,0.3315
46,0.3315
47,0.3202
48,0.3146
49,0.3315
50,0.3427
51,0.3258
52,0.3258
53,0.3315
54,0.3258
55,0.3146
56,0.3258
57,0.3258
58,0.3258
59,0.3146
60,0.3202
61,0.3146
62,0.3202
63,0.3258
64,0.3202
65,0.3202
66,0.3202
67,0.3090
68,0.3146
69,0.3258
