epoch,val_acc
0,0.1970
1,0.2617
2,0.3143
3,0.3519
4,0.3759
5,0.4150
6,0.4511
7,0.4752
8,0.4902
9,0.5038
10,0.5218
11,0.5429
12,0.5594
13,0.5759
14,0.5910
15,0.5940
16,0.6000
17,0.6075
18,0.6241
19,0.6316
20,0.6376
21,0.6451
22,0.6662
23,0.6767
24,0.6827
25,0.6902
26,0.6977
27,0.6962
28,0.6962
29,0.7083
30,0.7128
31,0.7143
32,0.7143
33,0.7128
34,0.7128
35,0.7113
36,0.7113
37,0.7143
38,0.7143
39,0.7143
40,0.7143
41,0.7203
42,0.7233
43,0.7233
44,0.7248
45,0.7248
46,0.7248
47,0.7263
48,0.7263
49,0.7263
50,0.7323
51,0.7323
52,0.7338
53,0.7353
54,0.7368
55,0.7383
56,0.7398
57,0.7398
58,0.7398
59,0.7414
60,0.7444
61,0.7444
62,0.7429
63,0.7429
64,0.7429
65,0.7414
66,0.7414
67,0.7414
68,0.7398
69,0.7383
70,0.7414
71,0.7414
72,0.7429
73,0.7429
74,0.7429
75,0.7429
76,0.7429
77,0.7429
78,0.7429
79,0.7414
80,0.7398
81,0.7368
82,0.7368
83,0.7383
84,0.7383
85,0.7398
86,0.7398
87,0.7414
88,0.7414
89,0.7414
90,0.7414
91,0.7414
92,0.7414
93,0.7414
94,0.7414
95,0.7414
96,0.7414
97,0.7414
98,0.7429
99,0.7429
100,0.7444
101,0.7444
102,0.7444
103,0.7429
104,0.7444
105,0.7459
106,0.7459
107,0.7459
108,0.7429
109,0.7429
110,0.7429
111,0.7429
112,0.7429
113,0.7429
114,0.7429
115,0.7444
116,0.7459
117,0.7459
118,0.7459
119,0.7459
120,0.7459
121,0.7474
122,0.7459
123,0.7444
124,0.7474
125,0.7474
126,0.7459
127,0.7489
128,0.7474
129,0.7474
130,0.7474
131,0.7474
132,0.7474
133,0.7444
134,0.7444
135,0.7444
136,0.7459
137,0.7444
138,0.7474
139,0.7474
140,0.7474
141,0.7474
142,0.7474
143,0.7474
144,0.7474
145,0.7444
146,0.7414
147,0.7414
148,0.7429
149,0.7429
150,0.7414
151,0.7414
152,0.7429
153,0.7429
154,0.7429
155,0.7444
156,0.7444
157,0.7444
158,0.7459
159,0.7444
160,0.7459
161,0.7459
162,0.7459
163,0.7444
164,0.7444
165,0.7459
166,0.7474
167,0.7474
168,0.7489
169,0.7504
170,0.7504
171,0.7504
172,0.7504
173,0.7504
174,0.7519
175,0.7519
176,0.7519
177,0.7519
178,0.7534
179,0.7549
180,0.7579
181,0.7549
182,0.7534
183,0.7549
184,0.7549
185,0.7534
186,0.7549
187,0.7534
188,0.7534
189,0.7519
190,0.7504
191,0.7489
192,0.7489
193,0.7519
194,0.7549
195,0.7549
196,0.7549
197,0.7549
198,0.7579
199,0.7579
200,0.7579
201,0.7579
202,0.7579
203,0.7579
204,0.7579
205,0.7564
206,0.7564
207,0.7564
208,0.7579
209,0.7579
210,0.7579
211,0.7594
212,0.7594
213,0.7579
214,0.7594
215,0.7594
216,0.7594
217,0.7594
218,0.7594
219,0.7609
220,0.7609
221,0.7609
222,0.7609
223,0.7609
224,0.7609
225,0.7609
226,0.7609
227,0.7624
228,0.7624
229,0.7624
230,0.7624
231,0.7624
232,0.7624
233,0.7624
234,0.7609
235,0.7579
236,0.7579
237,0.7579
238,0.7579
239,0.7564
240,0.7564
241,0.7564
242,0.7549
243,0.7549
244,0.7549
245,0.7549
246,0.7549
247,0.7549
248,0.7564
249,0.7549
250,0.7549
251,0.7549
252,0.7534
253,0.7549
254,0.7549
255,0.7549
256,0.7534
257,0.7549
258,0.7534
259,0.7534
260,0.7534
261,0.7534
262,0.7534
263,0.7534
264,0.7534
265,0.7519
266,0.7534
267,0.7549
268,0.7564
269,0.7564
270,0.7564
271,0.7564
272,0.7564
273,0.7564
274,0.7564
275,0.7564
276,0.7579
277,0.7549
