epoch,val_acc
0,0.6150
1,0.6797
2,0.7143
3,0.7233
4,0.7203
5,0.7429
6,0.7564
7,0.7564
8,0.7564
9,0.7624
10,0.7684
11,0.7699
12,0.7789
13,0.7669
14,0.7669
15,0.7639
16,0.7609
17,0.7669
18,0.7699
19,0.7684
20,0.7744
21,0.7699
22,0.7699
23,0.7744
24,0.7744
25,0.7699
26,0.7729
27,0.7714
28,0.7729
29,0.7729
30,0.7669
31,0.7624
32,0.7714
33,0.7759
34,0.7805
35,0.7835
36,0.7835
37,0.7759
38,0.7699
39,0.7639
40,0.7669
41,0.7609
42,0.7714
43,0.7714
44,0.7759
45,0.7744
46,0.7759
47,0.7759
48,0.7774
49,0.7744
50,0.7759
51,0.7835
52,0.7789
53,0.7789
54,0.7805
55,0.7774
56,0.7729
57,0.7729
58,0.7789
59,0.7774
60,0.7774
61,0.7835
62,0.7865
63,0.7820
64,0.7789
65,0.7789
66,0.7805
67,0.7835
68,0.7925
69,0.7940
70,0.7940
71,0.7910
72,0.7850
73,0.7880
74,0.7865
75,0.7895
76,0.7835
77,0.7865
78,0.7805
79,0.7850
80,0.7865
81,0.7925
82,0.7865
83,0.7910
84,0.7955
85,0.7985
86,0.7910
87,0.7925
88,0.7925
89,0.7865
90,0.7699
91,0.7729
92,0.7789
93,0.7805
94,0.7925
95,0.7985
96,0.7970
97,0.7895
98,0.7820
99,0.7729
100,0.7774
101,0.7774
102,0.7789
103,0.7850
104,0.7880
105,0.7835
106,0.7820
107,0.7774
108,0.7774
109,0.7729
110,0.7714
111,0.7729
112,0.7699
113,0.7744
114,0.7835
115,0.7850
116,0.7910
117,0.7940
118,0.7955
119,0.7955
120,0.7774
121,0.7744
122,0.7669
123,0.7699
124,0.7714
125,0.7639
126,0.7639
127,0.7684
128,0.7789
129,0.7684
130,0.7699
131,0.7759
132,0.7820
133,0.7820
134,0.7805
135,0.7850
