epoch,val_acc
0,0.4737
1,0.6271
2,0.6932
3,0.7188
4,0.7173
5,0.7068
6,0.7143
7,0.7128
8,0.7023
9,0.6917
10,0.6977
11,0.6947
12,0.6932
13,0.6917
14,0.6977
15,0.6992
16,0.7008
17,0.7068
18,0.7143
19,0.7173
20,0.7158
21,0.7173
22,0.7158
23,0.7143
24,0.7143
25,0.7113
26,0.7158
27,0.7203
28,0.7233
29,0.7233
30,0.7218
31,0.7188
32,0.7203
33,0.7248
34,0.7233
35,0.7248
36,0.7263
37,0.7248
38,0.7263
39,0.7293
40,0.7293
41,0.7308
42,0.7308
43,0.7248
44,0.7248
45,0.7218
46,0.7218
47,0.7233
48,0.7173
49,0.7218
50,0.7248
51,0.7278
52,0.7263
53,0.7338
54,0.7353
55,0.7338
56,0.7308
57,0.7308
58,0.7278
59,0.7278
60,0.7278
61,0.7248
62,0.7263
63,0.7233
64,0.7248
65,0.7248
66,0.7233
67,0.7203
68,0.7173
69,0.7143
70,0.7158
71,0.7188
72,0.7143
73,0.7173
74,0.7173
75,0.7158
76,0.7128
77,0.7158
78,0.7173
79,0.7233
80,0.7218
81,0.7173
82,0.7143
83,0.7158
84,0.7218
85,0.7188
86,0.7188
87,0.7203
88,0.7233
89,0.7248
90,0.7323
91,0.7308
92,0.7203
93,0.7158
94,0.7158
95,0.7233
96,0.7323
97,0.7308
98,0.7293
99,0.7263
100,0.7203
101,0.7173
102,0.7143
103,0.7188
104,0.7233
