epoch,val_acc
0,0.5414
1,0.7023
2,0.7338
3,0.7444
4,0.7474
5,0.7489
6,0.7549
7,0.7594
8,0.7669
9,0.7729
10,0.7714
11,0.7654
12,0.7669
13,0.7594
14,0.7579
15,0.7699
16,0.7609
17,0.7609
18,0.7564
19,0.7504
20,0.7504
21,0.7444
22,0.7429
23,0.7459
24,0.7474
25,0.7504
26,0.7504
27,0.7459
28,0.7444
29,0.7429
30,0.7429
31,0.7489
32,0.7534
33,0.7534
34,0.7519
35,0.7519
36,0.7504
37,0.7474
38,0.7504
39,0.7504
40,0.7459
41,0.7459
42,0.7414
43,0.7398
44,0.7323
45,0.7323
46,0.7293
47,0.7323
48,0.7368
49,0.7414
50,0.7429
51,0.7398
52,0.7414
53,0.7383
54,0.7368
55,0.7368
56,0.7429
57,0.7429
58,0.7383
59,0.7398
