epoch,val_acc
0,0.5910
1,0.6571
2,0.6812
3,0.6962
4,0.7143
5,0.7263
6,0.7353
7,0.7398
8,0.7398
9,0.7504
10,0.7459
11,0.7429
12,0.7429
13,0.7519
14,0.7534
15,0.7564
16,0.7624
17,0.7639
18,0.7594
19,0.7564
20,0.7534
21,0.7579
22,0.7549
23,0.7489
24,0.7444
25,0.7429
26,0.7459
27,0.7444
28,0.7429
29,0.7383
30,0.7414
31,0.7444
32,0.7459
33,0.7383
34,0.7368
35,0.7414
36,0.7429
37,0.7429
38,0.7429
39,0.7459
40,0.7398
41,0.7444
42,0.7459
43,0.7489
44,0.7519
45,0.7549
46,0.7519
47,0.7504
48,0.7504
49,0.7519
50,0.7489
51,0.7504
52,0.7504
53,0.7489
54,0.7549
55,0.7549
56,0.7534
57,0.7534
58,0.7549
59,0.7519
60,0.7504
61,0.7504
62,0.7474
63,0.7459
64,0.7459
65,0.7474
66,0.7489
67,0.7489
