epoch,val_acc
0,0.3880
1,0.5654
2,0.6045
3,0.6722
4,0.7053
5,0.7068
6,0.7113
7,0.7143
8,0.7158
9,0.7113
10,0.7128
11,0.7083
12,0.7083
13,0.7083
14,0.7128
15,0.7143
16,0.7128
17,0.7143
18,0.7173
19,0.7173
20,0.7158
21,0.7158
22,0.7158
23,0.7293
24,0.7233
25,0.7248
26,0.7233
27,0.7248
28,0.7218
29,0.7233
30,0.7233
31,0.7233
32,0.7263
33,0.7293
34,0.7323
35,0.7353
36,0.7383
37,0.7383
38,0.7383
39,0.7368
40,0.7414
41,0.7398
42,0.7429
43,0.7414
44,0.7444
45,0.7504
46,0.7504
47,0.7474
48,0.7474
49,0.7459
50,0.7444
51,0.7444
52,0.7474
53,0.7459
54,0.7444
55,0.7474
56,0.7459
57,0.7429
58,0.7459
59,0.7429
60,0.7444
61,0.7459
62,0.7504
63,0.7504
64,0.7504
65,0.7474
66,0.7519
67,0.7519
68,0.7549
69,0.7564
70,0.7609
71,0.7624
72,0.7564
73,0.7474
74,0.7414
75,0.7398
76,0.7429
77,0.7459
78,0.7459
79,0.7474
80,0.7459
81,0.7414
82,0.7414
83,0.7459
84,0.7489
85,0.7429
86,0.7459
87,0.7444
88,0.7489
89,0.7504
90,0.7444
91,0.7444
92,0.7474
93,0.7474
94,0.7489
95,0.7489
96,0.7489
97,0.7504
98,0.7534
99,0.7474
100,0.7444
101,0.7474
102,0.7504
103,0.7504
104,0.7504
105,0.7504
106,0.7489
107,0.7459
108,0.7519
109,0.7519
110,0.7489
111,0.7504
112,0.7519
113,0.7489
114,0.7414
115,0.7414
116,0.7474
117,0.7549
118,0.7474
119,0.7474
120,0.7474
121,0.7474
