id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,0,0.7654,0.7658,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,1,0.7729,0.7658,65,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,2,0.7714,0.7703,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,3,0.7744,0.7538,78,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,4,0.7955,0.7643,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,5,0.7624,0.7703,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,6,0.7714,0.7628,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,7,0.7684,0.7523,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,8,0.7835,0.7613,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.01,0.0005,500,50,9,0.7594,0.7883,59,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,0,0.7669,0.7643,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,1,0.7684,0.7673,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,2,0.7699,0.7703,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,3,0.7684,0.7658,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,4,0.7970,0.7688,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,5,0.7729,0.7733,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,6,0.7684,0.7538,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,7,0.7699,0.7583,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,8,0.7774,0.7733,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.01,0.0001,500,50,9,0.7594,0.7868,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,0,0.7609,0.7643,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,1,0.7669,0.7748,56,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,2,0.7744,0.7733,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,3,0.7669,0.7628,66,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,4,0.7955,0.7613,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,5,0.7744,0.7613,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,6,0.7699,0.7643,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,7,0.7699,0.7568,58,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,8,0.7789,0.7718,57,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.01,0.0,500,50,9,0.7669,0.7883,59,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,0,0.7820,0.7733,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,1,0.7699,0.7748,70,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,2,0.7729,0.7778,61,lr_wd_seed_batched
