epoch,val_acc
0,0.3658
1,0.2989
2,0.3505
3,0.4080
4,0.4207
5,0.3924
6,0.4033
7,0.4098
8,0.4320
9,0.4564
10,0.4560
11,0.4465
12,0.4607
13,0.4778
14,0.5109
15,0.5498
16,0.5884
17,0.6142
18,0.6218
19,0.6335
20,0.6498
21,0.6622
22,0.6698
23,0.6673
24,0.6775
25,0.6956
26,0.6985
27,0.6945
28,0.6964
29,0.7091
30,0.7236
31,0.7269
32,0.7360
33,0.7382
34,0.7371
35,0.7425
36,0.7469
37,0.7509
38,0.7509
39,0.7560
40,0.7578
41,0.7593
42,0.7604
43,0.7676
44,0.7731
45,0.7785
46,0.7876
47,0.7916
48,0.7953
49,0.8007
50,0.8036
51,0.8073
52,0.8193
53,0.8295
54,0.8302
55,0.8316
56,0.8422
57,0.8465
58,0.8513
59,0.8531
60,0.8567
61,0.8553
62,0.8596
63,0.8611
64,0.8625
65,0.8680
66,0.8698
67,0.8716
68,0.8753
69,0.8745
70,0.8789
71,0.8811
72,0.8785
73,0.8807
74,0.8793
75,0.8775
76,0.8818
77,0.8869
78,0.8880
79,0.8876
80,0.8905
81,0.8865
82,0.8869
83,0.8916
84,0.8916
85,0.8935
86,0.8945
87,0.8931
88,0.8927
89,0.8960
90,0.8996
91,0.8953
92,0.8964
93,0.8978
94,0.8978
95,0.8996
96,0.9000
97,0.8993
98,0.9011
99,0.9069
100,0.9036
101,0.9011
102,0.9018
103,0.9033
104,0.9044
105,0.9033
106,0.9033
107,0.9036
108,0.9044
109,0.9062
110,0.9069
111,0.9076
112,0.9091
113,0.9087
114,0.9084
115,0.9091
116,0.9109
117,0.9120
118,0.9131
119,0.9124
120,0.9127
121,0.9131
122,0.9113
123,0.9131
124,0.9120
125,0.9135
126,0.9127
127,0.9142
128,0.9116
129,0.9153
130,0.9185
131,0.9182
132,0.9142
133,0.9149
134,0.9160
135,0.9167
136,0.9145
137,0.9153
138,0.9167
139,0.9185
140,0.9185
141,0.9193
142,0.9196
143,0.9178
144,0.9193
145,0.9164
146,0.9171
147,0.9178
148,0.9207
149,0.9225
150,0.9236
151,0.9207
152,0.9189
153,0.9200
154,0.9200
155,0.9225
156,0.9200
157,0.9251
158,0.9225
159,0.9222
160,0.9225
161,0.9236
162,0.9233
163,0.9240
164,0.9247
165,0.9222
166,0.9236
167,0.9236
168,0.9236
169,0.9215
170,0.9218
171,0.9233
172,0.9247
173,0.9262
174,0.9258
175,0.9255
176,0.9258
177,0.9244
178,0.9229
179,0.9251
180,0.9244
181,0.9262
182,0.9291
183,0.9298
184,0.9291
185,0.9269
186,0.9273
187,0.9280
188,0.9284
189,0.9276
190,0.9269
191,0.9287
192,0.9262
193,0.9255
194,0.9269
195,0.9258
196,0.9255
197,0.9265
198,0.9265
199,0.9255
200,0.9276
201,0.9269
202,0.9273
203,0.9291
204,0.9236
205,0.9284
206,0.9258
207,0.9269
208,0.9276
209,0.9251
210,0.9287
211,0.9295
212,0.9280
213,0.9258
214,0.9247
215,0.9269
216,0.9291
217,0.9305
218,0.9280
219,0.9251
220,0.9269
221,0.9280
222,0.9273
223,0.9269
224,0.9233
225,0.9305
226,0.9273
227,0.9269
228,0.9255
229,0.9265
230,0.9258
231,0.9262
232,0.9284
233,0.9265
234,0.9291
235,0.9273
236,0.9265
237,0.9265
238,0.9287
239,0.9298
240,0.9276
241,0.9269
242,0.9280
243,0.9269
244,0.9302
245,0.9298
246,0.9287
247,0.9280
248,0.9276
249,0.9273
250,0.9287
251,0.9291
252,0.9276
253,0.9262
254,0.9284
255,0.9280
256,0.9298
257,0.9295
258,0.9305
259,0.9309
260,0.9298
261,0.9302
262,0.9276
263,0.9287
264,0.9298
265,0.9302
266,0.9284
267,0.9298
268,0.9309
269,0.9291
270,0.9280
271,0.9273
272,0.9262
273,0.9291
274,0.9284
275,0.9284
276,0.9273
277,0.9302
278,0.9276
279,0.9280
280,0.9295
281,0.9298
282,0.9280
283,0.9284
284,0.9298
285,0.9313
286,0.9305
287,0.9295
288,0.9295
289,0.9302
290,0.9320
291,0.9305
292,0.9269
293,0.9295
294,0.9309
295,0.9331
296,0.9309
297,0.9280
298,0.9280
299,0.9284
300,0.9295
301,0.9313
302,0.9305
303,0.9298
304,0.9305
305,0.9305
306,0.9291
307,0.9295
308,0.9280
309,0.9298
310,0.9295
311,0.9291
312,0.9295
313,0.9298
314,0.9287
315,0.9309
316,0.9295
317,0.9284
318,0.9276
319,0.9284
320,0.9320
321,0.9324
322,0.9295
323,0.9287
324,0.9298
325,0.9313
326,0.9295
327,0.9298
328,0.9276
329,0.9327
330,0.9313
331,0.9291
332,0.9280
333,0.9298
334,0.9316
335,0.9305
336,0.9291
337,0.9291
338,0.9302
339,0.9295
340,0.9298
341,0.9316
342,0.9305
343,0.9287
344,0.9269
345,0.9280
