epoch,val_acc
0,0.3716
1,0.2044
2,0.2033
3,0.2458
4,0.2731
5,0.4287
6,0.4295
7,0.4600
8,0.4753
9,0.4873
10,0.5364
11,0.5822
12,0.5560
13,0.5007
14,0.4796
15,0.4800
16,0.5015
17,0.5353
18,0.5822
19,0.5931
20,0.6291
21,0.6400
22,0.6425
23,0.6440
24,0.6498
25,0.6484
26,0.6531
27,0.6695
28,0.6833
29,0.6887
30,0.6902
31,0.7029
32,0.7182
33,0.7331
34,0.7335
35,0.7280
36,0.7378
37,0.7455
38,0.7535
39,0.7516
40,0.7535
41,0.7611
42,0.7655
43,0.7687
44,0.7705
45,0.7680
46,0.7742
47,0.7778
48,0.7796
49,0.7851
50,0.7887
51,0.7873
52,0.7920
53,0.7942
54,0.7967
55,0.8062
56,0.8116
57,0.8131
58,0.8138
59,0.8149
60,0.8193
61,0.8251
62,0.8291
63,0.8385
64,0.8498
65,0.8622
66,0.8676
67,0.8695
68,0.8716
69,0.8702
70,0.8749
71,0.8745
72,0.8800
73,0.8825
74,0.8865
75,0.8865
76,0.8876
77,0.8905
78,0.8887
79,0.8916
80,0.8913
81,0.8942
82,0.8920
83,0.8942
84,0.8945
85,0.8956
86,0.8982
87,0.8989
88,0.8982
89,0.8978
90,0.8982
91,0.8978
92,0.9018
93,0.8996
94,0.9015
95,0.8996
96,0.9000
97,0.8967
98,0.8985
99,0.9000
100,0.9029
101,0.9055
102,0.9065
103,0.9044
104,0.9000
105,0.8967
106,0.8985
107,0.9044
108,0.9062
109,0.9076
110,0.9065
111,0.9011
112,0.9011
113,0.9025
114,0.9058
115,0.9055
116,0.9080
117,0.9109
118,0.9091
119,0.9087
120,0.9065
121,0.9051
122,0.9033
123,0.9044
124,0.9051
125,0.9073
126,0.9098
127,0.9120
128,0.9084
129,0.9087
130,0.9062
131,0.9051
132,0.9051
133,0.9065
134,0.9055
135,0.9084
136,0.9109
137,0.9124
138,0.9105
139,0.9135
140,0.9131
141,0.9113
142,0.9116
143,0.9135
144,0.9149
145,0.9124
146,0.9138
147,0.9145
148,0.9091
149,0.9073
150,0.9084
151,0.9135
152,0.9167
153,0.9167
154,0.9160
155,0.9135
156,0.9120
157,0.9120
158,0.9142
159,0.9193
160,0.9178
161,0.9153
162,0.9120
163,0.9109
164,0.9127
165,0.9164
166,0.9171
167,0.9149
168,0.9160
169,0.9167
170,0.9185
171,0.9182
172,0.9175
173,0.9138
174,0.9120
175,0.9164
176,0.9215
177,0.9204
178,0.9200
179,0.9196
180,0.9160
181,0.9171
182,0.9207
183,0.9229
184,0.9218
185,0.9211
186,0.9164
187,0.9142
188,0.9189
189,0.9215
190,0.9229
191,0.9211
192,0.9218
193,0.9189
194,0.9204
195,0.9207
196,0.9211
197,0.9222
198,0.9225
199,0.9229
200,0.9229
201,0.9222
202,0.9211
203,0.9207
204,0.9244
205,0.9233
206,0.9233
207,0.9218
208,0.9218
209,0.9215
210,0.9222
211,0.9233
212,0.9233
213,0.9233
214,0.9215
215,0.9200
216,0.9196
217,0.9207
218,0.9244
219,0.9251
220,0.9229
221,0.9218
222,0.9229
223,0.9236
224,0.9236
225,0.9247
226,0.9240
227,0.9236
228,0.9236
229,0.9211
230,0.9207
231,0.9225
232,0.9229
233,0.9233
234,0.9244
235,0.9251
236,0.9229
237,0.9229
238,0.9244
239,0.9233
240,0.9236
241,0.9244
242,0.9204
243,0.9211
244,0.9240
245,0.9244
246,0.9244
247,0.9244
248,0.9218
249,0.9229
250,0.9229
251,0.9255
252,0.9258
253,0.9255
254,0.9247
255,0.9218
256,0.9178
257,0.9218
258,0.9247
259,0.9244
260,0.9247
261,0.9255
262,0.9236
263,0.9251
264,0.9258
265,0.9269
266,0.9251
267,0.9233
268,0.9222
269,0.9240
270,0.9247
271,0.9291
272,0.9229
273,0.9244
274,0.9233
275,0.9229
276,0.9244
277,0.9251
278,0.9244
279,0.9247
280,0.9207
281,0.9175
282,0.9204
283,0.9229
284,0.9247
285,0.9222
286,0.9204
287,0.9222
288,0.9229
289,0.9251
290,0.9273
291,0.9262
292,0.9251
293,0.9251
294,0.9247
295,0.9255
296,0.9251
297,0.9240
298,0.9233
299,0.9255
300,0.9273
301,0.9258
302,0.9233
303,0.9251
304,0.9255
305,0.9247
306,0.9251
307,0.9229
308,0.9247
309,0.9251
310,0.9247
311,0.9265
312,0.9247
313,0.9247
314,0.9265
315,0.9233
316,0.9236
317,0.9247
318,0.9247
319,0.9244
320,0.9236
321,0.9265
