epoch,val_acc
0,0.3647
1,0.1524
2,0.1538
3,0.1098
4,0.1658
5,0.3855
6,0.3767
7,0.3327
8,0.3495
9,0.2880
10,0.3331
11,0.2109
12,0.2662
13,0.2760
14,0.2876
15,0.4335
16,0.2938
17,0.2967
18,0.3360
19,0.3535
20,0.3909
21,0.3840
22,0.3920
23,0.3931
24,0.3891
25,0.3811
26,0.3891
27,0.4091
28,0.4251
29,0.4320
30,0.4338
31,0.4331
32,0.4407
33,0.4589
34,0.4673
35,0.5011
36,0.5262
37,0.5680
38,0.5520
39,0.5956
40,0.6029
41,0.6124
42,0.5775
43,0.6411
44,0.6618
45,0.6327
46,0.6742
47,0.6756
48,0.6793
49,0.6975
50,0.6975
51,0.7007
52,0.7164
53,0.7247
54,0.7218
55,0.7564
56,0.7618
57,0.7545
58,0.7644
59,0.7527
60,0.7833
61,0.7829
62,0.7600
63,0.7800
64,0.7767
65,0.7964
66,0.7942
67,0.8065
68,0.8058
69,0.8145
70,0.8153
71,0.8189
72,0.8153
73,0.8193
74,0.8284
75,0.8316
76,0.8349
77,0.8367
78,0.8396
79,0.8400
80,0.8411
81,0.8425
82,0.8462
83,0.8487
84,0.8545
85,0.8520
86,0.8545
87,0.8538
88,0.8560
89,0.8560
90,0.8585
91,0.8596
92,0.8596
93,0.8615
94,0.8615
95,0.8625
96,0.8658
97,0.8647
98,0.8636
99,0.8691
100,0.8724
101,0.8705
102,0.8724
103,0.8775
104,0.8764
105,0.8825
106,0.8818
107,0.8807
108,0.8822
109,0.8822
110,0.8847
111,0.8865
112,0.8902
113,0.8862
114,0.8931
115,0.8895
116,0.8913
117,0.8858
118,0.8905
119,0.8905
120,0.8935
121,0.8902
122,0.8905
123,0.8909
124,0.8949
125,0.8975
126,0.8956
127,0.8975
128,0.8945
129,0.8982
130,0.8967
131,0.8931
132,0.8916
133,0.8945
134,0.8967
135,0.8956
136,0.8982
137,0.9011
138,0.9018
139,0.8982
140,0.8964
141,0.8964
142,0.8960
143,0.8985
144,0.9000
145,0.8985
146,0.8985
147,0.9015
148,0.9004
149,0.9029
150,0.9022
151,0.8985
152,0.9025
153,0.9025
154,0.8964
155,0.9000
156,0.9044
157,0.9011
158,0.8978
159,0.9011
160,0.8971
161,0.9036
162,0.9040
163,0.9011
164,0.9022
165,0.9029
166,0.9029
167,0.9022
168,0.8996
169,0.9018
170,0.9033
171,0.9033
172,0.8996
173,0.8964
174,0.9022
175,0.9029
176,0.9007
177,0.8989
178,0.9036
179,0.9022
180,0.9033
181,0.9007
182,0.9036
183,0.9029
184,0.9025
185,0.9033
186,0.9033
187,0.9029
188,0.9040
189,0.9029
190,0.9044
191,0.9022
192,0.8989
193,0.9022
194,0.9022
195,0.9040
196,0.9047
197,0.9062
198,0.9022
199,0.9029
200,0.9018
201,0.9051
202,0.9033
203,0.9004
204,0.9040
205,0.9058
206,0.9065
207,0.9065
208,0.9055
209,0.9051
210,0.9044
211,0.9055
212,0.9029
213,0.9076
214,0.9044
215,0.9040
216,0.9069
217,0.9055
218,0.9047
219,0.9047
220,0.9044
221,0.9040
222,0.9051
223,0.9058
224,0.9044
225,0.9051
226,0.9036
227,0.9058
228,0.9055
229,0.9069
230,0.9065
231,0.9062
232,0.9047
233,0.9004
234,0.9033
235,0.9073
236,0.9076
237,0.9051
238,0.9058
239,0.9091
240,0.9033
241,0.9073
242,0.9047
243,0.9098
244,0.9073
245,0.9044
246,0.9047
247,0.9073
248,0.9058
249,0.9062
250,0.9029
251,0.9069
252,0.9065
253,0.9073
254,0.9109
255,0.9095
256,0.9116
257,0.9084
258,0.9098
259,0.9062
260,0.9102
261,0.9091
262,0.9102
263,0.9109
264,0.9055
265,0.9062
266,0.9109
267,0.9105
268,0.9124
269,0.9116
270,0.9087
271,0.9113
272,0.9102
273,0.9080
274,0.9105
275,0.9120
276,0.9102
277,0.9091
278,0.9109
279,0.9080
280,0.9091
281,0.9065
282,0.9102
283,0.9120
284,0.9102
285,0.9098
286,0.9131
287,0.9116
288,0.9120
289,0.9098
290,0.9091
291,0.9135
292,0.9087
293,0.9091
294,0.9116
295,0.9087
296,0.9098
297,0.9135
298,0.9095
299,0.9102
300,0.9109
301,0.9084
302,0.9120
303,0.9135
304,0.9120
305,0.9105
306,0.9080
307,0.9105
308,0.9149
309,0.9135
310,0.9109
311,0.9098
312,0.9091
313,0.9131
314,0.9102
315,0.9084
316,0.9098
317,0.9095
318,0.9120
319,0.9091
320,0.9131
321,0.9127
322,0.9087
323,0.9058
324,0.9095
325,0.9098
326,0.9102
327,0.9116
328,0.9098
329,0.9116
330,0.9149
331,0.9145
332,0.9135
333,0.9145
334,0.9116
335,0.9087
336,0.9098
337,0.9113
338,0.9127
339,0.9116
340,0.9138
341,0.9105
342,0.9131
343,0.9084
344,0.9113
345,0.9102
346,0.9135
347,0.9109
348,0.9095
349,0.9113
350,0.9098
351,0.9105
352,0.9149
353,0.9138
354,0.9113
355,0.9091
356,0.9091
357,0.9102
358,0.9124
