epoch,val_acc
0,0.1567
1,0.3640
2,0.3655
3,0.1364
4,0.2055
5,0.0589
6,0.0996
7,0.3858
8,0.3825
9,0.3258
10,0.2996
11,0.3320
12,0.3978
13,0.2516
14,0.2073
15,0.1735
16,0.2404
17,0.2676
18,0.3062
19,0.3062
20,0.3149
21,0.3880
22,0.3945
23,0.3895
24,0.3920
25,0.4033
26,0.4258
27,0.4240
28,0.4269
29,0.4440
30,0.4324
31,0.4331
32,0.4298
33,0.4233
34,0.4236
35,0.4240
36,0.4291
37,0.4273
38,0.4349
39,0.4480
40,0.4531
41,0.4593
42,0.4585
43,0.4542
44,0.4560
45,0.4585
46,0.4629
47,0.4749
48,0.4905
49,0.4978
50,0.5040
51,0.5007
52,0.5004
53,0.5087
54,0.5127
55,0.5105
56,0.5124
57,0.5258
58,0.5389
59,0.5396
60,0.5400
61,0.5404
62,0.5505
63,0.5567
64,0.5549
65,0.5604
66,0.5742
67,0.5767
68,0.5818
69,0.5884
70,0.5989
71,0.6065
72,0.6120
73,0.6102
74,0.6240
75,0.6280
76,0.6371
77,0.6484
78,0.6524
79,0.6415
80,0.6480
81,0.6509
82,0.6455
83,0.6582
84,0.6531
85,0.6251
86,0.6538
87,0.6673
88,0.6691
89,0.6647
90,0.6640
91,0.6669
92,0.6673
93,0.6615
94,0.6793
95,0.6818
96,0.6767
97,0.6778
98,0.6898
99,0.6913
100,0.6865
101,0.6902
102,0.7025
103,0.7029
104,0.6982
105,0.7025
106,0.7109
107,0.7113
108,0.7007
109,0.7153
110,0.7287
111,0.7287
112,0.7247
113,0.7265
114,0.7342
115,0.7298
116,0.7316
117,0.7356
118,0.7429
119,0.7473
120,0.7404
121,0.7422
122,0.7509
123,0.7527
124,0.7516
125,0.7451
126,0.7498
127,0.7535
128,0.7556
129,0.7611
130,0.7604
131,0.7585
132,0.7625
133,0.7665
134,0.7687
135,0.7669
136,0.7636
137,0.7640
138,0.7713
139,0.7716
140,0.7716
141,0.7684
142,0.7698
143,0.7731
144,0.7760
145,0.7724
146,0.7698
147,0.7749
148,0.7775
149,0.7789
150,0.7800
151,0.7771
152,0.7778
153,0.7793
154,0.7778
155,0.7804
156,0.7811
157,0.7804
158,0.7825
159,0.7836
160,0.7847
161,0.7833
162,0.7833
163,0.7840
164,0.7895
165,0.7916
166,0.7945
167,0.7920
168,0.7909
169,0.7927
170,0.7953
171,0.7964
172,0.7971
173,0.7971
174,0.8000
175,0.8015
176,0.7996
177,0.8015
178,0.8047
179,0.8011
180,0.8018
181,0.8022
182,0.8080
183,0.8044
184,0.8109
185,0.8098
186,0.8062
187,0.8175
188,0.8189
189,0.8127
190,0.8156
191,0.8196
192,0.8218
193,0.8124
194,0.8233
195,0.8240
196,0.8251
197,0.8291
198,0.8298
199,0.8269
200,0.8269
201,0.8258
202,0.8284
203,0.8302
204,0.8327
205,0.8258
206,0.8320
207,0.8305
208,0.8313
209,0.8251
210,0.8356
211,0.8320
212,0.8160
213,0.8316
214,0.8342
215,0.8218
216,0.8385
217,0.8360
218,0.8291
219,0.8353
220,0.8396
221,0.8367
222,0.8371
223,0.8396
224,0.8393
225,0.8378
226,0.8378
227,0.8385
228,0.8400
229,0.8389
230,0.8400
231,0.8385
232,0.8382
233,0.8433
234,0.8185
235,0.8411
236,0.8415
237,0.8211
238,0.8364
239,0.8393
240,0.8215
