epoch,val_acc
0,0.3713
1,0.1644
2,0.1505
3,0.1505
4,0.2560
5,0.2491
6,0.2684
7,0.2687
8,0.4080
9,0.4982
10,0.4389
11,0.4385
12,0.4462
13,0.3844
14,0.1815
15,0.1691
16,0.1680
17,0.1862
18,0.4462
19,0.4124
20,0.3920
21,0.3705
22,0.3713
23,0.3713
24,0.3713
25,0.3713
26,0.3713
27,0.3713
28,0.3709
29,0.3713
30,0.3695
31,0.3691
32,0.3702
33,0.3720
34,0.3891
35,0.4364
36,0.4589
37,0.4691
38,0.4680
39,0.4625
40,0.4633
41,0.4865
42,0.5200
43,0.5291
44,0.5964
45,0.6542
46,0.6705
47,0.6767
48,0.6800
49,0.6815
50,0.6855
51,0.6927
52,0.7145
53,0.7225
54,0.7313
55,0.7338
56,0.7324
57,0.7298
58,0.7316
59,0.7433
60,0.7469
61,0.7520
62,0.7498
63,0.7553
64,0.7567
65,0.7553
66,0.7564
67,0.7636
68,0.7745
69,0.7836
70,0.7935
71,0.7938
72,0.7938
73,0.7876
74,0.7924
75,0.8051
76,0.8044
77,0.7996
78,0.8058
79,0.8080
80,0.8182
81,0.8124
82,0.8236
83,0.8189
84,0.8236
85,0.8335
86,0.8367
87,0.8415
88,0.8382
89,0.8418
90,0.8371
91,0.8400
92,0.8451
93,0.8487
94,0.8520
95,0.8545
96,0.8556
97,0.8502
98,0.8458
99,0.8505
100,0.8618
101,0.8593
102,0.8575
103,0.8567
104,0.8513
105,0.8553
106,0.8636
107,0.8655
108,0.8600
109,0.8600
110,0.8622
111,0.8582
112,0.8571
113,0.8640
114,0.8662
115,0.8647
116,0.8665
117,0.8655
118,0.8655
119,0.8651
120,0.8687
121,0.8702
122,0.8735
123,0.8727
124,0.8735
125,0.8738
126,0.8731
127,0.8720
128,0.8724
129,0.8767
130,0.8778
131,0.8749
132,0.8727
133,0.8720
134,0.8760
135,0.8778
136,0.8782
137,0.8753
138,0.8764
139,0.8782
140,0.8775
141,0.8796
142,0.8778
143,0.8775
144,0.8789
145,0.8811
146,0.8822
147,0.8807
148,0.8800
149,0.8793
150,0.8753
151,0.8829
152,0.8818
153,0.8807
154,0.8749
155,0.8782
156,0.8855
157,0.8815
158,0.8764
159,0.8796
160,0.8804
161,0.8818
162,0.8800
163,0.8825
164,0.8836
165,0.8887
166,0.8902
167,0.8855
168,0.8822
169,0.8855
170,0.8873
171,0.8905
172,0.8916
173,0.8887
174,0.8865
175,0.8869
176,0.8898
177,0.8902
178,0.8920
179,0.8916
180,0.8909
181,0.8895
182,0.8913
183,0.8836
184,0.8887
185,0.8902
186,0.8887
187,0.8935
188,0.8865
189,0.8778
190,0.8935
191,0.8993
192,0.8913
193,0.8800
194,0.8880
195,0.8956
196,0.8967
197,0.8935
198,0.8909
199,0.8887
200,0.8924
201,0.8931
202,0.8945
203,0.8945
204,0.8935
205,0.8960
206,0.8960
207,0.8971
208,0.8916
209,0.8931
210,0.8931
211,0.8982
212,0.9015
213,0.8920
214,0.8902
215,0.8942
216,0.9000
217,0.8971
218,0.8916
219,0.8865
220,0.8949
221,0.9004
222,0.8924
223,0.8887
224,0.8887
225,0.8964
226,0.8945
227,0.8960
228,0.8956
229,0.8927
230,0.8931
231,0.8931
232,0.9004
233,0.9004
234,0.8909
235,0.8942
236,0.9007
237,0.9033
238,0.9029
239,0.8956
240,0.8916
241,0.8920
242,0.9004
243,0.9022
244,0.8996
245,0.8895
246,0.8913
247,0.8971
248,0.9047
249,0.9062
250,0.8916
251,0.8887
252,0.9029
253,0.9055
254,0.9040
255,0.8945
256,0.8935
257,0.8996
258,0.8985
259,0.9011
260,0.9004
261,0.8960
262,0.8964
263,0.9004
264,0.9040
265,0.9015
266,0.9000
267,0.8956
268,0.8956
269,0.9004
270,0.9044
271,0.8975
272,0.9007
273,0.9029
274,0.8964
275,0.8916
276,0.9018
277,0.9051
278,0.9007
279,0.9015
280,0.9029
281,0.9036
282,0.9022
283,0.9018
284,0.8978
285,0.8975
286,0.8993
287,0.9044
288,0.9025
289,0.8982
290,0.9000
291,0.9073
292,0.9040
293,0.8920
294,0.8960
295,0.9011
296,0.9080
297,0.9084
298,0.8975
299,0.8909
300,0.9022
301,0.9084
302,0.9040
303,0.8956
304,0.8993
305,0.9055
306,0.9055
307,0.9007
308,0.9015
309,0.9029
310,0.9033
311,0.9047
312,0.8978
313,0.8949
314,0.8989
315,0.9029
316,0.9044
317,0.9102
318,0.9022
319,0.8949
320,0.8985
321,0.9055
322,0.9047
323,0.9095
324,0.9022
325,0.8982
326,0.9000
327,0.9044
328,0.9065
329,0.9069
330,0.9025
331,0.8964
332,0.8956
333,0.9033
334,0.9095
335,0.9058
336,0.9047
337,0.9065
338,0.9084
339,0.9033
340,0.8945
341,0.8920
342,0.9058
343,0.9065
344,0.9084
345,0.8924
346,0.8902
347,0.9040
348,0.9102
349,0.9022
350,0.8985
351,0.9011
352,0.9033
353,0.9058
354,0.8975
355,0.8949
356,0.9040
357,0.9073
358,0.9084
359,0.9040
360,0.9047
361,0.9036
362,0.9076
363,0.9033
364,0.9033
365,0.9062
366,0.9080
367,0.9062
