epoch,val_acc
0,0.3840
1,0.1582
2,0.1018
3,0.1578
4,0.1600
5,0.3836
6,0.3847
7,0.3847
8,0.3847
9,0.3847
10,0.3844
11,0.3840
12,0.3844
13,0.3851
14,0.4036
15,0.4276
16,0.4545
17,0.4545
18,0.4313
19,0.4076
20,0.3916
21,0.3855
22,0.3855
23,0.3855
24,0.3855
25,0.3855
26,0.3862
27,0.4116
28,0.4393
29,0.4545
30,0.4695
31,0.4811
32,0.4902
33,0.5058
34,0.5316
35,0.5622
36,0.5855
37,0.5993
38,0.6044
39,0.6091
40,0.6204
41,0.6302
42,0.6331
43,0.6396
44,0.6491
45,0.6556
46,0.6560
47,0.6564
48,0.6556
49,0.6585
50,0.6618
51,0.6662
52,0.6665
53,0.6658
54,0.6727
55,0.6764
56,0.6905
57,0.6924
58,0.6975
59,0.7116
60,0.7353
61,0.7407
62,0.7364
63,0.7542
64,0.7455
65,0.7611
66,0.7775
67,0.7938
68,0.7865
69,0.7887
70,0.7935
71,0.7996
72,0.8044
73,0.8098
74,0.8145
75,0.8251
76,0.8251
77,0.8204
78,0.8167
79,0.8171
80,0.8298
81,0.8342
82,0.8320
83,0.8378
84,0.8440
85,0.8371
86,0.8425
87,0.8411
88,0.8342
89,0.8407
90,0.8491
91,0.8545
92,0.8527
93,0.8476
94,0.8473
95,0.8531
96,0.8542
97,0.8607
98,0.8633
99,0.8622
100,0.8644
101,0.8687
102,0.8673
103,0.8709
104,0.8676
105,0.8676
106,0.8698
107,0.8775
108,0.8775
109,0.8713
110,0.8709
111,0.8713
112,0.8731
113,0.8749
114,0.8760
115,0.8753
116,0.8804
117,0.8767
118,0.8742
119,0.8756
120,0.8760
121,0.8800
122,0.8811
123,0.8756
124,0.8782
125,0.8811
126,0.8811
127,0.8825
128,0.8811
129,0.8789
130,0.8862
131,0.8836
132,0.8818
133,0.8815
134,0.8844
135,0.8847
136,0.8851
137,0.8869
138,0.8836
139,0.8833
140,0.8822
141,0.8840
142,0.8844
143,0.8865
144,0.8891
145,0.8887
146,0.8869
147,0.8858
148,0.8855
149,0.8898
150,0.8887
151,0.8884
152,0.8880
153,0.8858
154,0.8902
155,0.8905
156,0.8909
157,0.8887
158,0.8884
159,0.8869
160,0.8880
161,0.8876
162,0.8884
163,0.8884
164,0.8913
165,0.8891
166,0.8913
167,0.8891
168,0.8895
169,0.8876
170,0.8873
171,0.8891
172,0.8916
173,0.8938
174,0.8938
175,0.8920
176,0.8978
177,0.8938
178,0.8916
179,0.8927
180,0.8931
181,0.8916
182,0.8960
183,0.8931
184,0.8945
185,0.8938
186,0.8949
187,0.8949
188,0.8964
189,0.8960
190,0.8905
191,0.8931
192,0.8949
193,0.8920
194,0.8964
195,0.8942
196,0.8898
197,0.8898
198,0.8967
199,0.8985
200,0.8978
201,0.8938
202,0.8938
203,0.8964
204,0.8935
205,0.8956
206,0.8953
207,0.8942
208,0.8996
209,0.9011
210,0.8949
211,0.8953
212,0.8956
213,0.8982
214,0.8996
215,0.8982
216,0.8971
217,0.8964
218,0.9007
219,0.9069
220,0.9025
221,0.8982
222,0.8975
223,0.8985
224,0.9036
225,0.9025
226,0.8996
227,0.8978
228,0.9004
229,0.9084
230,0.9055
231,0.9044
232,0.8956
233,0.8971
234,0.9000
235,0.9069
236,0.9058
237,0.9004
238,0.8964
239,0.8949
240,0.8989
241,0.9011
242,0.9011
243,0.8996
244,0.8978
245,0.9007
246,0.9011
247,0.9000
248,0.9033
249,0.9004
250,0.8975
251,0.8985
252,0.9033
253,0.9036
254,0.9062
255,0.9044
256,0.9022
257,0.9022
258,0.9022
259,0.9087
260,0.9084
261,0.9040
262,0.8989
263,0.9036
264,0.9036
265,0.9058
266,0.9036
267,0.9011
268,0.9025
269,0.9044
270,0.9007
271,0.9018
272,0.9029
273,0.9040
274,0.9040
275,0.9040
276,0.8985
277,0.9051
278,0.9102
279,0.9062
280,0.9036
281,0.8985
282,0.8996
283,0.9044
284,0.9044
285,0.9076
286,0.9084
287,0.9018
288,0.9047
289,0.9065
290,0.9058
291,0.9047
292,0.9065
293,0.9073
294,0.9033
295,0.9069
296,0.9040
297,0.9047
298,0.9044
299,0.9120
300,0.9047
301,0.8993
302,0.9044
303,0.9004
304,0.9055
305,0.9062
306,0.9022
307,0.9065
308,0.9069
309,0.9040
310,0.9004
311,0.9015
312,0.9015
313,0.9080
314,0.9033
315,0.9065
316,0.9036
317,0.9036
318,0.9036
319,0.9047
320,0.9047
321,0.9073
322,0.9055
323,0.9022
324,0.9076
325,0.9069
326,0.9076
327,0.9087
328,0.9076
329,0.9073
330,0.9051
331,0.9091
332,0.9098
333,0.9087
334,0.9073
335,0.9080
336,0.9105
337,0.9095
338,0.9113
339,0.9091
340,0.9080
341,0.9095
342,0.9113
343,0.9116
344,0.9124
345,0.9105
346,0.9091
347,0.9095
348,0.9087
349,0.9102
350,0.9109
351,0.9080
352,0.9065
353,0.9080
354,0.9076
355,0.9116
356,0.9124
357,0.9098
358,0.9113
359,0.9095
360,0.9109
361,0.9091
362,0.9113
363,0.9113
364,0.9116
365,0.9076
366,0.9098
367,0.9105
368,0.9087
369,0.9116
370,0.9105
371,0.9080
372,0.9087
373,0.9069
374,0.9084
375,0.9105
376,0.9098
377,0.9095
378,0.9120
379,0.9098
380,0.9109
381,0.9091
382,0.9102
383,0.9109
384,0.9116
385,0.9084
386,0.9076
387,0.9109
388,0.9116
389,0.9098
390,0.9124
391,0.9098
392,0.9102
393,0.9095
394,0.9047
