epoch,val_acc
0,0.1440
1,0.3505
2,0.3553
3,0.3545
4,0.3516
5,0.2793
6,0.2469
7,0.3404
8,0.3542
9,0.3604
10,0.3582
11,0.3553
12,0.3549
13,0.3545
14,0.3535
15,0.3527
16,0.3524
17,0.3538
18,0.3549
19,0.3545
20,0.3564
21,0.3527
22,0.3513
23,0.3498
24,0.3491
25,0.3491
26,0.3498
27,0.3542
28,0.3582
29,0.3636
30,0.3684
31,0.3673
32,0.3665
33,0.3644
34,0.3647
35,0.3676
36,0.3695
37,0.3756
38,0.3811
39,0.3855
40,0.3876
41,0.3876
42,0.3858
43,0.3855
44,0.3873
45,0.3887
46,0.3971
47,0.4015
48,0.4058
49,0.4156
50,0.4218
51,0.4273
52,0.4331
53,0.4349
54,0.4378
55,0.4429
56,0.4538
57,0.4578
58,0.4665
59,0.4713
60,0.4753
61,0.4785
62,0.4807
63,0.4847
64,0.4945
65,0.5007
66,0.5065
67,0.5124
68,0.5189
69,0.5204
70,0.5218
71,0.5244
72,0.5284
73,0.5338
74,0.5436
75,0.5458
76,0.5484
77,0.5465
78,0.5571
79,0.5622
80,0.5702
81,0.5691
82,0.5658
83,0.5705
84,0.5760
85,0.5815
86,0.5829
87,0.5785
88,0.5796
89,0.5822
90,0.5909
91,0.6004
92,0.6015
93,0.6062
94,0.6015
95,0.6044
96,0.6084
97,0.6164
98,0.6284
99,0.6247
100,0.6247
101,0.6302
102,0.6375
103,0.6458
104,0.6571
105,0.6607
106,0.6575
107,0.6556
108,0.6556
109,0.6571
110,0.6596
111,0.6669
112,0.6764
113,0.6804
114,0.6767
115,0.6764
116,0.6782
117,0.6815
118,0.6829
119,0.6855
120,0.6862
121,0.6858
122,0.6858
123,0.6909
124,0.6924
125,0.6949
126,0.6993
127,0.7098
128,0.7204
129,0.7215
130,0.7171
131,0.7095
132,0.7142
133,0.7193
134,0.7273
135,0.7327
136,0.7309
137,0.7251
138,0.7229
139,0.7233
140,0.7291
141,0.7291
142,0.7280
143,0.7287
144,0.7324
145,0.7342
146,0.7342
147,0.7375
148,0.7375
149,0.7418
150,0.7418
151,0.7393
152,0.7364
153,0.7415
154,0.7458
155,0.7447
156,0.7425
157,0.7429
158,0.7451
159,0.7498
160,0.7509
161,0.7516
162,0.7465
163,0.7487
164,0.7520
165,0.7538
166,0.7538
167,0.7556
168,0.7527
169,0.7487
170,0.7538
171,0.7567
172,0.7578
173,0.7567
174,0.7564
175,0.7582
176,0.7593
177,0.7593
178,0.7593
179,0.7585
180,0.7560
181,0.7567
182,0.7622
183,0.7629
184,0.7633
185,0.7607
186,0.7611
187,0.7611
188,0.7607
189,0.7622
190,0.7615
191,0.7622
192,0.7644
193,0.7658
194,0.7655
195,0.7658
196,0.7662
197,0.7662
198,0.7669
199,0.7673
200,0.7680
201,0.7695
202,0.7691
203,0.7709
204,0.7713
205,0.7727
206,0.7742
207,0.7749
208,0.7738
209,0.7735
210,0.7764
211,0.7771
212,0.7775
213,0.7782
214,0.7778
215,0.7793
216,0.7804
217,0.7811
218,0.7789
219,0.7782
220,0.7767
221,0.7775
222,0.7793
223,0.7811
224,0.7829
225,0.7825
226,0.7822
227,0.7815
228,0.7796
229,0.7793
230,0.7796
231,0.7833
232,0.7836
233,0.7851
234,0.7855
235,0.7869
236,0.7855
237,0.7847
238,0.7851
239,0.7876
240,0.7869
241,0.7880
242,0.7887
243,0.7876
244,0.7880
245,0.7880
246,0.7884
247,0.7909
248,0.7913
249,0.7898
250,0.7916
251,0.7927
252,0.7927
253,0.7920
254,0.7905
255,0.7902
256,0.7935
257,0.7945
258,0.7949
259,0.7935
260,0.7931
261,0.7927
262,0.7935
263,0.7942
264,0.7945
265,0.7953
266,0.7953
267,0.7945
268,0.7967
269,0.7978
270,0.7978
271,0.7989
272,0.7989
273,0.7993
274,0.7985
275,0.7975
276,0.7982
277,0.7985
278,0.7993
279,0.8007
280,0.8004
281,0.7985
282,0.7953
283,0.7971
284,0.8011
285,0.8036
286,0.8040
287,0.8029
288,0.8022
289,0.8015
290,0.8018
291,0.8029
292,0.8055
293,0.8055
294,0.8033
295,0.8007
296,0.7996
297,0.8018
298,0.8044
299,0.8036
300,0.8040
301,0.8025
302,0.8029
303,0.8044
304,0.8073
305,0.8095
306,0.8095
307,0.8095
308,0.8098
309,0.8091
310,0.8091
311,0.8080
312,0.8076
313,0.8069
314,0.8076
315,0.8091
316,0.8105
317,0.8102
318,0.8105
319,0.8120
320,0.8120
321,0.8120
322,0.8127
323,0.8138
324,0.8153
325,0.8156
326,0.8145
327,0.8142
328,0.8145
329,0.8160
330,0.8182
331,0.8164
332,0.8138
333,0.8113
334,0.8116
335,0.8120
336,0.8153
337,0.8175
338,0.8189
339,0.8193
340,0.8182
341,0.8142
342,0.8153
343,0.8156
344,0.8185
345,0.8196
346,0.8175
347,0.8171
348,0.8175
349,0.8200
350,0.8236
351,0.8236
352,0.8204
353,0.8196
354,0.8182
355,0.8207
356,0.8218
357,0.8204
358,0.8200
359,0.8225
360,0.8273
361,0.8273
362,0.8225
363,0.8218
364,0.8222
365,0.8265
366,0.8298
367,0.8280
368,0.8258
369,0.8218
370,0.8215
371,0.8265
372,0.8305
373,0.8309
374,0.8298
375,0.8236
376,0.8233
377,0.8291
378,0.8313
379,0.8324
380,0.8291
381,0.8262
382,0.8265
383,0.8284
384,0.8295
385,0.8305
386,0.8295
387,0.8291
388,0.8309
389,0.8327
390,0.8316
391,0.8295
392,0.8320
393,0.8342
394,0.8353
395,0.8349
396,0.8349
397,0.8331
398,0.8327
399,0.8320
400,0.8324
401,0.8320
402,0.8338
403,0.8338
404,0.8331
405,0.8331
406,0.8327
407,0.8367
408,0.8389
409,0.8404
410,0.8393
411,0.8378
412,0.8360
413,0.8371
414,0.8378
415,0.8407
416,0.8444
417,0.8382
418,0.8367
419,0.8375
420,0.8396
421,0.8396
422,0.8382
423,0.8400
424,0.8393
425,0.8415
426,0.8415
427,0.8429
428,0.8411
429,0.8415
430,0.8418
431,0.8480
432,0.8491
433,0.8422
434,0.8418
435,0.8411
436,0.8436
437,0.8491
438,0.8447
439,0.8444
440,0.8429
441,0.8436
442,0.8440
443,0.8487
444,0.8538
445,0.8484
446,0.8462
447,0.8458
448,0.8465
449,0.8491
450,0.8487
451,0.8480
452,0.8487
453,0.8509
454,0.8520
455,0.8524
456,0.8491
457,0.8491
458,0.8531
459,0.8545
460,0.8556
461,0.8484
462,0.8487
463,0.8491
464,0.8498
465,0.8538
466,0.8564
467,0.8564
468,0.8531
469,0.8545
470,0.8545
471,0.8524
472,0.8535
473,0.8578
474,0.8585
475,0.8531
476,0.8513
477,0.8513
478,0.8582
479,0.8622
480,0.8633
481,0.8611
482,0.8567
483,0.8571
484,0.8622
485,0.8644
486,0.8636
487,0.8596
488,0.8571
489,0.8593
490,0.8655
491,0.8658
492,0.8662
493,0.8622
494,0.8571
495,0.8611
496,0.8629
497,0.8651
498,0.8629
499,0.8622
