epoch,val_acc
0,0.1713
1,0.1858
2,0.4476
3,0.3698
4,0.3716
5,0.3964
6,0.4647
7,0.4604
8,0.4258
9,0.4160
10,0.4396
11,0.4411
12,0.4349
13,0.4251
14,0.4622
15,0.4811
16,0.4589
17,0.4495
18,0.4745
19,0.5160
20,0.5742
21,0.5920
22,0.5927
23,0.6011
24,0.6000
25,0.5960
26,0.5902
27,0.5851
28,0.5851
29,0.5862
30,0.5822
31,0.5887
32,0.6015
33,0.6175
34,0.6385
35,0.6713
36,0.6971
37,0.7098
38,0.7044
39,0.7025
40,0.7015
41,0.7051
42,0.7087
43,0.7131
44,0.7156
45,0.7265
46,0.7305
47,0.7342
48,0.7338
49,0.7349
50,0.7342
51,0.7349
52,0.7375
53,0.7382
54,0.7385
55,0.7425
56,0.7436
57,0.7458
58,0.7465
59,0.7502
60,0.7531
61,0.7538
62,0.7545
63,0.7556
64,0.7556
65,0.7567
66,0.7607
67,0.7618
68,0.7684
69,0.7735
70,0.7815
71,0.7905
72,0.7909
73,0.7942
74,0.7985
75,0.8011
76,0.8033
77,0.8051
78,0.8051
79,0.8076
80,0.8095
81,0.8098
82,0.8127
83,0.8131
84,0.8145
85,0.8149
86,0.8171
87,0.8182
88,0.8189
89,0.8207
90,0.8218
91,0.8207
92,0.8233
93,0.8258
94,0.8265
95,0.8284
96,0.8284
97,0.8305
98,0.8316
99,0.8331
100,0.8335
101,0.8342
102,0.8356
103,0.8378
104,0.8382
105,0.8385
106,0.8411
107,0.8411
108,0.8411
109,0.8422
110,0.8407
111,0.8440
112,0.8436
113,0.8451
114,0.8451
115,0.8451
116,0.8465
117,0.8487
118,0.8480
119,0.8495
120,0.8520
121,0.8498
122,0.8520
123,0.8542
124,0.8527
125,0.8535
126,0.8542
127,0.8549
128,0.8549
129,0.8564
130,0.8527
131,0.8549
132,0.8575
133,0.8567
134,0.8582
135,0.8575
136,0.8560
137,0.8564
138,0.8567
139,0.8556
140,0.8553
141,0.8556
142,0.8560
143,0.8589
144,0.8575
145,0.8585
146,0.8600
147,0.8607
148,0.8585
149,0.8560
150,0.8549
151,0.8585
152,0.8611
153,0.8600
154,0.8578
155,0.8611
156,0.8589
157,0.8575
158,0.8582
159,0.8600
160,0.8640
161,0.8622
162,0.8596
163,0.8593
164,0.8593
165,0.8618
166,0.8647
167,0.8644
168,0.8647
169,0.8633
170,0.8633
171,0.8622
172,0.8615
173,0.8651
174,0.8676
175,0.8655
176,0.8651
177,0.8622
178,0.8655
179,0.8669
180,0.8669
181,0.8629
182,0.8647
183,0.8662
184,0.8695
185,0.8705
186,0.8673
187,0.8633
188,0.8669
189,0.8695
190,0.8698
191,0.8673
192,0.8669
193,0.8702
194,0.8698
195,0.8702
196,0.8669
197,0.8655
198,0.8709
199,0.8764
200,0.8760
201,0.8705
202,0.8731
203,0.8749
204,0.8731
205,0.8727
206,0.8713
207,0.8735
208,0.8753
209,0.8767
210,0.8749
211,0.8735
212,0.8753
213,0.8767
214,0.8785
215,0.8760
216,0.8760
217,0.8764
218,0.8771
219,0.8782
220,0.8775
221,0.8771
222,0.8785
223,0.8775
224,0.8771
225,0.8785
226,0.8767
227,0.8785
228,0.8789
229,0.8822
230,0.8818
231,0.8789
232,0.8767
233,0.8782
234,0.8829
235,0.8833
236,0.8825
237,0.8785
238,0.8775
239,0.8829
240,0.8855
241,0.8818
242,0.8782
243,0.8789
244,0.8804
245,0.8873
246,0.8862
247,0.8825
248,0.8800
249,0.8822
250,0.8833
251,0.8858
252,0.8818
253,0.8822
254,0.8800
255,0.8822
256,0.8855
257,0.8862
258,0.8851
259,0.8829
260,0.8836
261,0.8836
262,0.8865
263,0.8876
264,0.8851
265,0.8869
266,0.8847
267,0.8876
268,0.8876
269,0.8858
270,0.8847
271,0.8873
272,0.8873
273,0.8876
274,0.8873
275,0.8873
276,0.8887
277,0.8869
278,0.8851
279,0.8873
280,0.8862
281,0.8869
282,0.8895
283,0.8869
284,0.8880
285,0.8887
286,0.8909
287,0.8909
288,0.8880
289,0.8884
290,0.8887
291,0.8905
292,0.8909
293,0.8909
294,0.8902
295,0.8891
296,0.8916
297,0.8895
298,0.8891
299,0.8891
300,0.8924
301,0.8927
302,0.8905
303,0.8891
304,0.8905
305,0.8909
306,0.8920
307,0.8913
308,0.8869
309,0.8905
310,0.8938
311,0.8913
312,0.8916
313,0.8909
314,0.8876
315,0.8916
316,0.8920
317,0.8865
318,0.8905
319,0.8916
320,0.8920
321,0.8945
322,0.8942
323,0.8924
324,0.8924
325,0.8935
326,0.8953
327,0.8938
328,0.8909
329,0.8938
330,0.8971
331,0.8978
332,0.8982
333,0.8938
334,0.8931
335,0.8938
336,0.8956
337,0.8953
338,0.8938
339,0.8949
340,0.8985
341,0.8975
342,0.8953
343,0.8945
344,0.8898
345,0.8967
346,0.8938
347,0.8953
348,0.8989
349,0.8960
350,0.8938
351,0.8971
352,0.8975
353,0.8964
354,0.8978
355,0.8945
356,0.8920
357,0.8960
358,0.8989
359,0.8975
360,0.9000
361,0.8956
362,0.8942
363,0.8985
364,0.8989
365,0.8993
366,0.8938
367,0.8935
368,0.9000
369,0.9015
370,0.8985
371,0.8971
372,0.8967
373,0.8996
374,0.9011
375,0.8996
376,0.8996
377,0.8945
378,0.8931
379,0.8993
380,0.8993
381,0.8982
382,0.8985
383,0.8967
384,0.8989
385,0.9011
386,0.8978
387,0.8978
388,0.8993
389,0.8985
390,0.8985
391,0.8975
392,0.8975
393,0.9036
394,0.8989
395,0.8960
396,0.8967
397,0.8971
398,0.9018
399,0.9004
400,0.8982
401,0.8964
402,0.8978
403,0.9018
404,0.9011
405,0.9015
406,0.9000
407,0.9011
408,0.9011
409,0.9022
410,0.9007
411,0.8993
412,0.8956
413,0.8993
414,0.9022
415,0.9036
416,0.9033
417,0.8985
418,0.8967
419,0.8971
420,0.9022
421,0.9015
422,0.9011
423,0.8960
424,0.8975
425,0.9004
426,0.9018
427,0.8993
428,0.8953
429,0.8993
430,0.8996
431,0.9015
432,0.9022
433,0.8975
434,0.8971
435,0.9015
436,0.9044
437,0.9025
438,0.8985
439,0.8989
440,0.9000
441,0.9058
442,0.9025
443,0.9025
444,0.8975
445,0.8982
446,0.9011
447,0.9029
448,0.9033
449,0.9007
450,0.8996
451,0.9029
452,0.9040
453,0.9029
454,0.9022
455,0.9015
456,0.9015
457,0.9047
458,0.9055
459,0.9029
460,0.9015
461,0.8993
462,0.9011
463,0.9051
464,0.9047
465,0.9033
466,0.9015
467,0.9033
468,0.9036
469,0.9033
470,0.9044
471,0.9051
472,0.9022
473,0.9022
474,0.9036
475,0.9036
476,0.9065
477,0.9036
478,0.9040
479,0.9029
480,0.9015
481,0.9033
482,0.9029
483,0.9065
484,0.9029
485,0.9007
486,0.9004
487,0.9000
488,0.9058
489,0.9044
490,0.9047
491,0.9025
492,0.9018
493,0.9055
494,0.9025
495,0.9040
496,0.9036
497,0.8996
498,0.9055
499,0.9069
