epoch,val_acc
0,0.3863
1,0.3956
2,0.4048
3,0.4492
4,0.5360
5,0.6322
6,0.6950
7,0.7301
8,0.7523
9,0.7800
10,0.7985
11,0.8022
12,0.8041
13,0.8059
14,0.8133
15,0.8299
16,0.8299
17,0.8336
18,0.8373
19,0.8447
20,0.8429
21,0.8447
22,0.8484
23,0.8484
24,0.8484
25,0.8540
26,0.8614
27,0.8595
28,0.8595
29,0.8614
30,0.8632
31,0.8651
32,0.8706
33,0.8780
34,0.8780
35,0.8799
36,0.8762
37,0.8799
38,0.8817
39,0.8817
40,0.8817
41,0.8835
42,0.8854
43,0.8872
44,0.8872
45,0.8872
46,0.8872
47,0.8872
48,0.8872
49,0.8891
50,0.8909
51,0.8909
52,0.8909
53,0.8909
54,0.8928
55,0.8928
56,0.8946
57,0.8946
58,0.8928
59,0.8909
60,0.8909
61,0.8928
62,0.8891
63,0.8946
64,0.8965
65,0.8965
66,0.8965
67,0.8946
68,0.8928
69,0.8891
70,0.8854
71,0.8835
72,0.8909
73,0.8928
74,0.8891
75,0.8928
76,0.8965
77,0.8946
78,0.8928
79,0.8891
80,0.8891
81,0.8909
82,0.8909
83,0.8909
84,0.8872
85,0.8854
86,0.8854
87,0.8854
88,0.8854
89,0.8854
90,0.8854
91,0.8835
92,0.8835
93,0.8817
94,0.8817
95,0.8835
96,0.8854
97,0.8872
98,0.8872
99,0.8891
100,0.8891
101,0.8854
102,0.8872
103,0.8872
104,0.8854
105,0.8891
106,0.8872
107,0.8891
108,0.8872
109,0.8928
110,0.8909
111,0.8946
112,0.8928
113,0.8909
114,0.8854
