epoch,val_acc
0,0.3808
1,0.6118
2,0.7153
3,0.7708
4,0.8059
5,0.8336
6,0.8429
7,0.8521
8,0.8521
9,0.8577
10,0.8632
11,0.8632
12,0.8540
13,0.8669
14,0.8762
15,0.8743
16,0.8614
17,0.8669
18,0.8743
19,0.8762
20,0.8817
21,0.8799
22,0.8817
23,0.8799
24,0.8817
25,0.8799
26,0.8743
27,0.8706
28,0.8743
29,0.8706
30,0.8725
31,0.8725
32,0.8743
33,0.8780
34,0.8780
35,0.8762
36,0.8799
37,0.8780
38,0.8780
39,0.8835
40,0.8872
41,0.8817
42,0.8799
43,0.8780
44,0.8799
45,0.8780
46,0.8725
47,0.8706
48,0.8706
49,0.8725
50,0.8780
51,0.8835
52,0.8872
53,0.8872
54,0.8817
55,0.8835
56,0.8854
57,0.8835
58,0.8854
59,0.8835
60,0.8780
61,0.8743
62,0.8762
63,0.8743
64,0.8762
65,0.8762
66,0.8762
67,0.8799
68,0.8799
69,0.8817
70,0.8799
71,0.8762
72,0.8780
73,0.8799
74,0.8743
75,0.8762
76,0.8743
77,0.8706
78,0.8743
79,0.8743
80,0.8799
81,0.8780
82,0.8817
83,0.8799
84,0.8743
85,0.8688
86,0.8725
87,0.8780
88,0.8780
89,0.8743
90,0.8743
