epoch,val_acc
0,0.2939
1,0.2847
2,0.2957
3,0.3142
4,0.4159
5,0.5638
6,0.6525
7,0.7357
8,0.7671
9,0.7763
10,0.8041
11,0.8392
12,0.8484
13,0.8521
14,0.8558
15,0.8484
16,0.8540
17,0.8558
18,0.8503
19,0.8577
20,0.8614
21,0.8725
22,0.8688
23,0.8688
24,0.8558
25,0.8595
26,0.8595
27,0.8614
28,0.8669
29,0.8651
30,0.8688
31,0.8595
32,0.8651
33,0.8632
34,0.8595
35,0.8558
36,0.8577
37,0.8577
38,0.8595
39,0.8577
40,0.8632
41,0.8688
42,0.8688
43,0.8577
44,0.8651
45,0.8614
46,0.8614
47,0.8558
48,0.8595
49,0.8558
50,0.8558
51,0.8503
52,0.8484
53,0.8503
54,0.8503
55,0.8503
56,0.8503
57,0.8521
58,0.8540
59,0.8540
60,0.8521
61,0.8484
62,0.8503
63,0.8503
64,0.8466
65,0.8429
66,0.8484
67,0.8466
68,0.8392
69,0.8466
70,0.8466
71,0.8503
