epoch,val_acc
0,0.3623
1,0.3346
2,0.3364
3,0.3475
4,0.3715
5,0.4473
6,0.5083
7,0.5823
8,0.6580
9,0.7375
10,0.7542
11,0.7689
12,0.7856
13,0.8022
14,0.8281
15,0.8521
16,0.8651
17,0.8743
18,0.8780
19,0.8780
20,0.8780
21,0.8817
22,0.8835
23,0.8891
24,0.8872
25,0.8928
26,0.8928
27,0.8946
28,0.8946
29,0.8946
30,0.8965
31,0.8983
32,0.8965
33,0.8965
34,0.8891
35,0.8891
36,0.8891
37,0.8909
38,0.8909
39,0.8909
40,0.8946
41,0.8872
42,0.8799
43,0.8835
44,0.8780
45,0.8762
46,0.8743
47,0.8743
48,0.8799
49,0.8799
50,0.8762
51,0.8688
52,0.8632
53,0.8651
54,0.8688
55,0.8669
56,0.8706
57,0.8725
58,0.8688
59,0.8706
60,0.8632
61,0.8595
62,0.8595
63,0.8632
64,0.8632
65,0.8632
66,0.8614
67,0.8614
68,0.8669
69,0.8669
70,0.8669
71,0.8669
72,0.8595
73,0.8595
74,0.8577
75,0.8558
76,0.8595
77,0.8614
78,0.8614
79,0.8614
80,0.8632
81,0.8632
