epoch,val_acc
0,0.2292
1,0.2606
2,0.2754
3,0.2828
4,0.2865
5,0.2884
6,0.2884
7,0.2828
8,0.2810
9,0.2865
10,0.2847
11,0.2847
12,0.2865
13,0.2865
14,0.2902
15,0.2902
16,0.2939
17,0.2994
18,0.2994
19,0.2994
20,0.3013
21,0.3013
22,0.3068
23,0.3179
24,0.3235
25,0.3346
26,0.3438
27,0.3457
28,0.3475
29,0.3512
30,0.3586
31,0.3623
32,0.3641
33,0.3771
34,0.3882
35,0.4270
36,0.4547
37,0.4954
38,0.5287
39,0.5360
40,0.5453
41,0.5582
42,0.5675
43,0.5823
44,0.5860
45,0.5896
46,0.5989
47,0.6100
48,0.6118
49,0.6155
50,0.6211
51,0.6248
52,0.6340
53,0.6414
54,0.6617
55,0.6654
56,0.6710
57,0.6691
58,0.6728
59,0.6728
60,0.6802
61,0.6821
62,0.6821
63,0.6802
64,0.6821
65,0.6839
66,0.6821
67,0.6821
68,0.6876
69,0.6895
70,0.6950
71,0.6969
72,0.7006
73,0.7043
74,0.7043
75,0.7024
76,0.7043
77,0.7079
78,0.7135
79,0.7153
80,0.7153
81,0.7227
82,0.7264
83,0.7301
84,0.7283
85,0.7338
86,0.7301
87,0.7357
88,0.7394
89,0.7394
90,0.7394
91,0.7394
92,0.7375
93,0.7394
94,0.7412
95,0.7431
96,0.7431
97,0.7486
98,0.7542
99,0.7579
100,0.7597
101,0.7634
102,0.7689
103,0.7708
104,0.7745
105,0.7745
106,0.7745
107,0.7819
108,0.7782
109,0.7819
110,0.7874
111,0.7893
112,0.7874
113,0.7874
114,0.7874
115,0.7911
116,0.7911
117,0.7911
118,0.7893
119,0.7893
120,0.7911
121,0.7911
122,0.7985
123,0.8004
124,0.8022
125,0.8059
126,0.8059
127,0.8059
128,0.8041
129,0.8041
130,0.8041
131,0.8059
132,0.8059
133,0.8041
134,0.8059
135,0.8078
136,0.8096
137,0.8078
138,0.8096
139,0.8115
140,0.8078
141,0.8059
142,0.8041
143,0.8078
144,0.8078
145,0.8115
146,0.8096
147,0.8096
148,0.8078
149,0.8059
150,0.8059
151,0.8059
152,0.8059
153,0.8078
154,0.8096
155,0.8096
156,0.8096
157,0.8078
158,0.8115
159,0.8115
160,0.8115
161,0.8096
162,0.8096
163,0.8078
164,0.8115
165,0.8152
166,0.8152
167,0.8152
168,0.8133
169,0.8152
170,0.8152
171,0.8170
172,0.8189
173,0.8189
174,0.8226
175,0.8281
176,0.8226
177,0.8226
178,0.8207
179,0.8170
180,0.8152
181,0.8133
182,0.8152
183,0.8170
184,0.8152
185,0.8133
186,0.8152
187,0.8096
188,0.8078
189,0.8096
190,0.8115
191,0.8115
192,0.8170
193,0.8207
194,0.8189
195,0.8207
196,0.8207
197,0.8207
198,0.8207
199,0.8207
200,0.8207
201,0.8207
202,0.8207
203,0.8189
204,0.8226
205,0.8226
206,0.8226
207,0.8207
208,0.8226
209,0.8207
210,0.8244
211,0.8262
212,0.8281
213,0.8281
214,0.8262
215,0.8244
216,0.8207
217,0.8207
218,0.8244
219,0.8226
220,0.8226
221,0.8262
222,0.8244
223,0.8244
224,0.8244
225,0.8244
