id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s0,Cora,GPRGNN,4,64,0.01,0.0005,500,50,0,0.8688,0.8729,69,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s1,Cora,GPRGNN,4,64,0.01,0.0005,500,50,1,0.8891,0.8969,65,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s2,Cora,GPRGNN,4,64,0.01,0.0005,500,50,2,0.9076,0.8766,89,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s3,Cora,GPRGNN,4,64,0.01,0.0005,500,50,3,0.8928,0.8711,69,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s4,Cora,GPRGNN,4,64,0.01,0.0005,500,50,4,0.9076,0.8877,82,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s5,Cora,GPRGNN,4,64,0.01,0.0005,500,50,5,0.8891,0.8821,67,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s6,Cora,GPRGNN,4,64,0.01,0.0005,500,50,6,0.9020,0.8877,72,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s7,Cora,GPRGNN,4,64,0.01,0.0005,500,50,7,0.8928,0.8766,72,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s8,Cora,GPRGNN,4,64,0.01,0.0005,500,50,8,0.9076,0.8913,85,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s9,Cora,GPRGNN,4,64,0.01,0.0005,500,50,9,0.9057,0.8895,71,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s0,Cora,GPRGNN,4,64,0.01,0.0001,500,50,0,0.8688,0.8785,68,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s1,Cora,GPRGNN,4,64,0.01,0.0001,500,50,1,0.8909,0.8895,68,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s2,Cora,GPRGNN,4,64,0.01,0.0001,500,50,2,0.9113,0.8932,73,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s3,Cora,GPRGNN,4,64,0.01,0.0001,500,50,3,0.8872,0.8692,65,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s4,Cora,GPRGNN,4,64,0.01,0.0001,500,50,4,0.9094,0.9006,66,lr_wd_seed_batched
Cora_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s5,Cora,GPRGNN,4,64,0.01,0.0001,500,50,5,0.8891,0.8729,68,lr_wd_seed_batched
