epoch,val_acc
0,0.4167
1,0.4722
2,0.6111
3,0.7222
4,0.7778
5,0.8056
6,0.8333
7,0.8333
8,0.8333
9,0.8056
10,0.7778
11,0.7778
12,0.7778
13,0.7778
14,0.7778
15,0.8056
16,0.8056
17,0.8056
18,0.8056
19,0.8056
20,0.8056
21,0.8056
22,0.8056
23,0.7778
24,0.7778
25,0.8056
26,0.8056
27,0.8056
28,0.8056
29,0.8056
30,0.8333
31,0.8056
32,0.8056
33,0.8056
34,0.8056
35,0.8056
36,0.8056
37,0.8056
38,0.8056
39,0.8056
40,0.7778
41,0.7778
42,0.7778
43,0.8056
44,0.8056
45,0.8056
46,0.8056
47,0.8056
48,0.8056
49,0.8333
50,0.8333
51,0.8056
52,0.8333
53,0.8333
54,0.8333
55,0.8333
56,0.8333
