epoch,val_acc
0,0.6111
1,0.5833
2,0.4444
3,0.4722
4,0.5000
5,0.5000
6,0.5278
7,0.5833
8,0.6111
9,0.6111
10,0.6111
11,0.6111
12,0.6111
13,0.6111
14,0.6111
15,0.5833
16,0.5833
17,0.6111
18,0.6111
19,0.6111
20,0.6111
21,0.6111
22,0.6111
23,0.6111
24,0.6111
25,0.6111
26,0.6111
27,0.6111
28,0.6111
29,0.5833
30,0.5833
31,0.5833
32,0.5833
33,0.5833
34,0.5833
35,0.5556
36,0.5556
37,0.5833
38,0.5833
39,0.5833
40,0.5833
41,0.6111
42,0.6111
43,0.6389
44,0.6389
45,0.6389
46,0.6389
47,0.6389
48,0.6389
49,0.6389
50,0.6389
51,0.6389
52,0.6389
53,0.6389
54,0.6389
55,0.6389
56,0.6389
57,0.6667
58,0.6667
59,0.6667
60,0.6667
61,0.6667
62,0.6667
63,0.6667
64,0.6667
65,0.6667
66,0.6389
67,0.6111
68,0.6111
69,0.6111
70,0.6111
71,0.6111
72,0.6111
73,0.6111
74,0.6111
75,0.6111
76,0.6111
77,0.6111
78,0.6111
79,0.6111
80,0.6111
81,0.6111
82,0.5833
83,0.5833
84,0.5833
85,0.5833
86,0.5833
87,0.5833
88,0.5833
89,0.5833
90,0.5833
91,0.5833
92,0.5833
93,0.5833
94,0.5833
95,0.5833
96,0.5833
97,0.5833
98,0.5833
99,0.5833
100,0.5833
101,0.5833
102,0.5833
103,0.5833
104,0.5833
105,0.5833
106,0.5833
107,0.5833
