epoch,val_acc
0,0.2222
1,0.3056
2,0.1944
3,0.0833
4,0.0833
5,0.1944
6,0.1667
7,0.1944
8,0.2500
9,0.1944
10,0.1111
11,0.1389
12,0.1667
13,0.1944
14,0.1944
15,0.2222
16,0.2500
17,0.2222
18,0.2778
19,0.3611
20,0.3889
21,0.3889
22,0.3611
23,0.2778
24,0.2778
25,0.2778
26,0.2778
27,0.2778
28,0.3056
29,0.3889
30,0.3333
31,0.3333
32,0.4167
33,0.4167
34,0.4167
35,0.4444
36,0.3889
37,0.4444
38,0.3889
39,0.3889
40,0.3611
41,0.3889
42,0.4167
43,0.4167
44,0.4167
45,0.4444
46,0.4444
47,0.4444
48,0.4444
49,0.4167
50,0.4167
51,0.4167
52,0.4167
53,0.4444
54,0.4444
55,0.4444
56,0.4444
57,0.4167
58,0.4444
59,0.4444
60,0.4444
61,0.4444
62,0.4444
63,0.4444
64,0.4444
65,0.4444
66,0.4444
67,0.4444
68,0.4722
69,0.4722
70,0.4444
71,0.3889
72,0.3889
73,0.3889
74,0.3889
75,0.5000
76,0.4722
77,0.4722
78,0.4444
79,0.4444
80,0.4444
81,0.4444
82,0.4444
83,0.4444
84,0.4444
85,0.4444
86,0.4444
87,0.4444
88,0.4444
89,0.4444
90,0.4444
91,0.4444
92,0.4444
93,0.4444
94,0.4444
95,0.4444
96,0.4444
97,0.4444
98,0.4444
99,0.4444
100,0.4444
101,0.4444
102,0.4167
103,0.4167
104,0.4167
105,0.5000
106,0.5000
107,0.5000
108,0.5000
109,0.5000
110,0.5000
111,0.4722
112,0.4722
113,0.4722
114,0.4722
115,0.4444
116,0.4444
117,0.4167
118,0.4167
119,0.4167
120,0.3889
121,0.3889
122,0.3889
123,0.3889
124,0.3889
125,0.4444
