epoch,val_acc
0,0.2500
1,0.2222
2,0.1944
3,0.3611
4,0.3611
5,0.3889
6,0.3889
7,0.3889
8,0.3889
9,0.3889
10,0.3889
11,0.3889
12,0.3889
13,0.3889
14,0.3889
15,0.4167
16,0.3889
17,0.4167
18,0.4167
19,0.3889
20,0.3889
21,0.3889
22,0.3889
23,0.3889
24,0.4167
25,0.4444
26,0.4167
27,0.4167
28,0.4167
29,0.4167
30,0.4167
31,0.4167
32,0.4167
33,0.4444
34,0.4444
35,0.4444
36,0.4444
37,0.4444
38,0.4444
39,0.4444
40,0.4444
41,0.4444
42,0.4722
43,0.5000
44,0.5000
45,0.5000
46,0.5000
47,0.5000
48,0.5000
49,0.5000
50,0.5000
51,0.5000
52,0.5000
53,0.4722
54,0.4722
55,0.4722
56,0.4722
57,0.4722
58,0.4722
59,0.4722
60,0.4722
61,0.4722
62,0.5278
63,0.5278
64,0.5278
65,0.5278
66,0.5278
67,0.5278
68,0.5278
69,0.5278
70,0.5278
71,0.5278
72,0.5556
73,0.5556
74,0.5556
75,0.5556
76,0.5556
77,0.5556
78,0.5556
79,0.5556
80,0.5556
81,0.5556
82,0.5556
83,0.5556
84,0.5556
85,0.5278
86,0.5278
87,0.5278
88,0.5278
89,0.5278
90,0.5278
91,0.5000
92,0.5000
93,0.5000
94,0.5000
95,0.5000
96,0.5000
97,0.4722
98,0.4722
99,0.4444
100,0.4444
101,0.4444
102,0.4722
103,0.4722
104,0.4722
105,0.4722
106,0.4722
107,0.4722
108,0.4722
109,0.4722
110,0.4722
111,0.4722
112,0.4722
113,0.4722
114,0.4722
115,0.4444
116,0.4444
117,0.4444
118,0.4444
119,0.4444
120,0.4444
121,0.4444
122,0.4444
