epoch,val_acc
0,0.2980
1,0.2980
2,0.2980
3,0.7040
4,0.7040
5,0.7040
6,0.7040
7,0.7040
8,0.7040
9,0.7040
10,0.7040
11,0.7040
12,0.7040
13,0.7040
14,0.7040
15,0.7040
16,0.7040
17,0.7040
18,0.7040
19,0.7475
20,0.7905
21,0.7905
22,0.7905
23,0.7905
24,0.7905
25,0.7905
26,0.7905
27,0.7905
28,0.7905
29,0.7905
30,0.7905
31,0.7905
32,0.7905
33,0.7905
34,0.7905
35,0.7905
36,0.7905
37,0.7905
38,0.7905
39,0.7905
40,0.7905
41,0.7905
42,0.7905
43,0.7905
44,0.7905
45,0.7905
46,0.7905
47,0.7905
48,0.7905
49,0.7905
50,0.7905
51,0.7905
52,0.7905
53,0.7905
54,0.7905
55,0.7905
56,0.7905
57,0.7905
58,0.7905
59,0.7905
60,0.7905
61,0.7905
62,0.7905
63,0.7905
64,0.7905
65,0.7905
66,0.7905
67,0.7905
68,0.7905
69,0.7905
70,0.7905
