epoch,val_acc
0,0.5785
1,0.5785
2,0.5785
3,0.5785
4,0.5910
5,0.5910
6,0.5910
7,0.5910
8,0.5935
9,0.6530
10,0.6530
11,0.6530
12,0.7130
13,0.7680
14,0.7680
15,0.7680
16,0.7810
17,0.8060
18,0.8060
19,0.8060
20,0.8060
21,0.8060
22,0.8060
23,0.8060
24,0.8060
25,0.8060
26,0.8060
27,0.8060
28,0.8060
29,0.8060
30,0.8060
31,0.8060
32,0.8060
33,0.8060
34,0.8060
35,0.8060
36,0.8060
37,0.8060
38,0.8060
39,0.8060
40,0.8060
41,0.8060
42,0.8060
43,0.8060
44,0.8060
45,0.8060
46,0.8060
47,0.8060
48,0.8060
49,0.8060
50,0.8060
51,0.8060
52,0.8060
53,0.8060
54,0.8060
55,0.8060
56,0.8060
57,0.8060
58,0.8060
59,0.8060
60,0.8060
61,0.8060
62,0.8060
63,0.8060
64,0.8060
65,0.8060
66,0.8060
67,0.8060
