epoch,val_acc
0,0.4245
1,0.5260
2,0.6240
3,0.7020
4,0.7495
5,0.7775
6,0.7885
7,0.7915
8,0.7925
9,0.7935
10,0.7935
11,0.7935
12,0.7935
13,0.7935
14,0.7935
15,0.7935
16,0.7935
17,0.7935
18,0.7935
19,0.7935
20,0.7935
21,0.7935
22,0.7935
23,0.7935
24,0.7935
25,0.7935
26,0.7935
27,0.7935
28,0.7935
29,0.7935
30,0.7935
31,0.7935
32,0.7935
33,0.7935
34,0.7935
35,0.7935
36,0.7935
37,0.7935
38,0.7940
39,0.7940
40,0.7940
41,0.7945
42,0.7940
43,0.7945
44,0.7940
45,0.7945
46,0.7940
47,0.7940
48,0.7940
49,0.7950
50,0.7950
51,0.7950
52,0.7955
53,0.7955
54,0.7955
55,0.7960
56,0.7960
57,0.7960
58,0.7960
59,0.7960
60,0.7960
61,0.7965
62,0.7965
63,0.7965
64,0.7965
65,0.7965
66,0.7965
67,0.7965
68,0.7965
69,0.7965
70,0.7965
71,0.7965
72,0.7970
73,0.7970
74,0.7975
75,0.7975
76,0.7975
77,0.7975
78,0.7980
79,0.7995
80,0.8000
81,0.8010
82,0.8015
83,0.8025
84,0.8030
85,0.8035
86,0.8045
87,0.8045
88,0.8050
89,0.8055
90,0.8060
91,0.8065
92,0.8065
93,0.8070
94,0.8075
95,0.8075
96,0.8085
97,0.8085
98,0.8090
99,0.8085
100,0.8095
101,0.8110
102,0.8110
103,0.8115
104,0.8125
105,0.8140
106,0.8140
107,0.8150
108,0.8160
109,0.8160
110,0.8170
111,0.8175
112,0.8180
113,0.8195
114,0.8200
115,0.8195
116,0.8190
117,0.8195
118,0.8200
119,0.8205
120,0.8205
121,0.8205
122,0.8205
123,0.8210
124,0.8215
125,0.8225
126,0.8225
127,0.8235
128,0.8240
129,0.8245
130,0.8260
131,0.8255
132,0.8255
133,0.8255
134,0.8260
135,0.8260
136,0.8260
137,0.8255
138,0.8250
139,0.8255
140,0.8260
141,0.8260
142,0.8260
143,0.8265
144,0.8275
145,0.8280
146,0.8285
147,0.8285
148,0.8290
149,0.8290
150,0.8290
151,0.8295
152,0.8300
153,0.8300
154,0.8300
155,0.8305
156,0.8310
157,0.8310
158,0.8310
159,0.8315
160,0.8315
161,0.8320
162,0.8330
163,0.8330
164,0.8335
165,0.8335
166,0.8335
167,0.8335
168,0.8340
169,0.8340
170,0.8340
171,0.8345
172,0.8350
173,0.8350
174,0.8345
175,0.8345
176,0.8345
177,0.8345
178,0.8345
179,0.8355
180,0.8355
181,0.8365
182,0.8360
183,0.8360
184,0.8350
185,0.8350
186,0.8345
187,0.8345
188,0.8350
189,0.8350
190,0.8350
191,0.8360
192,0.8365
193,0.8370
194,0.8360
195,0.8365
196,0.8365
197,0.8365
198,0.8365
199,0.8365
200,0.8365
201,0.8365
202,0.8365
203,0.8365
204,0.8365
205,0.8365
206,0.8370
207,0.8370
208,0.8385
209,0.8375
210,0.8380
211,0.8385
212,0.8385
213,0.8385
214,0.8390
