epoch,val_acc
0,0.8090
1,0.8090
2,0.8090
3,0.8090
4,0.8095
5,0.8120
6,0.8280
7,0.8510
8,0.8600
9,0.8645
10,0.8590
11,0.8510
12,0.8360
13,0.8290
14,0.8285
15,0.8285
16,0.8340
17,0.8440
18,0.8520
19,0.8605
20,0.8650
21,0.8705
22,0.8725
23,0.8730
24,0.8720
25,0.8680
26,0.8610
27,0.8560
28,0.8555
29,0.8505
30,0.8475
31,0.8500
32,0.8540
33,0.8565
34,0.8585
35,0.8625
36,0.8655
37,0.8655
38,0.8605
39,0.8565
40,0.8535
41,0.8530
42,0.8535
43,0.8525
44,0.8570
45,0.8570
46,0.8625
47,0.8705
48,0.8720
49,0.8700
50,0.8665
51,0.8645
52,0.8630
53,0.8600
54,0.8615
55,0.8620
56,0.8655
57,0.8670
58,0.8670
59,0.8700
60,0.8695
61,0.8690
62,0.8675
63,0.8655
64,0.8665
65,0.8665
66,0.8665
67,0.8665
68,0.8680
69,0.8675
70,0.8665
71,0.8645
72,0.8640
73,0.8650
