epoch,val_acc
0,0.8030
1,0.8030
2,0.8030
3,0.8030
4,0.8030
5,0.8030
6,0.8030
7,0.8030
8,0.8030
9,0.8030
10,0.8030
11,0.8030
12,0.8030
13,0.8030
14,0.8030
15,0.8030
16,0.8030
17,0.8030
18,0.8030
19,0.8030
20,0.8030
21,0.8030
22,0.8030
23,0.8030
24,0.8030
25,0.8030
26,0.8030
27,0.8030
28,0.8030
29,0.8030
30,0.8030
31,0.8030
32,0.8030
33,0.8030
34,0.8030
35,0.8030
36,0.8030
37,0.8030
38,0.8030
39,0.8030
40,0.8030
41,0.8030
42,0.8045
43,0.8060
44,0.8045
45,0.8045
46,0.8035
47,0.8040
48,0.8035
49,0.8020
50,0.7995
51,0.8005
52,0.8020
53,0.8030
54,0.8005
55,0.8010
56,0.8020
57,0.8035
58,0.8030
59,0.8035
60,0.8040
61,0.8045
62,0.8045
63,0.8060
64,0.8040
65,0.8035
66,0.8035
67,0.8050
68,0.8050
69,0.8035
70,0.8040
71,0.8045
72,0.8050
73,0.8055
74,0.8065
75,0.8055
76,0.8060
77,0.8050
78,0.8065
79,0.8055
80,0.8075
81,0.8075
82,0.8110
83,0.8110
84,0.8120
85,0.8125
86,0.8105
87,0.8105
88,0.8105
89,0.8100
90,0.8090
91,0.8080
92,0.8105
93,0.8100
94,0.8100
95,0.8105
96,0.8110
97,0.8135
98,0.8145
99,0.8145
100,0.8140
101,0.8155
102,0.8155
103,0.8180
104,0.8180
105,0.8195
106,0.8185
107,0.8195
108,0.8190
109,0.8185
110,0.8195
111,0.8210
112,0.8210
113,0.8210
114,0.8190
115,0.8190
116,0.8190
117,0.8215
118,0.8220
119,0.8220
120,0.8220
121,0.8215
122,0.8210
123,0.8205
124,0.8230
125,0.8235
126,0.8230
127,0.8230
128,0.8215
129,0.8220
130,0.8245
131,0.8245
132,0.8245
133,0.8245
134,0.8240
135,0.8230
136,0.8240
137,0.8255
138,0.8260
139,0.8260
140,0.8255
141,0.8240
142,0.8240
143,0.8240
144,0.8235
145,0.8240
146,0.8240
147,0.8240
148,0.8240
149,0.8245
150,0.8245
151,0.8235
152,0.8240
153,0.8245
154,0.8245
155,0.8240
156,0.8230
157,0.8225
158,0.8215
159,0.8230
160,0.8230
161,0.8215
162,0.8250
163,0.8255
164,0.8240
165,0.8230
166,0.8240
167,0.8245
168,0.8220
169,0.8245
170,0.8225
171,0.8245
172,0.8240
173,0.8250
174,0.8230
175,0.8240
176,0.8245
177,0.8240
178,0.8240
179,0.8240
180,0.8235
181,0.8230
182,0.8225
183,0.8240
184,0.8235
185,0.8220
186,0.8250
187,0.8260
188,0.8235
