epoch,val_acc
0,0.6880
1,0.7790
2,0.7920
3,0.7945
4,0.7945
5,0.7945
6,0.7945
7,0.7945
8,0.7945
9,0.7945
10,0.7945
11,0.7945
12,0.7945
13,0.7945
14,0.7945
15,0.7945
16,0.7945
17,0.7945
18,0.7945
19,0.7945
20,0.7945
21,0.7945
22,0.7945
23,0.7945
24,0.7945
25,0.7945
26,0.7945
27,0.7945
28,0.7945
29,0.7945
30,0.7945
31,0.7945
32,0.7945
33,0.7945
34,0.7945
35,0.7945
36,0.7950
37,0.7950
38,0.7950
39,0.7950
40,0.7950
41,0.7950
42,0.7950
43,0.7950
44,0.7950
45,0.7950
46,0.7950
47,0.7950
48,0.7950
49,0.7950
50,0.7955
51,0.7950
52,0.7945
53,0.7945
54,0.7950
55,0.7960
56,0.7960
57,0.7955
58,0.7955
59,0.7955
60,0.7955
61,0.7955
62,0.7955
63,0.7955
64,0.7955
65,0.7955
66,0.7955
67,0.7960
68,0.7955
69,0.7950
70,0.7955
71,0.7950
72,0.7950
73,0.7960
74,0.7960
75,0.7960
76,0.7960
77,0.7960
78,0.7960
79,0.7960
80,0.7960
81,0.7955
82,0.7945
83,0.7950
84,0.7950
85,0.7955
86,0.7955
87,0.7955
88,0.7955
89,0.7960
90,0.7960
91,0.7965
92,0.7960
93,0.7965
94,0.7965
95,0.7965
96,0.7960
97,0.7960
98,0.7970
99,0.7970
100,0.7970
101,0.7970
102,0.7970
103,0.7975
104,0.7985
105,0.7990
106,0.7985
107,0.7985
108,0.7985
109,0.7985
110,0.7990
111,0.7990
112,0.7985
113,0.8005
114,0.8000
115,0.8000
116,0.8005
117,0.8005
118,0.8010
119,0.8010
120,0.8010
121,0.8005
122,0.8010
123,0.8020
124,0.8025
125,0.8025
126,0.8035
127,0.8035
128,0.8035
129,0.8030
130,0.8035
131,0.8030
132,0.8040
133,0.8035
134,0.8035
135,0.8040
136,0.8040
137,0.8035
138,0.8040
139,0.8050
140,0.8050
141,0.8060
142,0.8065
143,0.8070
144,0.8065
145,0.8065
146,0.8075
147,0.8075
148,0.8080
149,0.8070
150,0.8085
151,0.8090
152,0.8090
153,0.8090
154,0.8090
155,0.8095
156,0.8095
157,0.8090
158,0.8105
159,0.8110
160,0.8115
161,0.8115
162,0.8115
163,0.8115
164,0.8110
165,0.8110
166,0.8125
167,0.8125
168,0.8125
169,0.8120
170,0.8115
171,0.8120
172,0.8120
173,0.8115
174,0.8125
175,0.8120
176,0.8120
177,0.8120
178,0.8120
179,0.8115
180,0.8110
181,0.8110
182,0.8110
183,0.8125
184,0.8125
185,0.8125
186,0.8125
187,0.8125
188,0.8120
189,0.8120
190,0.8130
191,0.8130
192,0.8130
193,0.8130
194,0.8130
195,0.8125
196,0.8120
197,0.8130
198,0.8130
199,0.8130
200,0.8130
201,0.8135
202,0.8135
203,0.8130
204,0.8125
205,0.8125
206,0.8130
207,0.8130
208,0.8130
209,0.8145
210,0.8130
211,0.8135
212,0.8135
213,0.8140
214,0.8130
215,0.8125
216,0.8125
217,0.8135
218,0.8145
219,0.8140
220,0.8140
221,0.8145
222,0.8145
223,0.8135
224,0.8130
225,0.8135
226,0.8135
227,0.8150
228,0.8155
229,0.8150
230,0.8155
231,0.8150
232,0.8145
233,0.8130
234,0.8130
235,0.8125
236,0.8135
237,0.8140
238,0.8155
239,0.8155
240,0.8150
241,0.8135
242,0.8130
243,0.8135
244,0.8155
245,0.8165
246,0.8165
247,0.8165
248,0.8150
249,0.8145
250,0.8125
251,0.8125
252,0.8140
253,0.8160
254,0.8165
255,0.8165
256,0.8165
257,0.8165
258,0.8160
259,0.8160
260,0.8160
261,0.8165
262,0.8160
263,0.8165
264,0.8160
265,0.8155
266,0.8150
267,0.8160
268,0.8165
269,0.8165
270,0.8150
271,0.8150
272,0.8160
273,0.8170
274,0.8170
275,0.8160
276,0.8155
277,0.8165
278,0.8165
279,0.8145
280,0.8145
281,0.8145
282,0.8140
283,0.8160
284,0.8170
285,0.8170
286,0.8170
287,0.8160
288,0.8145
289,0.8140
290,0.8160
291,0.8170
292,0.8170
293,0.8165
294,0.8145
295,0.8140
296,0.8145
297,0.8145
298,0.8155
299,0.8170
300,0.8170
301,0.8165
302,0.8145
303,0.8130
304,0.8145
305,0.8165
306,0.8170
307,0.8165
308,0.8155
309,0.8145
310,0.8140
311,0.8155
312,0.8150
313,0.8160
314,0.8155
315,0.8155
316,0.8150
317,0.8145
318,0.8155
319,0.8160
320,0.8160
321,0.8150
322,0.8140
323,0.8140
