epoch,val_acc
0,0.2209
1,0.2451
2,0.2745
3,0.3170
4,0.2830
5,0.3026
6,0.3176
7,0.3072
8,0.3085
9,0.2869
10,0.2948
11,0.3085
12,0.3216
13,0.3392
14,0.3804
15,0.4719
16,0.5837
17,0.5987
18,0.5928
19,0.5889
20,0.5948
21,0.6020
22,0.6065
23,0.6150
24,0.6190
25,0.6275
26,0.6359
27,0.6405
28,0.6529
29,0.6556
30,0.6588
31,0.6634
32,0.6758
33,0.6915
34,0.7111
35,0.7366
36,0.7667
37,0.7882
38,0.7941
39,0.8065
40,0.8144
41,0.8222
42,0.8346
43,0.8542
44,0.8686
45,0.8784
46,0.8817
47,0.8837
48,0.8837
49,0.8895
50,0.9052
51,0.9150
52,0.9216
53,0.9190
54,0.9248
55,0.9307
56,0.9327
57,0.9346
58,0.9346
59,0.9386
60,0.9412
61,0.9405
62,0.9418
63,0.9412
64,0.9438
65,0.9471
66,0.9490
67,0.9484
68,0.9484
69,0.9464
70,0.9477
71,0.9477
72,0.9484
73,0.9464
74,0.9471
75,0.9471
76,0.9477
77,0.9497
78,0.9477
79,0.9503
80,0.9503
81,0.9490
82,0.9477
83,0.9477
84,0.9484
85,0.9510
86,0.9497
87,0.9477
88,0.9471
89,0.9451
90,0.9471
91,0.9471
92,0.9471
93,0.9477
94,0.9464
95,0.9497
96,0.9503
97,0.9497
98,0.9458
99,0.9471
100,0.9484
101,0.9418
102,0.9458
103,0.9490
104,0.9471
105,0.9464
106,0.9484
107,0.9484
108,0.9464
109,0.9451
110,0.9464
111,0.9477
112,0.9484
113,0.9490
114,0.9484
115,0.9477
116,0.9451
117,0.9458
118,0.9464
119,0.9471
120,0.9477
121,0.9484
122,0.9503
123,0.9516
124,0.9484
125,0.9477
126,0.9464
127,0.9471
128,0.9451
129,0.9458
130,0.9484
131,0.9490
132,0.9497
133,0.9490
134,0.9458
135,0.9458
136,0.9471
137,0.9497
138,0.9490
139,0.9503
140,0.9490
141,0.9471
142,0.9458
143,0.9458
144,0.9444
145,0.9425
146,0.9477
147,0.9484
148,0.9477
149,0.9451
150,0.9458
151,0.9490
152,0.9477
153,0.9471
154,0.9444
155,0.9471
156,0.9477
157,0.9477
158,0.9484
159,0.9464
160,0.9471
161,0.9490
162,0.9477
163,0.9477
164,0.9431
165,0.9438
166,0.9471
167,0.9477
168,0.9484
169,0.9490
170,0.9497
171,0.9490
172,0.9484
173,0.9510
