epoch,val_acc
0,0.2294
1,0.3778
2,0.3222
3,0.3209
4,0.3242
5,0.3719
6,0.3850
7,0.4235
8,0.4294
9,0.4471
10,0.5170
11,0.5654
12,0.5915
13,0.5797
14,0.5928
15,0.5804
16,0.6255
17,0.6850
18,0.6850
19,0.6693
20,0.6778
21,0.7150
22,0.7373
23,0.7458
24,0.7444
25,0.7556
26,0.7797
27,0.7961
28,0.8085
29,0.8183
30,0.8157
31,0.8196
32,0.8248
33,0.8307
34,0.8327
35,0.8314
36,0.8346
37,0.8451
38,0.8588
39,0.8706
40,0.8771
41,0.8817
42,0.8856
43,0.8980
44,0.8980
45,0.9007
46,0.9065
47,0.9085
48,0.9111
49,0.9144
50,0.9157
51,0.9092
52,0.9105
53,0.9163
54,0.9176
55,0.9216
56,0.9163
57,0.9137
58,0.9190
59,0.9268
60,0.9275
61,0.9307
62,0.9320
63,0.9268
64,0.9235
65,0.9242
66,0.9275
67,0.9281
68,0.9314
69,0.9314
70,0.9307
71,0.9301
72,0.9333
73,0.9346
74,0.9340
75,0.9340
76,0.9301
77,0.9294
78,0.9307
79,0.9346
80,0.9346
81,0.9346
82,0.9346
83,0.9320
84,0.9333
85,0.9366
86,0.9353
87,0.9359
88,0.9359
89,0.9340
90,0.9340
91,0.9346
92,0.9373
93,0.9373
94,0.9366
95,0.9373
96,0.9353
97,0.9353
98,0.9366
99,0.9379
100,0.9366
101,0.9353
102,0.9333
103,0.9359
104,0.9353
105,0.9392
106,0.9392
107,0.9392
108,0.9379
109,0.9353
110,0.9392
111,0.9418
112,0.9418
113,0.9392
114,0.9333
115,0.9294
116,0.9346
117,0.9412
118,0.9418
119,0.9405
120,0.9359
121,0.9314
122,0.9333
123,0.9386
124,0.9418
125,0.9412
126,0.9392
127,0.9359
128,0.9373
129,0.9405
130,0.9405
131,0.9392
132,0.9405
133,0.9386
134,0.9379
135,0.9366
136,0.9412
137,0.9418
138,0.9412
139,0.9373
140,0.9379
141,0.9399
142,0.9405
143,0.9386
144,0.9373
145,0.9379
146,0.9373
147,0.9412
148,0.9431
149,0.9431
150,0.9418
151,0.9418
152,0.9405
153,0.9359
154,0.9346
155,0.9399
156,0.9425
157,0.9418
158,0.9405
159,0.9392
160,0.9392
161,0.9412
162,0.9431
163,0.9438
164,0.9438
165,0.9431
166,0.9438
167,0.9405
168,0.9386
169,0.9386
170,0.9399
171,0.9431
172,0.9438
173,0.9438
174,0.9412
175,0.9399
176,0.9392
177,0.9444
178,0.9438
179,0.9431
180,0.9438
181,0.9418
182,0.9373
183,0.9373
184,0.9392
185,0.9451
186,0.9451
187,0.9444
188,0.9425
189,0.9379
190,0.9399
191,0.9405
192,0.9431
193,0.9438
194,0.9451
195,0.9425
196,0.9386
197,0.9392
198,0.9399
199,0.9412
200,0.9438
201,0.9458
202,0.9451
203,0.9405
204,0.9366
205,0.9405
206,0.9412
207,0.9444
208,0.9458
209,0.9458
210,0.9425
211,0.9359
212,0.9359
213,0.9405
214,0.9399
215,0.9431
216,0.9438
217,0.9438
218,0.9431
219,0.9464
220,0.9471
221,0.9464
222,0.9464
223,0.9451
224,0.9418
225,0.9451
226,0.9438
227,0.9444
228,0.9458
229,0.9425
230,0.9405
231,0.9412
232,0.9444
233,0.9425
234,0.9438
235,0.9438
236,0.9431
237,0.9438
238,0.9412
239,0.9425
240,0.9438
241,0.9458
242,0.9451
243,0.9451
244,0.9458
245,0.9418
246,0.9405
247,0.9412
248,0.9438
249,0.9458
250,0.9458
251,0.9458
252,0.9451
253,0.9386
254,0.9412
255,0.9438
256,0.9458
257,0.9438
258,0.9418
259,0.9418
260,0.9412
261,0.9451
262,0.9451
263,0.9444
264,0.9425
265,0.9451
266,0.9425
267,0.9425
268,0.9412
269,0.9425
270,0.9444
