epoch,val_acc
0,0.3261
1,0.2307
2,0.2399
3,0.1660
4,0.3131
5,0.2739
6,0.2935
7,0.3908
8,0.4359
9,0.4222
10,0.3196
11,0.3392
12,0.3556
13,0.3752
14,0.4170
15,0.4471
16,0.4765
17,0.5078
18,0.5261
19,0.5418
20,0.5556
21,0.5627
22,0.5693
23,0.5732
24,0.5810
25,0.5843
26,0.5745
27,0.5667
28,0.5536
29,0.5444
30,0.5477
31,0.5654
32,0.5954
33,0.6229
34,0.6327
35,0.6392
36,0.6412
37,0.6412
38,0.6458
39,0.6608
40,0.6667
41,0.6752
42,0.6843
43,0.6889
44,0.6908
45,0.6954
46,0.7026
47,0.7111
48,0.7242
49,0.7353
50,0.7464
51,0.7562
52,0.7621
53,0.7654
54,0.7771
55,0.7837
56,0.7922
57,0.7993
58,0.8059
59,0.8157
60,0.8222
61,0.8255
62,0.8307
63,0.8359
64,0.8503
65,0.8529
66,0.8621
67,0.8673
68,0.8667
69,0.8712
70,0.8758
71,0.8765
72,0.8791
73,0.8804
74,0.8810
75,0.8824
76,0.8908
77,0.8922
78,0.8928
79,0.8980
80,0.8993
81,0.8987
82,0.9007
83,0.9026
84,0.9072
85,0.9098
86,0.9105
87,0.9124
88,0.9144
89,0.9137
90,0.9144
91,0.9183
92,0.9183
93,0.9190
94,0.9176
95,0.9196
96,0.9216
97,0.9235
98,0.9222
99,0.9229
100,0.9229
101,0.9229
102,0.9248
103,0.9261
104,0.9255
105,0.9235
106,0.9255
107,0.9261
108,0.9255
109,0.9275
110,0.9268
111,0.9268
112,0.9268
113,0.9294
114,0.9294
115,0.9301
116,0.9288
117,0.9275
118,0.9301
119,0.9294
120,0.9307
121,0.9301
122,0.9288
123,0.9294
124,0.9301
125,0.9314
126,0.9314
127,0.9301
128,0.9314
129,0.9301
130,0.9294
131,0.9314
132,0.9320
133,0.9320
134,0.9307
135,0.9314
136,0.9288
137,0.9301
138,0.9281
139,0.9307
140,0.9314
141,0.9320
142,0.9314
143,0.9320
144,0.9314
145,0.9307
146,0.9307
147,0.9301
148,0.9301
149,0.9307
150,0.9333
151,0.9340
152,0.9320
153,0.9320
154,0.9314
155,0.9320
156,0.9320
157,0.9320
158,0.9353
159,0.9359
160,0.9320
161,0.9314
162,0.9320
163,0.9366
164,0.9333
165,0.9327
166,0.9327
167,0.9314
168,0.9320
169,0.9327
170,0.9340
171,0.9327
172,0.9333
173,0.9353
174,0.9359
175,0.9366
176,0.9353
177,0.9353
178,0.9359
179,0.9346
180,0.9366
181,0.9346
182,0.9359
183,0.9386
184,0.9373
185,0.9346
186,0.9340
187,0.9333
188,0.9353
189,0.9366
190,0.9359
191,0.9333
192,0.9340
193,0.9366
194,0.9373
195,0.9353
196,0.9346
197,0.9359
198,0.9366
199,0.9353
200,0.9327
201,0.9340
202,0.9359
203,0.9366
204,0.9366
205,0.9346
206,0.9346
207,0.9353
208,0.9373
209,0.9366
210,0.9359
211,0.9333
212,0.9340
213,0.9366
214,0.9373
215,0.9366
216,0.9359
217,0.9346
218,0.9340
219,0.9346
220,0.9386
221,0.9386
222,0.9366
223,0.9340
224,0.9353
225,0.9379
226,0.9366
227,0.9346
228,0.9373
229,0.9353
230,0.9373
231,0.9405
232,0.9386
233,0.9386
234,0.9373
235,0.9373
236,0.9373
237,0.9366
238,0.9366
239,0.9373
240,0.9373
241,0.9399
242,0.9379
243,0.9373
244,0.9340
245,0.9346
246,0.9386
247,0.9379
248,0.9386
249,0.9379
250,0.9340
251,0.9333
252,0.9392
253,0.9379
254,0.9399
255,0.9386
256,0.9366
257,0.9353
258,0.9353
259,0.9379
260,0.9386
261,0.9386
262,0.9366
263,0.9386
264,0.9379
265,0.9373
266,0.9392
267,0.9386
268,0.9386
269,0.9386
270,0.9379
271,0.9392
272,0.9386
273,0.9399
274,0.9392
275,0.9399
276,0.9399
277,0.9405
278,0.9392
279,0.9392
280,0.9379
281,0.9379
