epoch,val_acc
0,0.3170
1,0.2562
2,0.2542
3,0.3366
4,0.3039
5,0.3647
6,0.3542
7,0.2922
8,0.2928
9,0.2980
10,0.3327
11,0.4131
12,0.4222
13,0.4013
14,0.4255
15,0.4575
16,0.4941
17,0.5092
18,0.5078
19,0.5078
20,0.5235
21,0.5366
22,0.5458
23,0.5510
24,0.5614
25,0.5712
26,0.5837
27,0.5935
28,0.6026
29,0.6072
30,0.6183
31,0.6261
32,0.6444
33,0.6575
34,0.6771
35,0.6882
36,0.7033
37,0.7078
38,0.7072
39,0.7105
40,0.7150
41,0.7235
42,0.7301
43,0.7379
44,0.7458
45,0.7575
46,0.7660
47,0.7732
48,0.7784
49,0.7804
50,0.7843
51,0.7922
52,0.7941
53,0.7974
54,0.8111
55,0.8144
56,0.8150
57,0.8157
58,0.8176
59,0.8196
60,0.8275
61,0.8294
62,0.8359
63,0.8379
64,0.8412
65,0.8425
66,0.8451
67,0.8484
68,0.8510
69,0.8556
70,0.8569
71,0.8582
72,0.8621
73,0.8614
74,0.8634
75,0.8654
76,0.8739
77,0.8765
78,0.8784
79,0.8765
80,0.8765
81,0.8778
82,0.8837
83,0.8850
84,0.8869
85,0.8843
86,0.8863
87,0.8882
88,0.8908
89,0.8922
90,0.8922
91,0.8928
92,0.8954
93,0.8987
94,0.8974
95,0.8967
96,0.8967
97,0.8980
98,0.9007
99,0.9013
100,0.9026
101,0.9007
102,0.9026
103,0.9046
104,0.9092
105,0.9052
106,0.9046
107,0.9065
108,0.9065
109,0.9065
110,0.9078
111,0.9078
112,0.9092
113,0.9118
114,0.9078
115,0.9085
116,0.9085
117,0.9098
118,0.9118
119,0.9118
120,0.9111
121,0.9124
122,0.9124
123,0.9124
124,0.9183
125,0.9183
126,0.9118
127,0.9157
128,0.9157
129,0.9163
130,0.9163
131,0.9163
132,0.9150
133,0.9176
134,0.9176
135,0.9190
136,0.9176
137,0.9144
138,0.9157
139,0.9176
140,0.9183
141,0.9209
142,0.9196
143,0.9183
144,0.9229
145,0.9216
146,0.9216
147,0.9196
148,0.9196
149,0.9196
150,0.9209
151,0.9229
152,0.9235
153,0.9235
154,0.9216
155,0.9222
156,0.9235
157,0.9229
158,0.9242
159,0.9242
160,0.9235
161,0.9261
162,0.9248
163,0.9229
164,0.9248
165,0.9242
166,0.9248
167,0.9248
168,0.9248
169,0.9248
170,0.9268
171,0.9255
172,0.9255
173,0.9275
174,0.9281
175,0.9281
176,0.9288
177,0.9281
178,0.9281
179,0.9281
180,0.9275
181,0.9281
182,0.9301
183,0.9307
184,0.9320
185,0.9307
186,0.9307
187,0.9301
188,0.9281
189,0.9294
190,0.9307
191,0.9320
192,0.9294
193,0.9281
194,0.9294
195,0.9314
196,0.9294
197,0.9294
198,0.9301
199,0.9288
200,0.9288
201,0.9275
202,0.9294
203,0.9294
204,0.9268
205,0.9261
206,0.9275
207,0.9288
208,0.9288
209,0.9281
210,0.9268
211,0.9294
212,0.9307
213,0.9261
214,0.9268
215,0.9281
216,0.9301
217,0.9288
218,0.9288
219,0.9275
220,0.9307
221,0.9294
222,0.9275
223,0.9268
224,0.9281
225,0.9307
226,0.9294
227,0.9307
228,0.9288
229,0.9301
230,0.9294
231,0.9294
232,0.9307
233,0.9294
234,0.9281
