epoch,val_acc
0,0.2111
1,0.2261
2,0.2203
3,0.2301
4,0.4196
5,0.4673
6,0.4987
7,0.5000
8,0.4451
9,0.3837
10,0.4288
11,0.5118
12,0.5686
13,0.6033
14,0.6137
15,0.6183
16,0.6255
17,0.6216
18,0.6176
19,0.6301
20,0.6850
21,0.7399
22,0.7621
23,0.7824
24,0.7797
25,0.7830
26,0.7797
27,0.7882
28,0.7954
29,0.8013
30,0.8072
31,0.8242
32,0.8353
33,0.8471
34,0.8601
35,0.8693
36,0.8771
37,0.8817
38,0.8889
39,0.8882
40,0.8856
41,0.8863
42,0.8882
43,0.8882
44,0.8915
45,0.8856
46,0.8830
47,0.8830
48,0.8908
49,0.8954
50,0.8928
51,0.8908
52,0.8954
53,0.8980
54,0.9052
55,0.8915
56,0.8922
57,0.9013
58,0.9052
59,0.9046
60,0.9065
61,0.8980
62,0.9033
63,0.9092
64,0.9072
65,0.9105
66,0.9131
67,0.9105
68,0.9020
69,0.9111
70,0.9203
71,0.9203
72,0.9157
73,0.9039
74,0.9065
75,0.9216
76,0.9235
77,0.9222
78,0.9131
79,0.9196
80,0.9190
81,0.9229
82,0.9235
83,0.9248
84,0.9235
85,0.9216
86,0.9242
87,0.9248
88,0.9248
89,0.9261
90,0.9255
91,0.9203
92,0.9268
93,0.9281
94,0.9248
95,0.9222
96,0.9157
97,0.9248
98,0.9294
99,0.9314
100,0.9294
101,0.9144
102,0.9255
103,0.9281
104,0.9281
105,0.9294
106,0.9255
107,0.9288
108,0.9307
109,0.9288
110,0.9255
111,0.9203
112,0.9261
113,0.9301
114,0.9346
115,0.9294
116,0.9275
117,0.9281
118,0.9281
119,0.9288
120,0.9346
121,0.9314
122,0.9235
123,0.9320
124,0.9327
125,0.9327
126,0.9314
127,0.9327
128,0.9320
129,0.9333
130,0.9340
131,0.9320
132,0.9340
133,0.9333
134,0.9346
135,0.9340
136,0.9346
137,0.9359
138,0.9346
139,0.9320
140,0.9340
141,0.9366
142,0.9366
143,0.9366
144,0.9366
145,0.9373
146,0.9386
147,0.9392
148,0.9340
149,0.9261
150,0.9327
151,0.9359
152,0.9359
153,0.9399
154,0.9379
155,0.9353
156,0.9333
157,0.9379
158,0.9392
159,0.9405
160,0.9379
161,0.9379
162,0.9379
163,0.9346
164,0.9346
165,0.9366
166,0.9412
167,0.9418
168,0.9405
169,0.9379
170,0.9373
171,0.9366
172,0.9386
173,0.9425
174,0.9444
175,0.9438
176,0.9399
177,0.9366
178,0.9379
179,0.9359
180,0.9379
181,0.9431
182,0.9438
183,0.9438
184,0.9418
185,0.9399
186,0.9392
187,0.9379
188,0.9405
189,0.9438
190,0.9458
191,0.9444
192,0.9405
193,0.9418
194,0.9418
195,0.9412
196,0.9392
197,0.9444
198,0.9484
199,0.9444
200,0.9399
201,0.9399
202,0.9399
203,0.9399
204,0.9438
205,0.9444
206,0.9438
207,0.9438
208,0.9405
209,0.9418
210,0.9412
211,0.9425
212,0.9418
213,0.9451
214,0.9438
215,0.9405
216,0.9392
217,0.9444
218,0.9425
219,0.9418
220,0.9425
221,0.9418
222,0.9405
223,0.9451
224,0.9451
225,0.9464
226,0.9458
227,0.9412
228,0.9451
229,0.9458
230,0.9451
231,0.9438
232,0.9444
233,0.9444
234,0.9418
235,0.9431
236,0.9438
237,0.9451
238,0.9451
239,0.9451
240,0.9477
241,0.9458
242,0.9438
243,0.9431
244,0.9418
245,0.9418
246,0.9425
247,0.9458
248,0.9484
