epoch,val_acc
0,0.2765
1,0.3804
2,0.2948
3,0.3745
4,0.4275
5,0.5503
6,0.4869
7,0.5503
8,0.5954
9,0.5810
10,0.5575
11,0.5908
12,0.6346
13,0.6451
14,0.6092
15,0.6255
16,0.6627
17,0.7092
18,0.7935
19,0.8163
20,0.8288
21,0.8288
22,0.8046
23,0.8078
24,0.8333
25,0.8510
26,0.8608
27,0.8582
28,0.8627
29,0.8810
30,0.8712
31,0.8843
32,0.8810
33,0.8895
34,0.8856
35,0.8915
36,0.8902
37,0.8941
38,0.8980
39,0.9026
40,0.9046
41,0.9072
42,0.9059
43,0.9020
44,0.9013
45,0.9046
46,0.9065
47,0.9078
48,0.9078
49,0.9111
50,0.9124
51,0.9098
52,0.9111
53,0.9163
54,0.9144
55,0.9072
56,0.9072
57,0.9203
58,0.9150
59,0.9163
60,0.9039
61,0.9118
62,0.9170
63,0.9157
64,0.9216
65,0.9137
66,0.9235
67,0.9163
68,0.9216
69,0.9235
70,0.9137
71,0.9157
72,0.9235
73,0.9209
74,0.9216
75,0.9242
76,0.9190
77,0.9242
78,0.9288
79,0.9216
80,0.9288
81,0.9222
82,0.9190
83,0.9261
84,0.9294
85,0.9288
86,0.9314
87,0.9255
88,0.9255
89,0.9288
90,0.9307
91,0.9261
92,0.9307
93,0.9268
94,0.9261
95,0.9294
96,0.9301
97,0.9301
98,0.9333
99,0.9301
100,0.9307
101,0.9353
102,0.9353
103,0.9340
104,0.9353
105,0.9333
106,0.9340
107,0.9379
108,0.9353
109,0.9346
110,0.9340
111,0.9366
112,0.9359
113,0.9353
114,0.9366
115,0.9346
116,0.9366
117,0.9373
118,0.9373
119,0.9359
120,0.9373
121,0.9366
122,0.9379
123,0.9379
124,0.9379
125,0.9399
126,0.9386
127,0.9366
128,0.9353
129,0.9359
130,0.9386
131,0.9399
132,0.9379
133,0.9386
134,0.9379
135,0.9359
136,0.9392
137,0.9412
138,0.9405
139,0.9392
140,0.9359
141,0.9392
142,0.9405
143,0.9392
144,0.9379
145,0.9366
146,0.9399
147,0.9392
148,0.9392
149,0.9379
150,0.9386
151,0.9412
152,0.9392
153,0.9438
154,0.9392
155,0.9366
156,0.9399
157,0.9405
158,0.9444
159,0.9399
160,0.9379
161,0.9379
162,0.9425
163,0.9418
164,0.9412
165,0.9418
166,0.9405
167,0.9431
168,0.9438
169,0.9418
170,0.9392
171,0.9373
172,0.9412
173,0.9425
174,0.9431
175,0.9418
176,0.9399
177,0.9399
178,0.9438
179,0.9458
180,0.9451
181,0.9451
182,0.9418
183,0.9399
184,0.9399
185,0.9412
186,0.9464
187,0.9458
188,0.9418
189,0.9425
190,0.9438
191,0.9451
192,0.9412
193,0.9405
194,0.9405
195,0.9418
196,0.9464
197,0.9458
198,0.9451
199,0.9418
200,0.9399
201,0.9405
202,0.9444
203,0.9458
204,0.9451
205,0.9379
206,0.9392
207,0.9444
208,0.9458
209,0.9451
210,0.9418
211,0.9412
212,0.9431
213,0.9444
214,0.9458
215,0.9451
216,0.9386
217,0.9386
218,0.9438
219,0.9451
220,0.9458
221,0.9464
222,0.9444
223,0.9399
224,0.9399
225,0.9451
226,0.9464
227,0.9464
228,0.9444
229,0.9425
230,0.9392
231,0.9431
232,0.9464
233,0.9438
234,0.9392
235,0.9438
236,0.9438
