epoch,val_acc
0,0.0745
1,0.2582
2,0.2752
3,0.3301
4,0.4065
5,0.2614
6,0.2412
7,0.2314
8,0.2137
9,0.2706
10,0.2967
11,0.3124
12,0.3725
13,0.4379
14,0.4784
15,0.5366
16,0.5797
17,0.6412
18,0.6464
19,0.6359
20,0.6366
21,0.7222
22,0.7458
23,0.7458
24,0.7536
25,0.7745
26,0.7974
27,0.8163
28,0.8144
29,0.8020
30,0.8026
31,0.8131
32,0.8320
33,0.8359
34,0.8261
35,0.8248
36,0.8386
37,0.8418
38,0.8451
39,0.8425
40,0.8484
41,0.8497
42,0.8556
43,0.8523
44,0.8536
45,0.8575
46,0.8588
47,0.8601
48,0.8588
49,0.8627
50,0.8647
51,0.8673
52,0.8699
53,0.8673
54,0.8699
55,0.8719
56,0.8719
57,0.8725
58,0.8758
59,0.8765
60,0.8804
61,0.8797
62,0.8824
63,0.8850
64,0.8830
65,0.8824
66,0.8850
67,0.8889
68,0.8902
69,0.8902
70,0.8876
71,0.8902
72,0.8902
73,0.8902
74,0.8889
75,0.8902
76,0.8935
77,0.8948
78,0.8954
79,0.8961
80,0.8961
81,0.8974
82,0.8974
83,0.8993
84,0.9007
85,0.9020
86,0.9033
87,0.9007
88,0.9033
89,0.9033
90,0.9033
91,0.9039
92,0.9033
93,0.9039
94,0.9013
95,0.9007
96,0.9007
97,0.9020
98,0.9046
99,0.9052
100,0.9059
101,0.9026
102,0.9033
103,0.9046
104,0.9046
105,0.9072
106,0.9072
107,0.9072
108,0.9065
109,0.9059
110,0.9065
111,0.9098
112,0.9105
113,0.9072
114,0.9085
115,0.9072
116,0.9078
117,0.9098
118,0.9092
119,0.9105
120,0.9105
121,0.9085
122,0.9111
123,0.9105
124,0.9124
125,0.9131
126,0.9124
127,0.9105
128,0.9111
129,0.9144
130,0.9137
131,0.9118
132,0.9124
133,0.9137
134,0.9144
135,0.9131
136,0.9137
137,0.9137
138,0.9131
139,0.9137
140,0.9131
141,0.9111
142,0.9137
143,0.9124
144,0.9137
145,0.9124
146,0.9144
147,0.9150
148,0.9150
149,0.9150
150,0.9157
151,0.9137
152,0.9137
153,0.9150
154,0.9144
155,0.9137
156,0.9150
157,0.9137
158,0.9170
159,0.9163
160,0.9176
161,0.9150
162,0.9157
163,0.9150
164,0.9137
165,0.9137
166,0.9137
167,0.9144
168,0.9176
169,0.9163
170,0.9163
171,0.9176
172,0.9176
173,0.9196
174,0.9170
175,0.9163
176,0.9150
177,0.9157
178,0.9144
179,0.9209
180,0.9203
181,0.9176
182,0.9183
183,0.9209
184,0.9216
185,0.9203
186,0.9196
187,0.9216
