epoch,val_acc
0,0.2013
1,0.2137
2,0.2052
3,0.1961
4,0.2000
5,0.2059
6,0.2065
7,0.2092
8,0.2216
9,0.2529
10,0.2967
11,0.3412
12,0.3902
13,0.4105
14,0.4190
15,0.4216
16,0.4242
17,0.4222
18,0.4268
19,0.4235
20,0.4268
21,0.4248
22,0.4275
23,0.4346
24,0.4346
25,0.4431
26,0.4739
27,0.5026
28,0.5203
29,0.5353
30,0.5536
31,0.5614
32,0.5817
33,0.5980
34,0.6137
35,0.6327
36,0.6438
37,0.6490
38,0.6595
39,0.6667
40,0.6765
41,0.6882
42,0.6941
43,0.7020
44,0.7098
45,0.7163
46,0.7242
47,0.7307
48,0.7379
49,0.7438
50,0.7477
51,0.7503
52,0.7542
53,0.7542
54,0.7608
55,0.7641
56,0.7660
57,0.7680
58,0.7712
59,0.7745
60,0.7765
61,0.7804
62,0.7810
63,0.7817
64,0.7830
65,0.7843
66,0.7869
67,0.7869
68,0.7908
69,0.7922
70,0.7954
71,0.7974
72,0.7987
73,0.8000
74,0.7993
75,0.8026
76,0.8039
77,0.8039
78,0.8065
79,0.8059
80,0.8092
81,0.8105
82,0.8118
83,0.8131
84,0.8157
85,0.8176
86,0.8196
87,0.8203
88,0.8222
89,0.8255
90,0.8288
91,0.8314
92,0.8307
93,0.8320
94,0.8353
95,0.8392
96,0.8386
97,0.8425
98,0.8451
99,0.8484
100,0.8497
101,0.8510
102,0.8523
103,0.8542
104,0.8549
105,0.8569
106,0.8595
107,0.8621
108,0.8627
109,0.8614
110,0.8595
111,0.8608
112,0.8627
113,0.8667
114,0.8660
115,0.8673
116,0.8699
117,0.8680
118,0.8686
119,0.8732
120,0.8712
121,0.8725
122,0.8758
123,0.8771
124,0.8778
125,0.8778
126,0.8758
127,0.8765
128,0.8758
129,0.8771
130,0.8778
131,0.8810
132,0.8784
133,0.8797
134,0.8810
135,0.8797
136,0.8797
137,0.8804
138,0.8791
139,0.8784
140,0.8810
141,0.8797
142,0.8830
143,0.8824
144,0.8843
145,0.8843
146,0.8837
147,0.8863
148,0.8876
149,0.8863
150,0.8843
151,0.8876
152,0.8869
153,0.8863
154,0.8876
155,0.8869
156,0.8889
157,0.8876
158,0.8863
159,0.8856
160,0.8856
161,0.8869
162,0.8863
163,0.8889
164,0.8915
165,0.8915
166,0.8876
167,0.8869
168,0.8863
169,0.8908
170,0.8908
171,0.8908
172,0.8915
173,0.8889
174,0.8889
175,0.8889
176,0.8935
177,0.8922
178,0.8948
179,0.8941
180,0.8908
181,0.8902
182,0.8908
183,0.8928
184,0.8954
185,0.8954
186,0.8954
187,0.8895
188,0.8908
189,0.8922
190,0.8948
191,0.8993
192,0.8987
193,0.8974
194,0.8935
195,0.8928
196,0.8948
197,0.8987
198,0.8987
199,0.8987
200,0.8954
201,0.8980
202,0.8980
203,0.9007
204,0.9000
205,0.8987
206,0.8974
207,0.8967
208,0.8980
209,0.8993
210,0.9026
211,0.9046
212,0.9033
213,0.9020
214,0.9013
215,0.9013
216,0.8993
217,0.9039
218,0.9065
219,0.9065
220,0.9078
221,0.9046
222,0.9065
223,0.9046
224,0.9052
225,0.9052
226,0.9085
227,0.9065
228,0.9065
229,0.9085
230,0.9072
231,0.9065
232,0.9072
233,0.9078
234,0.9092
235,0.9092
236,0.9092
237,0.9098
238,0.9098
239,0.9092
240,0.9085
241,0.9098
242,0.9118
243,0.9118
244,0.9118
245,0.9131
246,0.9124
247,0.9078
248,0.9085
249,0.9131
250,0.9144
251,0.9150
252,0.9157
253,0.9137
254,0.9124
255,0.9124
256,0.9144
257,0.9137
258,0.9150
259,0.9144
260,0.9144
261,0.9150
262,0.9163
263,0.9163
264,0.9163
265,0.9163
266,0.9157
267,0.9157
268,0.9163
269,0.9163
270,0.9157
271,0.9157
272,0.9163
273,0.9170
274,0.9170
275,0.9190
276,0.9190
277,0.9190
278,0.9183
279,0.9144
280,0.9163
281,0.9183
282,0.9190
283,0.9203
284,0.9222
285,0.9209
286,0.9190
287,0.9196
288,0.9190
289,0.9183
290,0.9163
291,0.9170
292,0.9190
293,0.9183
294,0.9190
295,0.9163
296,0.9163
297,0.9209
298,0.9216
299,0.9222
300,0.9216
301,0.9209
302,0.9203
303,0.9203
304,0.9222
305,0.9222
306,0.9222
307,0.9229
308,0.9222
309,0.9216
310,0.9203
311,0.9222
312,0.9235
313,0.9229
314,0.9242
315,0.9229
316,0.9242
317,0.9222
318,0.9222
319,0.9235
320,0.9261
321,0.9248
322,0.9248
323,0.9255
324,0.9255
325,0.9209
326,0.9229
327,0.9248
328,0.9261
329,0.9268
330,0.9275
331,0.9248
332,0.9275
333,0.9255
334,0.9242
335,0.9261
336,0.9275
337,0.9281
338,0.9275
339,0.9255
340,0.9275
341,0.9242
342,0.9242
343,0.9281
344,0.9307
345,0.9294
346,0.9275
347,0.9288
348,0.9288
349,0.9275
350,0.9268
351,0.9294
352,0.9294
353,0.9288
354,0.9281
355,0.9288
356,0.9294
357,0.9281
358,0.9294
359,0.9307
360,0.9307
361,0.9307
362,0.9301
363,0.9314
364,0.9314
365,0.9314
366,0.9314
367,0.9320
368,0.9327
369,0.9320
370,0.9314
371,0.9320
372,0.9307
373,0.9327
374,0.9327
375,0.9320
376,0.9314
377,0.9327
378,0.9327
379,0.9327
380,0.9314
381,0.9320
382,0.9327
383,0.9340
384,0.9333
385,0.9320
386,0.9314
387,0.9320
388,0.9327
389,0.9333
390,0.9320
391,0.9340
392,0.9327
393,0.9327
394,0.9320
395,0.9333
396,0.9327
397,0.9327
398,0.9333
399,0.9327
400,0.9327
401,0.9314
402,0.9320
403,0.9320
404,0.9333
405,0.9320
406,0.9314
407,0.9333
408,0.9333
409,0.9327
410,0.9327
411,0.9327
412,0.9333
413,0.9346
414,0.9346
415,0.9340
416,0.9333
417,0.9340
418,0.9340
419,0.9340
420,0.9340
421,0.9340
422,0.9333
423,0.9353
424,0.9353
425,0.9327
426,0.9320
427,0.9340
428,0.9333
429,0.9333
430,0.9340
431,0.9359
432,0.9346
433,0.9340
434,0.9333
435,0.9340
436,0.9346
437,0.9359
438,0.9359
439,0.9353
440,0.9366
441,0.9366
442,0.9373
443,0.9366
444,0.9373
445,0.9379
446,0.9379
447,0.9379
448,0.9366
449,0.9373
450,0.9353
451,0.9359
452,0.9353
453,0.9346
454,0.9359
455,0.9366
456,0.9373
457,0.9366
458,0.9373
459,0.9359
460,0.9353
461,0.9366
462,0.9373
463,0.9373
464,0.9379
465,0.9379
466,0.9373
467,0.9379
468,0.9379
469,0.9366
470,0.9399
471,0.9373
472,0.9373
473,0.9373
474,0.9392
475,0.9373
476,0.9379
477,0.9373
478,0.9366
479,0.9373
480,0.9379
481,0.9392
482,0.9386
483,0.9386
484,0.9379
485,0.9366
486,0.9379
487,0.9392
488,0.9379
489,0.9399
490,0.9399
491,0.9392
492,0.9399
493,0.9379
494,0.9386
495,0.9373
496,0.9366
497,0.9386
498,0.9392
499,0.9379
