epoch,val_acc
0,0.4555
1,0.5014
2,0.5301
3,0.5481
4,0.5651
5,0.5798
6,0.5891
7,0.5975
8,0.6039
9,0.6112
10,0.6178
11,0.6244
12,0.6272
13,0.6282
14,0.6312
15,0.6338
16,0.6361
17,0.6386
18,0.6394
19,0.6399
20,0.6399
21,0.6422
22,0.6422
23,0.6424
24,0.6444
25,0.6452
26,0.6487
27,0.6503
28,0.6556
29,0.6591
30,0.6637
31,0.6688
32,0.6731
33,0.6797
34,0.6868
35,0.6944
36,0.7010
37,0.7078
38,0.7154
39,0.7203
40,0.7248
41,0.7337
42,0.7385
43,0.7451
44,0.7497
45,0.7532
46,0.7548
47,0.7598
48,0.7629
49,0.7659
50,0.7690
51,0.7733
52,0.7758
53,0.7776
54,0.7778
55,0.7819
56,0.7837
57,0.7865
58,0.7880
59,0.7903
60,0.7910
61,0.7936
62,0.7946
63,0.7953
64,0.7961
65,0.7966
66,0.7976
67,0.7986
68,0.7999
69,0.8007
70,0.8004
71,0.8014
72,0.8022
73,0.8027
74,0.8029
75,0.8040
76,0.8047
77,0.8065
78,0.8078
79,0.8088
80,0.8098
81,0.8106
82,0.8106
83,0.8111
84,0.8121
85,0.8128
86,0.8133
87,0.8146
88,0.8161
89,0.8171
90,0.8177
91,0.8182
92,0.8187
93,0.8194
94,0.8202
95,0.8212
96,0.8215
97,0.8220
98,0.8227
99,0.8235
100,0.8250
101,0.8253
102,0.8260
103,0.8270
104,0.8278
105,0.8283
106,0.8291
107,0.8301
108,0.8306
109,0.8306
110,0.8303
111,0.8303
112,0.8306
113,0.8311
114,0.8316
115,0.8324
116,0.8331
117,0.8336
118,0.8349
119,0.8352
120,0.8359
121,0.8364
122,0.8369
123,0.8372
124,0.8372
125,0.8374
126,0.8379
127,0.8387
128,0.8395
129,0.8384
130,0.8390
131,0.8400
132,0.8400
133,0.8415
134,0.8415
135,0.8417
136,0.8428
137,0.8425
138,0.8428
139,0.8430
140,0.8443
141,0.8448
142,0.8445
143,0.8448
144,0.8448
145,0.8453
146,0.8455
147,0.8458
148,0.8466
149,0.8476
150,0.8481
151,0.8486
152,0.8491
153,0.8496
154,0.8501
155,0.8509
156,0.8506
157,0.8506
158,0.8504
159,0.8509
160,0.8506
161,0.8506
162,0.8509
163,0.8511
164,0.8514
165,0.8514
166,0.8524
167,0.8527
168,0.8534
169,0.8537
170,0.8537
171,0.8542
172,0.8544
173,0.8542
174,0.8547
175,0.8544
176,0.8552
177,0.8559
178,0.8565
179,0.8565
180,0.8562
181,0.8565
182,0.8567
183,0.8572
184,0.8572
185,0.8577
186,0.8582
187,0.8587
188,0.8582
189,0.8592
190,0.8592
191,0.8595
192,0.8595
193,0.8598
194,0.8598
195,0.8598
196,0.8605
197,0.8608
198,0.8605
199,0.8608
200,0.8608
201,0.8608
202,0.8610
203,0.8615
204,0.8623
205,0.8625
206,0.8623
207,0.8623
208,0.8620
209,0.8625
210,0.8630
211,0.8630
212,0.8630
213,0.8636
214,0.8638
215,0.8638
216,0.8641
217,0.8643
218,0.8643
219,0.8648
220,0.8646
221,0.8646
222,0.8648
223,0.8656
224,0.8656
225,0.8656
226,0.8661
227,0.8658
228,0.8661
229,0.8661
230,0.8658
231,0.8658
232,0.8658
233,0.8663
234,0.8669
235,0.8671
236,0.8679
237,0.8676
238,0.8679
239,0.8676
240,0.8681
241,0.8676
242,0.8679
243,0.8679
244,0.8684
245,0.8686
246,0.8689
247,0.8691
248,0.8689
249,0.8691
250,0.8691
251,0.8696
252,0.8696
253,0.8701
254,0.8699
255,0.8704
256,0.8704
257,0.8707
258,0.8707
259,0.8709
260,0.8709
261,0.8709
262,0.8709
263,0.8709
264,0.8709
265,0.8707
266,0.8707
267,0.8707
268,0.8712
269,0.8719
270,0.8719
271,0.8724
272,0.8727
273,0.8727
274,0.8727
275,0.8724
276,0.8732
277,0.8740
278,0.8740
279,0.8737
280,0.8737
281,0.8737
282,0.8737
283,0.8732
284,0.8732
285,0.8732
286,0.8732
287,0.8732
288,0.8737
289,0.8734
290,0.8737
291,0.8737
292,0.8740
293,0.8745
294,0.8745
295,0.8742
296,0.8740
297,0.8740
298,0.8737
299,0.8734
300,0.8745
301,0.8750
302,0.8752
303,0.8757
304,0.8760
305,0.8760
306,0.8760
307,0.8767
308,0.8757
309,0.8765
310,0.8767
311,0.8775
312,0.8788
313,0.8783
314,0.8783
315,0.8778
316,0.8767
317,0.8767
318,0.8773
319,0.8780
320,0.8780
321,0.8783
322,0.8780
323,0.8780
324,0.8783
325,0.8793
326,0.8795
327,0.8798
328,0.8795
