epoch,val_acc
0,0.5453
1,0.5891
2,0.6008
3,0.6117
4,0.6168
5,0.6249
6,0.6356
7,0.6533
8,0.6706
9,0.6914
10,0.7119
11,0.7367
12,0.7535
13,0.7728
14,0.7824
15,0.7890
16,0.7958
17,0.7996
18,0.8045
19,0.8060
20,0.8067
21,0.8080
22,0.8116
23,0.8151
24,0.8189
25,0.8215
26,0.8242
27,0.8273
28,0.8293
29,0.8316
30,0.8349
31,0.8377
32,0.8390
33,0.8397
34,0.8417
35,0.8440
36,0.8453
37,0.8468
38,0.8494
39,0.8504
40,0.8516
41,0.8521
42,0.8529
43,0.8519
44,0.8509
45,0.8537
46,0.8549
47,0.8565
48,0.8575
49,0.8592
50,0.8605
51,0.8608
52,0.8610
53,0.8613
54,0.8618
55,0.8615
56,0.8630
57,0.8641
58,0.8663
59,0.8671
60,0.8679
61,0.8676
62,0.8679
63,0.8699
64,0.8699
65,0.8694
66,0.8704
67,0.8709
68,0.8717
69,0.8714
70,0.8714
71,0.8722
72,0.8734
73,0.8747
74,0.8752
75,0.8750
76,0.8767
77,0.8770
78,0.8773
79,0.8775
80,0.8785
81,0.8785
82,0.8798
83,0.8811
84,0.8818
85,0.8823
86,0.8831
87,0.8836
88,0.8844
89,0.8854
90,0.8854
91,0.8861
92,0.8869
93,0.8866
94,0.8859
95,0.8859
96,0.8859
97,0.8859
98,0.8864
99,0.8871
100,0.8879
101,0.8889
102,0.8894
103,0.8892
104,0.8889
105,0.8887
106,0.8882
107,0.8879
108,0.8871
109,0.8879
110,0.8871
111,0.8874
112,0.8874
113,0.8866
114,0.8861
115,0.8871
116,0.8887
117,0.8892
118,0.8882
119,0.8876
120,0.8876
121,0.8887
122,0.8897
123,0.8899
124,0.8884
125,0.8874
126,0.8879
127,0.8904
128,0.8897
129,0.8884
130,0.8876
131,0.8894
132,0.8902
133,0.8912
134,0.8909
135,0.8889
136,0.8879
137,0.8894
138,0.8925
139,0.8930
140,0.8907
141,0.8899
142,0.8899
143,0.8907
144,0.8920
145,0.8912
146,0.8912
147,0.8904
148,0.8887
149,0.8899
150,0.8915
151,0.8930
152,0.8930
153,0.8909
154,0.8904
155,0.8904
156,0.8917
157,0.8930
158,0.8935
159,0.8930
160,0.8930
161,0.8925
162,0.8922
163,0.8915
164,0.8925
165,0.8922
166,0.8920
167,0.8927
168,0.8907
169,0.8920
170,0.8935
171,0.8932
172,0.8935
173,0.8909
174,0.8920
175,0.8909
176,0.8917
177,0.8937
178,0.8950
179,0.8950
180,0.8909
181,0.8909
182,0.8912
183,0.8932
184,0.8948
185,0.8948
186,0.8937
187,0.8925
188,0.8937
189,0.8940
190,0.8945
191,0.8930
192,0.8922
193,0.8940
194,0.8940
195,0.8937
196,0.8930
197,0.8935
198,0.8940
199,0.8948
200,0.8955
201,0.8942
202,0.8917
203,0.8899
204,0.8930
205,0.8948
206,0.8958
207,0.8948
208,0.8917
209,0.8907
210,0.8922
211,0.8930
212,0.8932
213,0.8930
214,0.8920
215,0.8930
216,0.8948
217,0.8948
218,0.8920
219,0.8894
220,0.8899
221,0.8892
222,0.8927
223,0.8937
224,0.8940
225,0.8922
226,0.8917
227,0.8922
228,0.8937
229,0.8937
230,0.8930
231,0.8922
232,0.8925
233,0.8948
234,0.8955
235,0.8942
236,0.8925
237,0.8937
238,0.8950
239,0.8958
240,0.8953
241,0.8935
242,0.8930
243,0.8937
244,0.8940
245,0.8942
246,0.8927
247,0.8930
248,0.8927
249,0.8930
250,0.8953
251,0.8940
252,0.8942
253,0.8948
254,0.8953
255,0.8955
256,0.8955
