epoch,val_acc
0,0.6026
1,0.6249
2,0.6422
3,0.6548
4,0.6987
5,0.7616
6,0.7956
7,0.8113
8,0.8121
9,0.8177
10,0.8235
11,0.8296
12,0.8352
13,0.8344
14,0.8382
15,0.8410
16,0.8392
17,0.8423
18,0.8458
19,0.8488
20,0.8501
21,0.8521
22,0.8575
23,0.8590
24,0.8603
25,0.8610
26,0.8648
27,0.8669
28,0.8676
29,0.8696
30,0.8704
31,0.8717
32,0.8742
33,0.8752
34,0.8747
35,0.8775
36,0.8785
37,0.8778
38,0.8793
39,0.8785
40,0.8790
41,0.8805
42,0.8805
43,0.8793
44,0.8808
45,0.8816
46,0.8823
47,0.8826
48,0.8811
49,0.8816
50,0.8811
51,0.8805
52,0.8803
53,0.8800
54,0.8803
55,0.8818
56,0.8813
57,0.8828
58,0.8838
59,0.8828
60,0.8833
61,0.8844
62,0.8844
63,0.8841
64,0.8859
65,0.8856
66,0.8869
67,0.8864
68,0.8859
69,0.8869
70,0.8876
71,0.8884
72,0.8879
73,0.8889
74,0.8887
75,0.8894
76,0.8894
77,0.8889
78,0.8887
79,0.8882
80,0.8902
81,0.8899
82,0.8894
83,0.8851
84,0.8915
85,0.8907
86,0.8904
87,0.8909
88,0.8904
89,0.8909
90,0.8904
91,0.8892
92,0.8899
93,0.8920
94,0.8925
95,0.8930
96,0.8912
97,0.8904
98,0.8904
99,0.8917
100,0.8945
101,0.8935
102,0.8922
103,0.8935
104,0.8932
105,0.8927
106,0.8920
107,0.8915
108,0.8932
109,0.8920
110,0.8927
111,0.8927
112,0.8937
113,0.8935
114,0.8920
115,0.8925
116,0.8894
117,0.8920
118,0.8925
119,0.8907
120,0.8925
121,0.8940
122,0.8945
123,0.8920
124,0.8965
125,0.8897
126,0.8942
127,0.8907
128,0.8932
129,0.8889
130,0.8935
131,0.8912
132,0.8965
133,0.8894
134,0.8955
135,0.8917
136,0.8927
137,0.8927
138,0.8942
139,0.8904
140,0.8940
141,0.8904
142,0.8922
143,0.8917
144,0.8935
145,0.8917
146,0.8942
147,0.8912
148,0.8948
149,0.8945
150,0.8942
151,0.8917
152,0.8960
153,0.8948
154,0.8942
155,0.8935
156,0.8963
157,0.8973
158,0.8963
159,0.8950
160,0.8963
161,0.8950
162,0.8960
163,0.8955
164,0.8950
165,0.8927
166,0.8950
167,0.8950
168,0.8950
169,0.8935
170,0.8937
171,0.8927
172,0.8955
173,0.8925
174,0.8940
175,0.8925
176,0.8927
177,0.8917
178,0.8930
179,0.8899
180,0.8935
181,0.8930
182,0.8915
183,0.8930
184,0.8940
185,0.8927
186,0.8917
187,0.8927
188,0.8945
189,0.8937
190,0.8915
191,0.8940
192,0.8937
193,0.8942
194,0.8953
195,0.8973
196,0.8965
197,0.8958
198,0.8978
199,0.8978
200,0.8968
201,0.8975
202,0.8973
203,0.8963
204,0.8968
205,0.8960
206,0.8965
207,0.8973
208,0.8973
209,0.8970
210,0.8942
211,0.8948
212,0.8940
213,0.8953
214,0.8960
215,0.8930
216,0.8930
217,0.8948
218,0.8963
219,0.8940
220,0.8948
221,0.8960
222,0.8980
223,0.8950
224,0.8965
225,0.8960
226,0.8991
227,0.8953
228,0.8975
229,0.8950
230,0.8953
231,0.8973
232,0.8973
233,0.8955
234,0.8932
235,0.8948
236,0.8955
237,0.8960
238,0.8958
239,0.8935
240,0.8935
241,0.8942
242,0.8940
243,0.8930
244,0.8945
245,0.8955
246,0.8963
247,0.8948
248,0.8965
249,0.8950
250,0.8955
251,0.8970
252,0.8960
253,0.8945
254,0.8953
255,0.8983
256,0.8965
257,0.8945
258,0.8950
259,0.8965
260,0.8960
261,0.8940
262,0.8965
263,0.8950
264,0.8950
265,0.8945
266,0.8958
267,0.8960
268,0.8968
269,0.8958
270,0.8965
271,0.8965
272,0.8973
273,0.8968
274,0.8963
275,0.8965
276,0.8963
