epoch,val_acc
0,0.6198
1,0.6330
2,0.6462
3,0.6919
4,0.7626
5,0.7821
6,0.7999
7,0.8037
8,0.8098
9,0.8171
10,0.8207
11,0.8283
12,0.8324
13,0.8364
14,0.8362
15,0.8352
16,0.8395
17,0.8443
18,0.8461
19,0.8476
20,0.8511
21,0.8544
22,0.8565
23,0.8598
24,0.8600
25,0.8648
26,0.8686
27,0.8686
28,0.8691
29,0.8701
30,0.8734
31,0.8755
32,0.8745
33,0.8762
34,0.8762
35,0.8778
36,0.8767
37,0.8773
38,0.8788
39,0.8795
40,0.8783
41,0.8793
42,0.8795
43,0.8803
44,0.8803
45,0.8800
46,0.8800
47,0.8811
48,0.8805
49,0.8805
50,0.8808
51,0.8816
52,0.8831
53,0.8823
54,0.8826
55,0.8816
56,0.8818
57,0.8818
58,0.8818
59,0.8811
60,0.8823
61,0.8803
62,0.8821
63,0.8841
64,0.8828
65,0.8836
66,0.8831
67,0.8841
68,0.8836
69,0.8838
70,0.8833
71,0.8826
72,0.8841
73,0.8844
74,0.8844
75,0.8846
76,0.8856
77,0.8849
78,0.8856
79,0.8849
80,0.8861
81,0.8869
82,0.8866
83,0.8866
84,0.8846
85,0.8876
86,0.8882
87,0.8879
88,0.8887
89,0.8882
90,0.8879
91,0.8887
92,0.8897
93,0.8907
94,0.8917
95,0.8917
96,0.8892
97,0.8894
98,0.8915
99,0.8912
100,0.8922
101,0.8897
102,0.8902
103,0.8887
104,0.8920
105,0.8932
106,0.8917
107,0.8922
108,0.8920
109,0.8920
110,0.8917
111,0.8917
112,0.8912
113,0.8909
114,0.8915
115,0.8932
116,0.8932
117,0.8917
118,0.8912
119,0.8909
120,0.8932
121,0.8920
122,0.8917
123,0.8925
124,0.8920
125,0.8920
126,0.8925
127,0.8917
128,0.8925
129,0.8920
130,0.8925
131,0.8930
132,0.8932
133,0.8937
134,0.8945
135,0.8935
136,0.8935
137,0.8935
138,0.8940
139,0.8932
140,0.8927
141,0.8937
142,0.8942
143,0.8937
144,0.8932
145,0.8945
146,0.8950
147,0.8950
148,0.8937
149,0.8945
150,0.8948
151,0.8942
152,0.8937
153,0.8948
154,0.8940
155,0.8948
156,0.8950
157,0.8942
158,0.8950
159,0.8942
160,0.8955
161,0.8945
162,0.8927
163,0.8942
164,0.8940
165,0.8927
166,0.8932
167,0.8950
168,0.8935
169,0.8935
170,0.8925
171,0.8925
172,0.8930
173,0.8925
174,0.8920
175,0.8927
176,0.8930
177,0.8920
178,0.8932
179,0.8920
180,0.8942
181,0.8930
182,0.8937
183,0.8917
184,0.8945
185,0.8907
186,0.8930
187,0.8887
188,0.8927
189,0.8902
190,0.8927
191,0.8915
192,0.8945
193,0.8937
194,0.8953
195,0.8909
196,0.8942
197,0.8930
198,0.8922
199,0.8950
200,0.8912
201,0.8950
202,0.8912
203,0.8937
204,0.8930
205,0.8935
206,0.8958
207,0.8927
208,0.8927
209,0.8937
210,0.8902
211,0.8942
212,0.8879
213,0.8937
214,0.8907
215,0.8889
216,0.8948
217,0.8889
218,0.8935
219,0.8948
220,0.8912
221,0.8937
222,0.8925
223,0.8927
224,0.8973
225,0.8970
226,0.8958
227,0.8942
228,0.8942
229,0.8968
230,0.8965
231,0.8970
232,0.8955
233,0.8932
234,0.8955
235,0.8968
236,0.8970
237,0.8955
238,0.8948
239,0.8950
240,0.8968
241,0.8970
242,0.8973
243,0.8973
244,0.8958
245,0.8980
246,0.8960
247,0.8986
248,0.8940
249,0.8945
250,0.8953
251,0.8940
252,0.8973
253,0.8937
254,0.8932
255,0.8973
256,0.8940
257,0.8948
258,0.8925
259,0.8922
260,0.8975
261,0.8945
262,0.8942
263,0.8953
264,0.8930
265,0.8955
266,0.8960
267,0.8948
268,0.8950
269,0.8937
270,0.8930
271,0.8935
272,0.8942
273,0.8948
274,0.8948
275,0.8950
276,0.8937
277,0.8932
278,0.8937
279,0.8932
280,0.8942
281,0.8940
282,0.8942
283,0.8942
284,0.8942
285,0.8940
286,0.8940
287,0.8930
288,0.8945
289,0.8948
290,0.8953
291,0.8955
292,0.8960
293,0.8953
294,0.8955
295,0.8955
296,0.8945
297,0.8958
