epoch,val_acc
0,0.3992
1,0.3989
2,0.3992
3,0.3999
4,0.4045
5,0.4169
6,0.4461
7,0.4732
8,0.4948
9,0.5103
10,0.5227
11,0.5336
12,0.5415
13,0.5493
14,0.5539
15,0.5597
16,0.5648
17,0.5686
18,0.5714
19,0.5744
20,0.5770
21,0.5793
22,0.5815
23,0.5836
24,0.5861
25,0.5889
26,0.5929
27,0.5940
28,0.5950
29,0.5973
30,0.6003
31,0.6041
32,0.6072
33,0.6082
34,0.6107
35,0.6135
36,0.6163
37,0.6186
38,0.6221
39,0.6241
40,0.6262
41,0.6282
42,0.6323
43,0.6356
44,0.6414
45,0.6480
46,0.6579
47,0.6685
48,0.6802
49,0.6944
50,0.7038
51,0.7152
52,0.7256
53,0.7332
54,0.7413
55,0.7484
56,0.7560
57,0.7626
58,0.7682
59,0.7733
60,0.7783
61,0.7844
62,0.7865
63,0.7900
64,0.7925
65,0.7915
66,0.7928
67,0.7946
68,0.7958
69,0.7976
70,0.8004
71,0.8009
72,0.8027
73,0.8032
74,0.8042
75,0.8060
76,0.8070
77,0.8085
78,0.8100
79,0.8095
80,0.8128
81,0.8133
82,0.8133
83,0.8126
84,0.8131
85,0.8131
86,0.8133
87,0.8138
88,0.8151
89,0.8174
90,0.8177
91,0.8182
92,0.8192
93,0.8209
94,0.8225
95,0.8225
96,0.8230
97,0.8235
98,0.8248
99,0.8253
100,0.8265
101,0.8273
102,0.8275
103,0.8270
104,0.8280
105,0.8283
106,0.8280
107,0.8280
108,0.8288
109,0.8291
110,0.8288
111,0.8288
112,0.8293
113,0.8298
114,0.8306
115,0.8311
116,0.8308
117,0.8319
118,0.8319
119,0.8324
120,0.8339
121,0.8349
122,0.8354
123,0.8374
124,0.8374
125,0.8382
126,0.8384
127,0.8387
128,0.8384
129,0.8390
130,0.8397
131,0.8397
132,0.8400
133,0.8392
134,0.8392
135,0.8392
136,0.8395
137,0.8397
138,0.8402
139,0.8402
140,0.8410
141,0.8415
142,0.8420
143,0.8420
144,0.8425
145,0.8425
146,0.8430
147,0.8428
148,0.8435
149,0.8445
150,0.8458
151,0.8458
152,0.8476
153,0.8478
154,0.8488
155,0.8488
156,0.8491
157,0.8504
158,0.8511
159,0.8506
160,0.8501
161,0.8499
162,0.8511
163,0.8516
164,0.8506
165,0.8509
166,0.8511
167,0.8509
168,0.8524
169,0.8529
170,0.8527
171,0.8527
172,0.8527
173,0.8529
174,0.8532
175,0.8529
176,0.8532
177,0.8532
178,0.8539
179,0.8542
180,0.8544
181,0.8549
182,0.8552
183,0.8549
184,0.8547
185,0.8547
186,0.8544
187,0.8552
188,0.8554
189,0.8552
190,0.8557
191,0.8552
192,0.8557
193,0.8567
194,0.8567
195,0.8570
196,0.8565
197,0.8567
198,0.8570
199,0.8567
200,0.8572
201,0.8570
202,0.8570
203,0.8570
204,0.8572
205,0.8572
206,0.8575
207,0.8565
208,0.8570
209,0.8580
210,0.8572
211,0.8572
212,0.8580
213,0.8570
214,0.8572
215,0.8567
216,0.8570
217,0.8572
218,0.8575
219,0.8580
220,0.8582
221,0.8585
222,0.8585
223,0.8587
224,0.8587
225,0.8585
226,0.8592
227,0.8600
