epoch,val_acc
0,0.4981
1,0.5633
2,0.6211
3,0.6416
4,0.6505
5,0.6363
6,0.6290
7,0.6629
8,0.7510
9,0.7885
10,0.7976
11,0.8014
12,0.8070
13,0.8116
14,0.8187
15,0.8209
16,0.8263
17,0.8286
18,0.8362
19,0.8387
20,0.8395
21,0.8448
22,0.8471
23,0.8486
24,0.8499
25,0.8532
26,0.8552
27,0.8577
28,0.8608
29,0.8633
30,0.8648
31,0.8656
32,0.8674
33,0.8663
34,0.8691
35,0.8712
36,0.8712
37,0.8747
38,0.8740
39,0.8752
40,0.8729
41,0.8760
42,0.8765
43,0.8727
44,0.8729
45,0.8740
46,0.8775
47,0.8760
48,0.8755
49,0.8765
50,0.8762
51,0.8775
52,0.8790
53,0.8808
54,0.8790
55,0.8795
56,0.8826
57,0.8795
58,0.8785
59,0.8783
60,0.8785
61,0.8793
62,0.8828
63,0.8821
64,0.8800
65,0.8828
66,0.8821
67,0.8828
68,0.8838
69,0.8816
70,0.8818
71,0.8856
72,0.8821
73,0.8818
74,0.8849
75,0.8833
76,0.8838
77,0.8838
78,0.8833
79,0.8811
80,0.8874
81,0.8838
82,0.8838
83,0.8861
84,0.8854
85,0.8849
86,0.8849
87,0.8876
88,0.8856
89,0.8844
90,0.8871
91,0.8894
92,0.8864
93,0.8866
94,0.8892
95,0.8833
96,0.8892
97,0.8831
98,0.8887
99,0.8874
100,0.8831
101,0.8882
102,0.8882
103,0.8775
104,0.8874
105,0.8861
106,0.8836
107,0.8811
108,0.8876
109,0.8869
110,0.8849
111,0.8874
112,0.8897
113,0.8864
114,0.8892
115,0.8874
116,0.8849
117,0.8861
118,0.8866
119,0.8849
120,0.8833
121,0.8884
122,0.8869
123,0.8874
124,0.8899
125,0.8897
126,0.8874
127,0.8899
128,0.8894
129,0.8882
130,0.8879
131,0.8892
132,0.8864
133,0.8861
134,0.8899
135,0.8874
136,0.8859
137,0.8871
138,0.8887
139,0.8876
140,0.8897
141,0.8889
142,0.8902
143,0.8889
144,0.8838
145,0.8920
146,0.8899
147,0.8879
148,0.8932
149,0.8937
150,0.8874
151,0.8945
152,0.8915
153,0.8874
154,0.8915
155,0.8884
156,0.8854
157,0.8902
158,0.8851
159,0.8866
160,0.8876
161,0.8874
162,0.8856
163,0.8892
164,0.8889
165,0.8828
166,0.8915
167,0.8866
168,0.8884
169,0.8935
170,0.8879
171,0.8904
172,0.8909
173,0.8874
174,0.8884
175,0.8887
176,0.8879
177,0.8864
178,0.8892
179,0.8884
180,0.8861
181,0.8884
182,0.8889
183,0.8882
184,0.8912
185,0.8828
186,0.8904
187,0.8930
188,0.8821
189,0.8945
190,0.8879
191,0.8915
192,0.8937
193,0.8894
194,0.8899
195,0.8922
196,0.8899
197,0.8889
198,0.8935
199,0.8864
200,0.8887
201,0.8932
